Dataset,Reads,Reads_wo_S,Richness,Richness_wo_S,Rarefied.richness,H,J,Rarefied J,Simpson,Chao1,ACE
DA01S,341037,341037,3509,3509,1748.73816301612,5.15061142326427,0.630963729438215,0.6898155921061,0.970828392766427,4032.79836460212,4040.37579617834
OSS04S,178646,178646,1269,1269,934.970183159889,3.93055990212236,0.550037565835843,0.574600027847147,0.891065153406597,1376.03138656796,1448
OSS11R,166640,166640,1878,1878,1373.25543543031,5.26204511945749,0.69807259029581,0.728316848912923,0.986990290530018,2001.72847891639,2013.05128205128
OSS11A1R,254240,254240,1479,1479,859.371311033164,3.85920247296888,0.528721503359614,0.571208941618411,0.934803601899822,1655.97838306131,1657.57894736842
OSS21A1S,115822,115822,1489,1489,1124.95878126183,4.30588222019898,0.589373763107407,0.612893202412406,0.942727027047103,1630.9213041272,1633.12060301508
OSS22A1S,210039,210039,2120,2120,1364.28694685954,4.98731096533194,0.651155422163076,0.690917629592994,0.979643837186136,2306.40333782151,2319.87951807229
OSS11B1S,103847,103847,982,982,771.93155712232,3.41934350278083,0.496305709546873,0.5142723783917,0.846927742487555,1065.52589048228,1064.28358208955
OSS21B1S,117230,117230,426,426,268.056954885521,0.615371111012341,0.101639652462869,0.110060661157952,0.192865745705907,555.22200623643,532.411764705882
OSS22B1S,76667,76666,1211,1210,940.035013460217,3.59321651567944,0.506143739180607,0.524869999323097,0.889773084376019,1562.22315776169,1521.20873786408
OSS11D1S,225588,225588,2712,2712,1611.49783561664,5.19225351192375,0.656794868954722,0.703088721771975,0.985314952117273,3020.05147931779,3020.81818181818
R319S,186023,186023,2412,2412,1423.42272151987,4.37553732902892,0.561815417638509,0.602623059031858,0.910675931927936,2832.68390545188,2755.59068627451
OSC08R,169173,169172,2433,2432,1529.92701250606,5.18542662271681,0.665064281448955,0.707138153915451,0.983031366713945,2980.3657865219,3005.04501607717
OSC08S,167030,167030,2177,2177,1490.5223085075,5.30767565995732,0.69059077844529,0.726394068910052,0.985226835397654,2442.74070855146,2454.35632183908
RIN34S,165496,165496,1691,1691,995.65867982122,4.13687722684988,0.556549884492006,0.599251749207184,0.943001462449166,2163.19036887551,2092.41901408451
RIN35S,241922,241922,2218,2218,1144.82897162056,4.42404388247038,0.574225920365353,0.628146708065055,0.950976691864098,2823.01823036964,2760.92082111437
RIN36S,69660,69660,476,476,434.916189801576,2.99776971196199,0.486223283293699,0.493447579266503,0.863150032119423,499.987051415096,502.063829787234
RIN37S,36293,36293,542,542,542,3.58429302581723,0.569363236596762,0.569363236596762,0.908994920412087,615.538709354453,606.060975609756
RIN38S,226351,226351,3168,3168,1734.52790700982,5.36808140061729,0.665944356920566,0.719727585704533,0.980281905306764,3880.93672254986,3765.87790697674
RIN39S,204662,204662,2561,2561,1385.97953255852,4.62290983255437,0.589044298929828,0.639038712298104,0.961308804195655,3480.12934700782,3430.67127071823
RIN40S,180630,180630,2664,2664,1555.59153488212,5.2493783933616,0.665524243201837,0.714238927568119,0.984834678396783,3412.20024756547,3415.09809264305
R220S,253942,253942,2915,2915,1466.73159653396,4.82302266494918,0.604568728816797,0.661522478880475,0.968802326658529,3773.98262830752,3684.38876404494
R313S,130252,130252,1894,1894,1300.86297403942,4.41153873072111,0.584584925234119,0.615210171442859,0.948822175447412,2281.12255896055,2278.375
R314S,139743,139743,1929,1929,1294.90850689196,4.42098325446555,0.584418408538861,0.616921958820144,0.958076210414582,2249.78742611961,2235.87676056338
R315S,183426,183426,1925,1925,1252.07456752481,4.64285282995653,0.613916239292648,0.650938051985648,0.971543837116746,2147.19486433976,2141.46153846154
DA06S,217426,217426,2477,2477,1488.36673570553,4.66135490642562,0.596477563189354,0.638066745038378,0.95251765970626,2810.16289571079,2769.09366391185
DA07S,153009,153009,2174,2174,1418.8432064954,4.575939351637,0.595490157798336,0.630503352710596,0.950569794172784,2588.48294923842,2576.49180327869
DA08S,250368,250368,2548,2548,1427.60779368085,4.61569020490668,0.588505996519128,0.635441299767481,0.954810397226673,3029.82736791309,3015.24340175953
