Rank	Taxonpath	Taxon	S613C.OSF43	S258C.RIN36	S262C.RIN38	S394C.DA9	S459C.D5	S662C.DA2	S633C.VFRK01	S382C.OSC08	S848C.SG10	S373C.REG313	S669C.DA4	S409C.OSC32	S756C.REG902	S463C.DP32	S406C.DA13	S410C.OSC32	S439C.D28	S229C.OSS21A1	S231C.OSS21A1	S764C.REG908	S653C.BRA07	S219C.80.82	S259C.RIN37	S388C.DA7	S566C.BAL22	S651C.BRA06	S233C.OSS22A1	S447C.D30	S752C.BRA16	S648C.VFR34	S465C.BAL16	S240C.OSS21B1	S581C.BAL50	S246C.R319	S386C.DA6	S861C.BLANK	S430C.D22	S234C.OSS22A1	S251C.OSC08	S649C.VFR34	S579C.BAL50	S445C.D3	S403C.DA12	S271C.R220	S592C.BAL54	S387C.DA6	S842C.SG08	S595C.BAL55	S265C.RIN39	S252C.RIN34	S412C.OSC16	S468C.BLANK	S414C.OSC16	S659C.MOCK	S643C.VFR32	S654C.BRA07	S751C.BRA16	S443C.D3	S628C.VFR20	S854C.SG12	S640C.VFR32	S585C.BAL52	S441C.D29	S616C.OSF17	S256C.RIN35	S624C.VFR04	S257C.RIN35	S438C.D28	S840C.SG07	S433C.D23	S270C.R220	S397C.DA10	S850C.SG11	S757C.REG902	S614C.OSF43	S591C.BAL54	S401C.DA11	S858C.SG13	S851C.SG11	S467C.BAL16	S596C.BAL55	S841C.SG08	S607C.OSF42	S754C.BRA17	S454C.D33	S437C.D28	S420C.OSC30	S835C.SG06	S408C.DA13	S570C.BAL37	S418C.OSC20	S625C.VFR05	S404C.DA12	S604C.R218	S223C.OSS11	S667C.DA4	S622C.VFR04	S211C.75.77	S855C.SG12	S230C.OSS21A1	S845C.SG09	S664C.DA3	S597C.BAL56	S568C.BAL22	S632C.VFRK01	S839C.SG07	S765C.BLANK	S222C.OSS04	S860C.BLEX14	S427C.D2	S758C.REG902	S456C.D35	S761C.REG905	S636C.VFRK02	S455C.D33	S376C.REG314	S859C.BLEX14	S249C.OSC08	S458C.D35	S276C.BLANK	S392C.DA8	S440C.D29	S384C.BLEX4	S266C.RIN40	S224C.OSS11	S398C.DA10	S760C.REG905	S417C.OSC20	S428C.D22	S646C.VFR33	S660C.BLANK	S856C.SG13	S606C.OSF42	S419C.OSC30	S268C.RIN40	S578C.BLEX7	S589C.BAL53	S374C.REG313	S644C.VFR33	S658C.BRA08	S260C.RIN38	S836C.SG06	S642C.BLEX9	S852C.SG11	S238C.OSS21B1	S629C.VFR20	S635C.VFRK02	S630C.VFR20	S405C.DA12	S753C.BRA17	S620C.VFR03	S574C.BAL42	S576C.BAL49	S601C.R213	S665C.DA3	S615C.OSF43	S225C.OSS11	S587C.BAL52	S400C.DA11	S435C.D27	S274C.BLEX4	S844C.SG09	S450C.D31	S446C.D30	S594C.BAL55	S393C.DA8	S621C.VFR03	S650C.BRA06	S254C.RIN34	S637C.VFRK03	S849C.SG10	S575C.BAL49	S572C.BAL42	S593C.BAL54	S263C.RIN39	S402C.DA11	S227C.OSS11A1	S618C.OSF17	S565C.BAL16	S645C.VFR33	S239C.OSS21B1	S453C.D33	S602C.R213	S755C.BRA17	S422C.D19	S577C.BAL49	S379C.REG315	S416C.BLEX5	S749C.DA01	S837C.SG06	S655C.BRA07	S395C.DA9	S750C.BRA16	S385C.DA6	S434C.D27	S666C.DA3	S255C.RIN35	S623C.VFR04	S261C.RIN38	S657C.BRA08	S248C.R319	S241C.OSS22B1	S221C.OSS04	S375C.REG313	S407C.DA13	S244C.OSS11D1	S608C.OSF42	S461C.D5	S272C.BLEX2	S617C.OSF17	S390C.DA7	S267C.RIN40	S423C.D19	S599C.BAL56	S452C.D31	S220C.OSS04	S415C.OSC20	S672C.DA5	S411C.OSC32	S582C.BAL51	S431C.D23	S609C.OSF44	S269C.R220	S96.COIBlank	S226C.OSS11A1	S425C.D2	S237C.OSS11B1	S639C.VFRK03	S421C.OSC30	S634C.VFRK02	S460C.D5	S215C.60.62	S745C.OSC08	S853C.SG12	S432C.D23	S250C.OSC08	S612C.OSF44	S641C.VFR32	S638C.VFRK03	S389C.DA7	S462C.DP32	S847C.SG10	S245C.OSS11D1	S247C.R319	S569C.BAL37	S600C.R213	S426C.D2	S670C.DA5	S571C.BAL37	S466C.BAL16	S242C.OSS22B1	S413C.OSC16	S656C.BRA08	S442C.D29	S663C.DA2	S236C.OSS11B1	S383C.OSC08	S232C.OSS22A1	S857C.SG13	S449C.D30	S763C.REG908	S235C.OSS11B1	S838C.SG07	S377C.REG314	S378C.REG314	S661C.DA2	S583C.BAL51	S762C.REG908	S196C.65.67	S610C.BLEX8	S243C.OSS11D1	S380C.REG315	S429C.D22	S586C.BAL52	S436C.D27	S580C.BAL50	S424C.D19	S668C.DA4	S272C.MOCK	S631C.VFRK01	S626C.VFR05	S652C.BRA06	S843C.SG08	S590C.BAL53	S399C.DA10	S605C.R218	S671C.DA5	S391C.DA8	S603C.R218	S584C.BAL51	S759C.REG905	S448C.BLEX6	S627C.VFR05	S588C.BAL53	S444C.D3	S647C.VFR34	S381C.REG315	S619C.VFR03	S396C.DA9	S846C.SG09	S464C.DP32	S573C.BAL42	S253C.RIN34	S228C.OSS11A1	S598C.BAL56	S264C.RIN39	S457C.D35	S567C.BAL22	S611C.OSF44	S451C.D31
root	root	root	1626	834	2817	2415	3022	3166	1316	769	2065	1368	1902	874	1516	3162	2311	1395	1595	231	1368	1428	2154	2012	376	1645	2145	937	1391	1155	435	704	2457	292	1291	1466	1979	23	1442	947	1274	1424	799	1667	2188	4273	760	2404	1581	1680	2558	707	932	35	925	37	353	1350	732	1960	989	2371	380	2271	1523	517	1953	1995	2932	2061	2121	1552	1335	3008	2880	2410	1524	1232	2474	2394	2557	47	731	2146	580	506	1714	1219	669	2235	2310	2006	687	2746	1839	2161	1720	3073	1280	2634	2935	874	1797	3205	1388	1168	1054	2068	5	1404	26	2493	1018	2542	1410	343	2299	1527	14	3495	2898	23	2052	942	22	2082	1755	2975	1256	579	1574	472	37	2814	609	1207	2351	13	1450	655	371	1628	1747	1744	18	2432	206	636	734	1529	1381	562	1194	1570	1879	622	2788	1334	1277	719	1507	2129	26	873	1940	1653	293	2241	1514	527	2004	821	3120	1454	1588	1268	1840	2824	430	481	1429	421	243	1842	1468	523	1367	2040	1465	33	661	1949	1167	1212	517	1754	785	3239	2160	626	2656	1287	3183	371	629	652	2388	1944	586	3328	21	746	1813	2372	1351	1136	2127	936	974	1118	1254	1696	1706	291	4114	12	889	1463	125	860	795	453	1317	1119	796	2452	1239	493	1094	415	937	1575	2269	1873	1767	699	1608	756	2218	2389	1536	2392	920	838	1406	1483	3407	548	1648	1183	2600	752	1558	1055	2472	1233	1710	3098	993	1949	749	30	1875	984	1212	1719	2043	967	1201	1932	43	919	1981	1462	2390	1234	2224	2026	1994	2755	1542	1332	741	24	1807	1761	2035	1711	1746	1251	2855	2129	2933	2199	2033	337	1273	2098	2493	3740	786	2442
meta	Cellular organisms	Cellular organisms	1626	834	2817	2415	3022	3166	1316	769	2065	1368	1902	874	1516	3162	2311	1395	1595	231	1368	1428	2154	2012	376	1645	2145	937	1391	1155	435	704	2457	292	1291	1466	1979	23	1442	947	1274	1424	799	1667	2188	4273	760	2404	1581	1680	2558	707	932	35	925	37	353	1350	732	1960	989	2371	380	2271	1523	517	1953	1995	2932	2061	2121	1552	1335	3008	2880	2410	1524	1232	2474	2394	2557	47	731	2146	580	506	1714	1219	669	2235	2310	2006	687	2746	1839	2161	1720	3073	1280	2634	2935	874	1797	3205	1388	1168	1054	2068	5	1404	26	2493	1018	2542	1410	343	2299	1527	14	3495	2898	23	2052	942	22	2082	1755	2975	1256	579	1574	472	37	2814	609	1207	2351	13	1450	655	371	1628	1747	1744	18	2432	206	636	734	1529	1381	562	1194	1570	1879	622	2788	1334	1277	719	1507	2129	26	873	1940	1653	293	2241	1514	527	2004	821	3120	1454	1588	1268	1840	2824	430	481	1429	421	243	1842	1468	523	1367	2040	1465	33	661	1949	1167	1212	517	1754	785	3239	2160	626	2656	1287	3183	371	629	652	2388	1944	586	3328	21	746	1813	2372	1351	1136	2127	936	974	1118	1254	1696	1706	291	4114	12	889	1463	125	860	795	453	1317	1119	796	2452	1239	493	1094	415	937	1575	2269	1873	1767	699	1608	756	2218	2389	1536	2392	920	838	1406	1483	3407	548	1648	1183	2600	752	1558	1055	2472	1233	1710	3098	993	1949	749	30	1875	984	1212	1719	2043	967	1201	1932	43	919	1981	1462	2390	1234	2224	2026	1994	2755	1542	1332	741	24	1807	1761	2035	1711	1746	1251	2855	2129	2933	2199	2033	337	1273	2098	2493	3740	786	2442
meta	No hits	No hits	1467	627	2318	2209	2075	2434	1503	995	2259	1365	1100	1036	1733	2513	1996	1376	1278	243	1069	1534	1845	1439	381	1589	2054	939	1143	1160	589	698	1850	253	1634	1168	1807	20	1241	861	1272	1245	992	1715	1978	3200	865	2137	1847	1520	2095	536	1120	22	977	21	369	1483	950	1693	1333	2528	523	2047	1295	675	1577	2396	2359	1740	2319	1251	1217	2411	2710	2365	1315	1435	2115	2700	2632	37	885	2326	645	696	1324	1107	800	2481	2088	1867	874	2403	1629	1754	1271	2143	1708	2192	2922	700	2247	2511	1555	1189	1305	2323	19	1081	25	1801	1390	1805	1855	642	1719	1358	20	2783	2037	29	1742	977	9	1675	1372	2567	1664	862	1273	516	24	2911	824	1254	2005	11	1523	814	414	1794	1750	2098	16	2584	213	1083	988	1614	1593	679	1596	1403	1657	764	2450	1163	1292	1009	1452	1923	24	1341	1566	1468	403	1784	1794	800	1462	1289	3069	1518	1405	1378	1701	2211	461	606	1605	420	226	1502	1397	695	1157	1895	1288	9	924	2390	1400	1370	858	1603	882	2336	1735	875	2153	1267	2756	299	555	1065	2335	1442	746	2533	12	875	1738	2236	1078	1352	1620	894	1214	783	1273	1697	1454	474	3113	15	1094	1246	111	1121	913	680	1300	1174	1082	2618	1129	735	1347	497	1495	1372	1710	2071	1305	750	1701	739	1793	1647	1324	2043	660	915	1392	1167	2405	635	1497	1004	2657	703	1616	924	2463	1026	1513	2293	1070	2127	1017	34	1332	925	1170	1652	1736	1264	1054	1279	29	1160	1743	1433	2649	1452	2031	1872	1541	2201	1356	1269	1050	17	1756	1716	1856	1376	1479	1528	2215	2317	2039	1989	1388	272	1265	1813	1760	2897	1081	1847
domain	Cellular organisms;Eukaryota	Eukaryota	1626	834	2817	2415	3022	3166	1316	769	2065	1368	1902	874	1516	3162	2311	1395	1595	231	1368	1428	2154	2012	376	1645	2145	937	1391	1155	435	704	2457	292	1291	1466	1979	23	1442	947	1274	1424	799	1667	2188	4273	760	2404	1581	1680	2558	707	932	35	925	37	353	1350	732	1960	989	2371	380	2271	1523	517	1953	1995	2932	2061	2121	1552	1335	3008	2880	2410	1524	1232	2474	2394	2557	47	731	2146	580	506	1714	1219	669	2235	2310	2006	687	2746	1839	2161	1720	3073	1280	2634	2935	874	1797	3205	1388	1168	1054	2068	5	1404	26	2493	1018	2542	1410	343	2299	1527	14	3495	2898	23	2052	942	22	2082	1755	2975	1256	579	1574	472	37	2814	609	1207	2351	13	1450	655	371	1628	1747	1744	18	2432	206	636	734	1529	1381	562	1194	1570	1879	622	2788	1334	1277	719	1507	2129	26	873	1940	1653	293	2241	1514	527	2004	821	3120	1454	1588	1268	1840	2824	430	481	1429	421	243	1842	1468	523	1367	2040	1465	33	661	1949	1167	1212	517	1754	785	3239	2160	626	2656	1287	3183	371	629	652	2388	1944	586	3328	21	746	1813	2372	1351	1136	2127	936	974	1118	1254	1696	1706	291	4114	12	889	1463	125	860	795	453	1317	1119	796	2452	1239	493	1094	415	937	1575	2269	1873	1767	699	1608	756	2218	2389	1536	2392	920	838	1406	1483	3407	548	1648	1183	2600	752	1558	1055	2472	1233	1710	3098	993	1949	749	30	1875	984	1212	1719	2043	967	1201	1932	43	919	1981	1462	2390	1234	2224	2026	1994	2755	1542	1332	741	24	1807	1761	2035	1711	1746	1251	2855	2129	2933	2199	2033	337	1273	2098	2493	3740	786	2442
superkingdom	Cellular organisms;Eukaryota;Archaeoplastida	Archaeoplastida	49	38	148	112	156	183	64	29	151	47	92	29	96	165	107	55	63	13	59	72	65	98	13	78	90	48	51	55	18	27	111	8	48	62	110	2	69	37	53	63	21	67	100	226	25	115	115	66	140	26	43	1	38	1	12	42	26	81	40	183	13	100	61	17	69	83	131	75	166	64	58	152	198	159	56	51	139	183	192	1	20	158	31	17	65	48	28	150	97	90	35	151	85	108	59	173	57	145	209	40	124	165	62	58	41	150	0	48	3	107	74	113	101	13	91	63	1	176	113	0	93	39	1	86	69	152	82	24	59	15	3	196	17	63	88	0	71	25	12	63	80	121	0	167	12	19	35	73	74	26	41	66	76	16	119	41	53	24	62	86	0	50	67	63	9	116	71	21	90	30	225	55	74	49	79	140	16	11	65	10	9	68	67	25	54	96	70	2	28	151	45	61	17	81	28	172	94	21	144	67	159	14	25	21	117	85	22	180	1	26	84	99	57	53	97	33	45	49	36	79	85	11	232	0	35	57	0	32	33	16	49	41	43	197	54	20	41	11	41	70	101	130	73	24	73	30	96	114	82	112	32	30	63	64	185	19	61	43	179	21	103	34	186	40	72	155	40	112	29	0	67	30	49	83	87	46	53	102	0	36	87	67	178	57	106	85	96	131	61	67	51	1	83	71	91	77	72	57	154	160	132	109	84	16	62	96	110	209	38	110
superkingdom	Cellular organisms;Eukaryota;Opisthokonta	Opisthokonta	1016	497	1773	1533	1893	1962	826	493	1252	863	1175	587	933	2016	1432	886	1033	146	860	915	1388	1267	223	1030	1403	587	888	745	286	422	1578	192	845	909	1209	16	893	610	821	878	527	1064	1390	2718	497	1539	975	1068	1573	425	612	24	596	25	223	877	471	1248	616	1429	211	1431	986	336	1249	1247	1819	1342	1319	976	865	1907	1775	1489	940	813	1541	1438	1580	37	470	1302	378	325	1115	775	433	1391	1449	1308	451	1704	1177	1372	1103	1915	802	1598	1836	560	1117	2046	880	776	693	1255	4	909	16	1630	619	1605	865	220	1434	935	10	2217	1851	13	1280	605	15	1292	1132	1882	796	380	1004	297	23	1728	389	769	1505	8	930	413	231	1040	1087	1078	12	1475	124	410	462	961	863	341	750	1015	1196	415	1764	818	813	474	938	1365	20	547	1269	1081	200	1383	970	316	1218	541	1915	948	1030	819	1158	1772	255	312	928	272	151	1179	960	317	864	1324	930	18	404	1202	732	767	334	1107	531	2009	1334	411	1713	825	1992	243	409	395	1540	1179	386	2138	15	508	1149	1505	864	739	1363	607	641	705	850	1075	1066	197	2590	10	586	965	83	530	513	296	861	691	520	1485	787	314	711	268	603	979	1412	1143	1088	438	1029	486	1419	1507	981	1521	585	554	881	931	2151	344	1064	769	1613	484	955	658	1554	750	1083	1954	639	1216	494	24	1148	652	766	1086	1310	625	758	1220	36	568	1214	952	1461	789	1401	1295	1240	1736	976	860	457	18	1114	1143	1273	1053	1103	775	1765	1307	1862	1384	1264	201	840	1323	1586	2321	515	1593
superkingdom	Cellular organisms;Eukaryota;SAR	SAR	404	216	618	545	680	737	310	181	442	333	462	192	329	696	563	343	359	57	337	307	510	451	114	390	465	226	336	255	106	201	534	71	301	361	463	3	344	224	288	363	195	389	504	925	186	513	324	386	590	201	206	10	214	10	91	315	184	450	248	523	120	541	347	125	465	496	686	457	419	386	317	669	619	520	383	287	576	517	513	5	192	461	131	123	406	301	153	469	564	448	144	625	414	497	419	684	304	627	604	205	379	721	325	251	230	463	1	339	6	547	224	609	293	92	563	374	3	780	666	6	472	221	4	508	404	664	267	137	364	123	10	584	157	272	558	4	319	162	103	390	401	369	5	541	60	158	178	351	326	137	303	349	426	147	655	358	299	167	357	480	6	176	444	385	73	539	349	141	513	196	649	326	366	290	419	649	114	117	315	112	68	436	330	140	329	428	339	10	177	392	280	269	123	399	179	744	521	150	548	304	735	87	148	188	505	493	132	725	3	155	429	573	317	241	482	223	220	280	280	403	385	66	911	2	196	319	38	223	192	105	307	289	175	521	295	118	258	109	217	387	558	411	434	175	370	196	502	546	345	551	224	188	339	362	772	133	395	272	539	182	345	265	477	332	405	713	230	413	169	6	498	223	294	393	467	218	288	432	7	228	500	321	509	285	501	483	467	626	381	294	170	5	444	385	495	426	421	310	661	459	656	501	503	94	281	493	573	865	179	548
kingdom	Cellular organisms;Eukaryota;Archaeoplastida;Plantae	Plantae	1	1	0	1	2	3	1	2	0	1	2	2	0	2	2	1	2	2	0	1	2	1	0	2	2	3	1	2	2	2	0	2	1	0	3	0	2	1	2	2	2	2	2	3	1	3	0	1	0	0	2	0	1	0	2	3	2	2	3	1	1	2	1	1	1	2	1	2	0	2	1	2	1	1	1	2	3	1	2	0	2	1	1	1	2	1	1	0	2	2	1	1	3	2	2	3	2	2	0	0	0	3	2	2	2	0	0	3	0	2	1	2	2	2	2	2	0	5	2	0	3	2	0	2	1	2	1	0	2	1	1	1	1	3	1	0	1	2	2	2	1	0	0	1	4	1	3	2	2	2	2	1	1	3	2	1	1	0	4	2	0	0	3	2	1	4	3	2	2	1	0	1	1	2	2	3	1	0	1	1	2	3	2	2	2	1	1	0	1	1	2	1	1	2	2	2	2	2	2	3	2	3	2	2	2	0	1	2	0	1	3	2	2	2	2	2	2	2	3	1	2	2	2	0	1	1	0	2	1	2	2	1	2	1	2	1	2	3	1	3	2	1	1	1	1	1	2	2	3	1	3	1	1	2	2	1	2	1	0	2	2	1	1	1	2	2	1	1	3	0	1	1	2	1	2	2	2	3	0	1	2	1	0	2	2	2	3	3	4	1	1	0	2	2	2	3	3	4	1	1	3	1	1	3	2	0	2	2	3	3
kingdom	Cellular organisms;Eukaryota;Archaeoplastida;Rhodophyta	Rhodophyta	48	37	148	111	154	180	63	27	151	46	90	27	96	163	105	54	61	11	59	71	63	97	13	76	88	45	50	53	16	25	111	6	47	62	107	2	67	36	51	61	19	65	98	223	24	112	115	65	140	26	41	1	37	1	10	39	24	79	37	182	12	98	60	16	68	81	130	73	166	62	57	150	197	158	55	49	136	182	190	1	18	157	30	16	63	47	27	150	95	88	34	150	82	106	57	170	55	143	209	40	124	162	60	56	39	150	0	45	3	105	73	111	99	11	89	61	1	171	111	0	90	37	1	84	68	150	81	24	57	14	2	195	16	60	87	0	70	23	10	61	79	121	0	166	8	18	32	71	72	24	39	65	75	13	117	40	52	24	58	84	0	50	64	61	8	112	68	19	88	29	225	54	73	47	77	137	15	11	64	9	7	65	65	23	52	95	69	2	27	150	43	60	16	79	26	170	92	19	142	64	157	11	23	19	115	85	21	178	1	25	81	97	55	51	95	31	43	47	33	78	83	9	230	0	34	56	0	30	32	14	47	40	41	196	52	19	39	8	40	67	99	129	72	23	72	29	94	112	79	111	29	29	62	62	183	18	59	42	179	19	101	33	185	39	70	153	39	111	26	0	66	29	47	82	85	44	51	99	0	35	85	66	178	55	104	83	93	128	57	66	50	1	81	69	89	74	69	53	153	159	129	108	83	13	60	96	108	207	35	107
kingdom	Cellular organisms;Eukaryota;Opisthokonta;Fungi	Fungi	27	17	66	52	70	80	26	10	48	29	41	14	26	78	47	28	28	5	34	21	48	44	1	29	36	9	28	15	6	16	49	1	19	37	31	1	13	12	24	33	16	27	48	89	5	57	32	28	62	9	17	0	6	0	3	32	13	40	11	53	7	44	27	4	47	41	59	37	49	25	19	72	66	56	36	12	48	41	57	1	12	40	5	12	23	10	11	48	44	32	11	70	38	39	35	58	15	54	69	20	30	79	20	18	12	44	0	32	0	52	19	53	35	6	49	25	0	83	61	0	36	15	0	46	37	62	29	12	31	8	0	57	14	26	55	0	19	9	6	28	31	38	0	55	1	10	13	27	25	9	15	29	35	3	69	32	21	11	28	45	0	19	38	31	1	49	31	7	44	12	72	27	29	20	33	54	7	9	26	2	2	39	23	3	20	49	31	1	9	45	24	23	6	31	15	80	37	11	55	19	66	3	9	4	44	41	13	78	0	7	29	53	23	18	43	13	14	23	20	26	33	4	81	0	14	30	1	16	13	8	16	20	11	52	32	8	19	4	11	23	38	37	37	11	26	9	42	66	30	46	16	14	19	22	81	9	32	25	55	12	35	25	64	15	27	70	14	38	5	0	44	15	19	29	40	17	24	49	1	12	43	31	57	19	50	39	46	46	26	19	16	1	32	35	40	37	25	14	61	48	53	43	42	7	24	39	47	93	10	52
