Rank	Taxonpath	Taxon	DA01.1.2018	DA01.3.2018	DA01.4.2018	DA01.5.2018	OSS04.1.2019	OSS04.2.2019	OSS04.3.2019	OSS11.1.2019A	OSS11.2.2019A	OSS11.3.2019A	OSS11A1.1.2019A	OSS11A1.2.2019A	OSS11A1.3.2019A	OSS21A1.1.2019	OSS21A1.2.2019	OSS21A1.3.2019	OSS22A1.1.2019	OSS22A1.2.2019	OSS22A1.3.2019	OSS11B1.1.2019	OSS11B1.2.2019	OSS11B1.3.2019	OSS21B1.1.2019	OSS21B1.2.2019	OSS21B1.3.2019	OSS22B1.1.2019	OSS22B1.2.2019	OSS11D1.1.2019	OSS11D1.2.2019	OSS11D1.3.2019	R319.1.2019	R319.2.2019	R319.3.2019	OSC08.1.2019B	OSC08.2.2019A	OSC08.3.2019A	RIN34.1.2018	RIN34.2.2018	RIN34.3.2018	RIN35.1.2018	RIN35.2.2018	RIN35.3.2018	RIN36.1.2018	RIN38.1.2018	RIN38.2.2018	RIN38.3.2018	RIN39.1.2018	RIN39.2.2018	RIN39.3.2018	RIN40.1.2018	RIN40.2.2018	RIN40.3.2018	R220.1.2018	R220.2.2018	R220.3.2018	REG313.1.2019	REG313.2.2019	REG313.3.2019	REG314.1.2019	REG314.2.2019	REG314.3.2019	REG315.1.2019	REG315.2.2019	REG315.3.2019	OSC08.2.2019B	OSC08.3.2019B	DA06.1.2018	DA06.2.2018	DA06.3.2018	DA07.1.2018	DA07.2.2018	DA07.3.2018	DA08.1.2018	DA08.2.2018	DA08.3.2018	DA09.1.2018	DA09.2.2018	DA09.3.2018	DA10.1.2018	DA10.2.2018	DA10.3.2018	DA11.1.2018	DA11.2.2018	DA11.3.2018	DA12.1.2018	DA12.2.2018	DA12.3.2018	DA13.1.2018	DA13.2.2018	DA13.3.2018	OSC32.1.2019	OSC32.2.2019	OSC32.3.2019	OSC16.1.2019	OSC16.2.2019	OSC16.3.2019	OSC20.1.2019	OSC20.2.2019	OSC20.3.2019	OSC30.1.2019	OSC30.2.2019	OSC30.3.2019	D19.1.2018	D19.2.2018	D19.3.2018	D02.1.2018	D02.2.2018	D02.3.2018	D22.1.2018	D22.2.2018	D22.3.2018	D23.1.2018	D23.2.2018	D23.3.2018	D27.1.2018	D27.2.2018	D27.3.2018	D28.1.2018	D28.2.2018	D28.3.2018	D29.1.2018	D29.2.2018	D29.3.2018	D03.1.2018	D03.2.2018	D03.3.2018	D30.1.2018	D30.2.2018	D30.3.2018	D31.1.2018	D31.2.2018	D31.3.2018	D33.1.2018	D33.2.2018	D33.3.2018	D35.1.2018	D35.2.2018	D35.3.2018	D05.1.2018	D05.2.2018	D05.3.2018	DP32.1.2018	DP32.2.2018	DP32.3.2018	BAL16.1.2018	BAL16.2.2018	BAL16.3.2018	BAL22.1.2018	BAL22.2.2018	BAL22.3.2018	BAL37.1.2018	BAL37.2.2018	BAL37.3.2018	BAL42.1.2018	BAL42.2.2018	BAL42.3.2018	BAL49.1.2018	BAL49.2.2018	BAL49.3.2018	BAL50.1.2018	BAL50.2.2018	BAL50.3.2018	BAL51.1.2018	BAL51.2.2018	BAL51.3.2018	BAL52.1.2018	BAL52.2.2018	BAL52.3.2018	BAL53.1.2018	BAL53.2.2018	BAL53.3.2018	BAL54.1.2018	BAL54.2.2018	BAL54.3.2018	BAL55.1.2018	BAL55.2.2018	BAL55.3.2018	BAL56.1.2018	BAL56.2.2018	BAL56.3.2018	R213.1.2018	R213.2.2018	R213.3.2018	R218.1.2018	R218.2.2018	R218.3.2018	OSF42.1.2019	OSF42.2.2019	OSF42.3.2019	OSF44.1.2019	OSF44.2.2019	OSF44.3.2019	OSF43.1.2019	OSF43.2.2019	OSF43.3.2019	OSF17.1.2019	OSF17.2.2019	OSF17.3.2019	VFR03.1.2019	VFR03.2.2019	VFR03.3.2019	VFR04.1.2019	VFR04.2.2019	VFR04.3.2019	VFR05.1.2019	VFR05.2.2019	VFR05.3.2019	VFR20.1.2019	VFR20.2.2019	VFR20.3.2019	VFRK01.1.2019	VFRK01.2.2019	VFRK01.3.2019	VFRK02.1.2019	VFRK02.2.2019	VFRK02.3.2019	VFRK03.1.2019	VFRK03.2.2019	VFRK03.3.2019	VFR32.2.2019	VFR32.3.2019	VFR33.1.2019	VFR33.2.2019	VFR33.3.2019	VFR34.1.2019	VFR34.2.2019	VFR34.3.2019	BRA06.1.2019	BRA06.2.2019	BRA06.3.2019	BRA07.1.2019	BRA07.2.2019	BRA07.3.2019	BRA08.1.2019	BRA08.2.2019	BRA08.3.2019	DA02.1.2018	DA02.2.2018	DA02.3.2018	DA03.1.2018	DA03.2.2018	DA03.3.2018	DA04.1.2018	DA04.2.2018	DA04.3.2018	DA05.1.2018	DA05.2.2018	DA05.3.2018	OSC08.1.2019A	DA01.2.2018	BRA16.1.2019	BRA16.2.2019	BRA16.3.2019	BRA17.1.2019	BRA17.2.2019	BRA17.3.2019	REG902.1.2019	REG902.2.2019	REG902.3.2019	REG905.1.2019	REG905.2.2019	REG905.3.2019	REG908.1.2019	REG908.2.2019	REG908.3.2019	SG06.1.2019	SG06.2.2019	SG06.3.2019	SG07.1.2019	SG07.2.2019	SG07.3.2019	SG08.1.2019	SG08.2.2019	SG08.3.2019	SG09.1.2019	SG09.2.2019	SG09.3.2019	SG10.1.2019	SG10.2.2019	SG10.3.2019	SG11.1.2019	SG11.2.2019	SG11.3.2019	SG12.1.2019	SG12.2.2019	SG12.3.2019	SG13.1.2019	SG13.2.2019	SG13.3.2019
root	root	root	54599	8537	8678	59838	18368	39998	11718	8532	6267	6109	17271	4891	1173	3483	4347	7028	3172	3531	8452	5039	5009	81122	13489	5670	13324	2229	4728	5199	2990	6522	16788	49437	13574	6738	15689	27635	2893	12427	11220	41738	48042	14048	14919	47038	6458	19135	4550	15733	24680	4414	4864	3856	16732	142190	26782	13476	46682	9569	19647	18435	12316	39698	14345	4656	21466	28079	18773	7141	10606	15820	8969	6462	9561	15445	19346	16733	7669	16384	7141	9415	5725	8915	6933	10618	13870	4987	7452	5445	11257	4236	13839	17313	12833	30666	26650	13582	20566	9686	17003	12756	16551	42334	30994	3940	3044	6176	10037	15337	15871	10184	12799	10381	24398	17042	5646	20088	18423	6952	9348	19721	8557	11494	9507	6648	10810	13452	5753	18618	62974	13529	9455	12155	11687	18047	30252	13927	29355	11562	14485	24700	22427	21428	14997	13445	12004	12431	21669	18392	10176	38714	24611	36056	37683	9519	12758	6277	13625	8196	13068	5883	9122	7953	9870	16722	7520	17419	33995	2014	75826	4538	16323	7989	1696	5363	27469	2913	4770	13112	11183	5479	27583	5257	30822	17136	10809	12171	12299	15358	56478	87299	30682	20187	15427	2236	6547	30611	9041	4597	4936	6180	17196	10915	130797	5769	3676	4348	6273	5939	2795	7008	8269	8608	3615	7157	6172	15571	5519	14986	2509	1462	16448	38245	6141	1269	23297	19145	19877	28146	12717	7876	19865	5585	27263	5335	5203	56936	38608	13795	22329	8775	13398	6027	10567	6240	10031	4412	7472	9647	1357	1214	18984	10860	15875	48657	13068	9324	5540	9593	6818	21490	6744	5923	12649	9435	16213	19355	13641	16088	11491	14064	8608	9822	11730	11054	9364	12438	12971	23425	10672	12126	16830	10064	8527	29896	13626	17798	14438	19624	6811
meta	Cellular organisms	Cellular organisms	54599	8537	8678	59838	18368	39998	11718	8532	6267	6109	17271	4891	1173	3483	4347	7028	3172	3531	8452	5039	5009	81122	13489	5670	13324	2229	4728	5199	2990	6522	16788	49437	13574	6738	15689	27635	2893	12427	11220	41738	48042	14048	14919	47038	6458	19135	4550	15733	24680	4414	4864	3856	16732	142190	26782	13476	46682	9569	19647	18435	12316	39698	14345	4656	21466	28079	18773	7141	10606	15820	8969	6462	9561	15445	19346	16733	7669	16384	7141	9415	5725	8915	6933	10618	13870	4987	7452	5445	11257	4236	13839	17313	12833	30666	26650	13582	20566	9686	17003	12756	16551	42334	30994	3940	3044	6176	10037	15337	15871	10184	12799	10381	24398	17042	5646	20088	18423	6952	9348	19721	8557	11494	9507	6648	10810	13452	5753	18618	62974	13529	9455	12155	11687	18047	30252	13927	29355	11562	14485	24700	22427	21428	14997	13445	12004	12431	21669	18392	10176	38714	24611	36056	37683	9519	12758	6277	13625	8196	13068	5883	9122	7953	9870	16722	7520	17419	33995	2014	75826	4538	16323	7989	1696	5363	27469	2913	4770	13112	11183	5479	27583	5257	30822	17136	10809	12171	12299	15358	56478	87299	30682	20187	15427	2236	6547	30611	9041	4597	4936	6180	17196	10915	130797	5769	3676	4348	6273	5939	2795	7008	8269	8608	3615	7157	6172	15571	5519	14986	2509	1462	16448	38245	6141	1269	23297	19145	19877	28146	12717	7876	19865	5585	27263	5335	5203	56936	38608	13795	22329	8775	13398	6027	10567	6240	10031	4412	7472	9647	1357	1214	18984	10860	15875	48657	13068	9324	5540	9593	6818	21490	6744	5923	12649	9435	16213	19355	13641	16088	11491	14064	8608	9822	11730	11054	9364	12438	12971	23425	10672	12126	16830	10064	8527	29896	13626	17798	14438	19624	6811
domain	Cellular organisms;Eukaryota	Eukaryota	54599	8537	8678	59838	18368	39998	11718	8532	6267	6109	17271	4891	1173	3483	4347	7028	3172	3531	8452	5039	5009	81122	13489	5670	13324	2229	4728	5199	2990	6522	16788	49437	13574	6738	15689	27635	2893	12427	11220	41738	48042	14048	14919	47038	6458	19135	4550	15733	24680	4414	4864	3856	16732	142190	26782	13476	46682	9569	19647	18435	12316	39698	14345	4656	21466	28079	18773	7141	10606	15820	8969	6462	9561	15445	19346	16733	7669	16384	7141	9415	5725	8915	6933	10618	13870	4987	7452	5445	11257	4236	13839	17313	12833	30666	26650	13582	20566	9686	17003	12756	16551	42334	30994	3940	3044	6176	10037	15337	15871	10184	12799	10381	24398	17042	5646	20088	18423	6952	9348	19721	8557	11494	9507	6648	10810	13452	5753	18618	62974	13529	9455	12155	11687	18047	30252	13927	29355	11562	14485	24700	22427	21428	14997	13445	12004	12431	21669	18392	10176	38714	24611	36056	37683	9519	12758	6277	13625	8196	13068	5883	9122	7953	9870	16722	7520	17419	33995	2014	75826	4538	16323	7989	1696	5363	27469	2913	4770	13112	11183	5479	27583	5257	30822	17136	10809	12171	12299	15358	56478	87299	30682	20187	15427	2236	6547	30611	9041	4597	4936	6180	17196	10915	130797	5769	3676	4348	6273	5939	2795	7008	8269	8608	3615	7157	6172	15571	5519	14986	2509	1462	16448	38245	6141	1269	23297	19145	19877	28146	12717	7876	19865	5585	27263	5335	5203	56936	38608	13795	22329	8775	13398	6027	10567	6240	10031	4412	7472	9647	1357	1214	18984	10860	15875	48657	13068	9324	5540	9593	6818	21490	6744	5923	12649	9435	16213	19355	13641	16088	11491	14064	8608	9822	11730	11054	9364	12438	12971	23425	10672	12126	16830	10064	8527	29896	13626	17798	14438	19624	6811
superkingdom	Cellular organisms;Eukaryota;Opisthokonta	Opisthokonta	54599	8537	8678	59838	18368	39998	11718	8532	6267	6109	17271	4891	1173	3483	4347	7028	3172	3531	8452	5039	5009	81122	13489	5670	13324	2229	4728	5199	2990	6522	16788	49437	13574	6738	15689	27635	2893	12427	11220	41738	48042	14048	14919	47038	6458	19135	4550	15733	24680	4414	4864	3856	16732	142190	26782	13476	46682	9569	19647	18435	12316	39698	14345	4656	21466	28079	18773	7141	10606	15820	8969	6462	9561	15445	19346	16733	7669	16384	7141	9415	5725	8915	6933	10618	13870	4987	7452	5445	11257	4236	13839	17313	12833	30666	26650	13582	20566	9686	17003	12756	16551	42334	30994	3940	3044	6176	10037	15337	15871	10184	12799	10381	24398	17042	5646	20088	18423	6952	9348	19721	8557	11494	9507	6648	10810	13452	5753	18618	62974	13529	9455	12155	11687	18047	30252	13927	29355	11562	14485	24700	22427	21428	14997	13445	12004	12431	21669	18392	10176	38714	24611	36056	37683	9519	12758	6277	13625	8196	13068	5883	9122	7953	9870	16722	7520	17419	33995	2014	75826	4538	16323	7989	1696	5363	27469	2913	4770	13112	11183	5479	27583	5257	30822	17136	10809	12171	12299	15358	56478	87299	30682	20187	15427	2236	6547	30611	9041	4597	4936	6180	17196	10915	130797	5769	3676	4348	6273	5939	2795	7008	8269	8608	3615	7157	6172	15571	5519	14986	2509	1462	16448	38245	6141	1269	23297	19145	19877	28146	12717	7876	19865	5585	27263	5335	5203	56936	38608	13795	22329	8775	13398	6027	10567	6240	10031	4412	7472	9647	1357	1214	18984	10860	15875	48657	13068	9324	5540	9593	6818	21490	6744	5923	12649	9435	16213	19355	13641	16088	11491	14064	8608	9822	11730	11054	9364	12438	12971	23425	10672	12126	16830	10064	8527	29896	13626	17798	14438	19624	6811
kingdom	Cellular organisms;Eukaryota;Opisthokonta;Metazoa	Metazoa	54599	8537	8678	59838	18368	39998	11718	8532	6267	6109	17271	4891	1173	3483	4347	7028	3172	3531	8452	5039	5009	81122	13489	5670	13324	2229	4728	5199	2990	6522	16788	49437	13574	6738	15689	27635	2893	12427	11220	41738	48042	14048	14919	47038	6458	19135	4550	15733	24680	4414	4864	3856	16732	142190	26782	13476	46682	9569	19647	18435	12316	39698	14345	4656	21466	28079	18773	7141	10606	15820	8969	6462	9561	15445	19346	16733	7669	16384	7141	9415	5725	8915	6933	10618	13870	4987	7452	5445	11257	4236	13839	17313	12833	30666	26650	13582	20566	9686	17003	12756	16551	42334	30994	3940	3044	6176	10037	15337	15871	10184	12799	10381	24398	17042	5646	20088	18423	6952	9348	19721	8557	11494	9507	6648	10810	13452	5753	18618	62974	13529	9455	12155	11687	18047	30252	13927	29355	11562	14485	24700	22427	21428	14997	13445	12004	12431	21669	18392	10176	38714	24611	36056	37683	9519	12758	6277	13625	8196	13068	5883	9122	7953	9870	16722	7520	17419	33995	2014	75826	4538	16323	7989	1696	5363	27469	2913	4770	13112	11183	5479	27583	5257	30822	17136	10809	12171	12299	15358	56478	87299	30682	20187	15427	2236	6547	30611	9041	4597	4936	6180	17196	10915	130797	5769	3676	4348	6273	5939	2795	7008	8269	8608	3615	7157	6172	15571	5519	14986	2509	1462	16448	38245	6141	1269	23297	19145	19877	28146	12717	7876	19865	5585	27263	5335	5203	56936	38608	13795	22329	8775	13398	6027	10567	6240	10031	4412	7472	9647	1357	1214	18984	10860	15875	48657	13068	9324	5540	9593	6818	21490	6744	5923	12649	9435	16213	19355	13641	16088	11491	14064	8608	9822	11730	11054	9364	12438	12971	23425	10672	12126	16830	10064	8527	29896	13626	17798	14438	19624	6811
phylum	Cellular organisms;Eukaryota;Opisthokonta;Metazoa;Arthropoda	Arthropoda	421	860	238	3076	560	579	2871	1890	1684	992	542	70	94	13	1218	1380	731	1398	2177	1680	1141	2	7652	1583	360	55	155	514	565	2679	491	1947	2648	175	231	1360	224	2777	933	1719	1025	486	3329	488	450	235	619	493	5794	1301	268	282	1403	693	2864	1098	1410	257	335	251	599	173	1684	640	218	1817	533	159	4914	10274	346	374	572	4455	152	490	259	10523	673	1526	1914	2750	2006	4747	719	789	252	888	313	401	497	1490	254	944	2574	885	1057	220	224	325	394	1650	159	148	277	682	982	824	525	1085	3676	480	84	10542	231	726	657	804	753	1732	287	447	169	698	1474	2473	588	1347	122	3341	1878	1206	230	1391	296	737	1586	523	2792	571	1470	1159	1504	3584	568	299	3316	499	835	640	225	448	116	1245	840	197	528	1757	197	4114	259	891	271	249	283	305	88	351	2411	168	303	213	68	130	242	444	87	136	179	2090	148	44	10594	7379	1870	1148	153	151	57	158	322	743	1081	249	441	277	2822	543	239	2456	2304	1412	81	300	604	395	258	1964	642	2261	67	849	234	85	198	13854	196	7703	129	86	48	381	63	115	340	65	205	61	474	1163	2867	350	196	446	138	5106	2850	467	7879	290	328	211	4179	1019	1327	918	219	162	60	59	77	1196	250	226	136	2092	990	1393	226	199	118	233	1117	224	202	271	179	299	399	1067	320	294	169	221	253	182	636	206	334	385	291	323	503	251	303	466	303	1080	528
phylum	Cellular organisms;Eukaryota;Opisthokonta;Metazoa;Annelida	Annelida	49688	2228	792	52938	15628	38145	5194	2158	1912	3018	14117	4656	969	3209	2186	861	451	677	4646	1806	2704	81070	5766	3989	12764	2001	3424	613	237	1387	13569	14852	4999	472	10518	18866	1802	1404	1729	35622	22721	7872	5633	37364	586	707	361	1148	151	1280	1032	1745	2202	22980	3564	9943	43203	6253	15853	10885	6595	32310	10241	646	13790	19271	13598	888	476	2104	913	1097	2224	6719	14174	11321	5363	648	158	2645	438	13	238	445	8291	412	1470	1016	3421	547	5846	6317	7236	16669	18786	7022	10345	6271	11748	7223	11981	37428	10881	152	745	1905	511	6719	4349	2673	2420	5132	14609	1409	3454	6303	12229	1051	1578	14172	1581	7161	2899	1790	3190	4511	940	12645	5366	2249	851	4674	961	1645	14746	2688	23989	1635	556	20027	1663	4829	2741	1470	5461	664	9536	3077	1072	2581	18378	2662	9575	4469	5865	1860	10567	258	866	821	681	1203	5893	14314	4421	1256	1962	868	5817	2071	13493	3569	136	1272	2071	160	3605	2576	7286	844	1078	2597	4161	529	853	1617	7368	10426	46036	84583	16483	11770	11769	189	4241	27873	2433	2666	2193	1897	7359	2146	130392	1510	45	242	4198	55	258	943	7174	5268	1114	1089	2950	912	3463	1760	425	1102	16138	37202	5788	24	21402	18604	8221	25629	9656	4085	12560	350	24331	364	3250	7558	29918	5239	10110	4002	8568	1890	2374	2521	5091	455	1616	8817	512	585	15848	7251	10305	46622	3279	4842	183	177	1555	12561	679	86	442	704	617	4	371	2768	648	53	19	490	4153	333	1117	2838	24	11761	2234	22	359	457	8	214	75	21	1044	10514	28
phylum	Cellular organisms;Eukaryota;Opisthokonta;Metazoa;Brachiopoda	Brachiopoda	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0
phylum	Cellular organisms;Eukaryota;Opisthokonta;Metazoa;Bryozoa	Bryozoa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	6	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	3	0	0	0	0	2	17	0	0	0	138	0	8	0	0	256	0	0	11	0	865	0	0	0
phylum	Cellular organisms;Eukaryota;Opisthokonta;Metazoa;Chaetognatha	Chaetognatha	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	5	0	0	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	3	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
