Rank	Taxonpath	Taxon	DA01S	OSS04S	OSS11S	OSS11A1S	OSS21A1S	OSS22A1S	OSS11B1S	OSS21B1S	OSS22B1S	OSS11D1S	R319S	OSC08R	OSC08S	RIN34S	RIN35S	RIN36S	RIN38S	RIN39S	RIN40S	R220S	R313S	R314S	R315S	DA06S	DA07S	DA08S	DA09S	DA10S	DA11S	DA12S	DA13S	OSC32S	OSC16S	OSC20S	OSC30S	D19S	D02S	D22S	D23S	D27S	D28S	D29S	D03S	D30S	D31S	D33S	D35S	D05S	DP32S	BAL16S	BAL22S	BAL37S	BAL42S	BAL49S	BAL50S	BAL51S	BAL52S	BAL53S	BAL54S	BAL55S	BAL56S	R213S	R218S	OSF42S	OSF44S	OSF43S	OSF17S	VFR03S	VFR04S	VFR05S	VFR20S	VFRK01S	VFRK02S	VFRK03S	VFR32S	VFR33S	VFR34S	BRA06S	BRA07S	BRA08S	DA02S	DA03S	DA04S	DA05S	BRA16S	BRA17S	R902S	R905S	R908S	SG06S	SG07S	SG08S	SG09S	SG10S	SG11S	SG12S	SG13S
root	root	root	132866	70084	20908	23335	14858	15155	91170	32483	6957	14711	79799	56283	44681	26540	103828	14919	72631	44963	13134	185704	69727	50398	58699	36520	31251	44352	40786	22281	26466	26309	20938	43985	70898	47255	71641	37978	31550	38854	51821	44157	36021	29558	30910	87345	35139	59986	54844	61612	49870	46104	67282	98350	28554	34889	22958	34112	53428	96687	15048	35152	29774	63662	40116	84135	138168	24210	44249	28312	147481	14297	15742	20492	28900	23014	17910	45655	62319	48739	52713	67474	74732	28200	26838	21531	45719	71049	21951	34157	38297	49084	34163	32606	34773	46223	35421	61320	40873
meta	Cellular organisms	Cellular organisms	132866	70084	20908	23335	14858	15155	91170	32483	6957	14711	79799	56283	44681	26540	103828	14919	72631	44963	13134	185704	69727	50398	58699	36520	31251	44352	40786	22281	26466	26309	20938	43985	70898	47255	71641	37978	31550	38854	51821	44157	36021	29558	30910	87345	35139	59986	54844	61612	49870	46104	67282	98350	28554	34889	22958	34112	53428	96687	15048	35152	29774	63662	40116	84135	138168	24210	44249	28312	147481	14297	15742	20492	28900	23014	17910	45655	62319	48739	52713	67474	74732	28200	26838	21531	45719	71049	21951	34157	38297	49084	34163	32606	34773	46223	35421	61320	40873
domain	Cellular organisms;Eukaryota	Eukaryota	132866	70084	20908	23335	14858	15155	91170	32483	6957	14711	79799	56283	44681	26540	103828	14919	72631	44963	13134	185704	69727	50398	58699	36520	31251	44352	40786	22281	26466	26309	20938	43985	70898	47255	71641	37978	31550	38854	51821	44157	36021	29558	30910	87345	35139	59986	54844	61612	49870	46104	67282	98350	28554	34889	22958	34112	53428	96687	15048	35152	29774	63662	40116	84135	138168	24210	44249	28312	147481	14297	15742	20492	28900	23014	17910	45655	62319	48739	52713	67474	74732	28200	26838	21531	45719	71049	21951	34157	38297	49084	34163	32606	34773	46223	35421	61320	40873
superkingdom	Cellular organisms;Eukaryota;Opisthokonta	Opisthokonta	132866	70084	20908	23335	14858	15155	91170	32483	6957	14711	79799	56283	44681	26540	103828	14919	72631	44963	13134	185704	69727	50398	58699	36520	31251	44352	40786	22281	26466	26309	20938	43985	70898	47255	71641	37978	31550	38854	51821	44157	36021	29558	30910	87345	35139	59986	54844	61612	49870	46104	67282	98350	28554	34889	22958	34112	53428	96687	15048	35152	29774	63662	40116	84135	138168	24210	44249	28312	147481	14297	15742	20492	28900	23014	17910	45655	62319	48739	52713	67474	74732	28200	26838	21531	45719	71049	21951	34157	38297	49084	34163	32606	34773	46223	35421	61320	40873
kingdom	Cellular organisms;Eukaryota;Opisthokonta;Metazoa	Metazoa	132866	70084	20908	23335	14858	15155	91170	32483	6957	14711	79799	56283	44681	26540	103828	14919	72631	44963	13134	185704	69727	50398	58699	36520	31251	44352	40786	22281	26466	26309	20938	43985	70898	47255	71641	37978	31550	38854	51821	44157	36021	29558	30910	87345	35139	59986	54844	61612	49870	46104	67282	98350	28554	34889	22958	34112	53428	96687	15048	35152	29774	63662	40116	84135	138168	24210	44249	28312	147481	14297	15742	20492	28900	23014	17910	45655	62319	48739	52713	67474	74732	28200	26838	21531	45719	71049	21951	34157	38297	49084	34163	32606	34773	46223	35421	61320	40873
phylum	Cellular organisms;Eukaryota;Opisthokonta;Metazoa;Arthropoda	Arthropoda	4654	4010	4566	706	2611	4306	2823	9595	210	3758	5086	2210	1651	3934	3230	3329	1173	6906	1851	4960	2765	1185	2497	5606	10994	5179	11272	4113	9503	1760	1602	2241	4403	1501	2369	584	2488	5286	11106	1614	3289	903	4645	2057	6425	1917	2846	4833	6247	4183	1974	789	2282	2482	5264	803	744	2882	411	773	2405	10786	10397	361	1223	1771	3642	4999	1793	1257	4867	1150	14137	8028	134	559	610	1698	3413	5690	11196	829	6525	1299	1523	2454	2609	550	1543	749	1786	684	1071	925	1117	1020	1911
phylum	Cellular organisms;Eukaryota;Opisthokonta;Metazoa;Annelida	Annelida	106231	58967	7088	19742	6256	5774	85580	22519	5425	2237	33420	33533	29896	4935	66215	5633	38657	1660	4057	28746	59399	33333	43197	14962	4114	23117	17332	3241	696	10173	4984	19399	42477	28364	56632	11778	9135	9442	21150	21986	16801	11641	9491	18951	7774	17352	28312	22246	9040	15661	6730	30615	12194	11691	2705	24628	4086	21381	4977	5836	10706	7836	2999	63830	112836	16199	32972	11449	134048	4485	1256	13556	4951	5648	17240	43014	48227	39370	37241	11172	45267	14460	9986	10888	33404	54743	1915	13326	1763	3143	720	4976	3979	14017	824	310	11586
phylum	Cellular organisms;Eukaryota;Opisthokonta;Metazoa;Brachiopoda	Brachiopoda	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0
phylum	Cellular organisms;Eukaryota;Opisthokonta;Metazoa;Bryozoa	Bryozoa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	11	12	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	3	2	17	138	8	256	876	0
phylum	Cellular organisms;Eukaryota;Opisthokonta;Metazoa;Chaetognatha	Chaetognatha	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	5	0	2	0	3	0	0	0	0	0	6	0	3	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
phylum	Cellular organisms;Eukaryota;Opisthokonta;Metazoa;Chordata	Chordata	218	2	18	10	6	8	0	0	1	15	60	73	8	233	203	6	229	83	101	252	30	4	41	92	139	85	95	133	128	144	127	65	16	9	89	149	347	120	206	243	181	309	391	178	769	865	645	684	1371	228	170	111	234	189	92	87	135	120	101	63	91	51	260	7	18	19	14	18	33	43	14	15	11	10	0	1	7	45	20	46	127	120	36	38	62	17	33	100	150	47	50	59	9	53	201	2603	24
phylum	Cellular organisms;Eukaryota;Opisthokonta;Metazoa;Cnidaria	Cnidaria	7368	1982	3271	870	986	2249	860	188	426	3797	5020	5138	2068	7335	7623	4733	11464	4185	3558	9324	3301	4220	4134	9174	4945	5510	6244	7918	7101	6493	7584	3214	12523	7265	4188	5298	6294	6519	7231	11802	3953	3701	6295	3871	10094	8498	10524	17332	11817	9192	7283	29858	5037	6557	2093	3387	2699	3749	2690	1920	2286	2204	9294	2650	3737	2770	2810	3827	3917	5155	5144	3218	1186	4519	169	897	3988	3351	3702	6420	8010	7247	5752	3489	5839	3375	7484	5282	19283	11037	15483	12529	11568	10706	11172	13356	13198
phylum	Cellular organisms;Eukaryota;Opisthokonta;Metazoa;Echinodermata	Echinodermata	321	347	290	293	34	112	471	0	0	32	9474	2195	2536	658	23533	25	1014	27537	249	119548	270	105	139	58	54	125	63	1592	35	40	62	5119	386	292	148	17029	423	4114	4929	981	5188	5207	234	56122	373	17289	1334	4350	2565	8618	35947	34439	2393	1973	9644	933	36504	64847	2095	25119	6302	38378	4391	3452	189	36	304	332	87	42	837	1002	6	78	2	5	19	72	56	160	1914	87	148	82	61	149	117	188	233	140	205	175	327	262	670	177	235
phylum	Cellular organisms;Eukaryota;Opisthokonta;Metazoa;Entoprocta	Entoprocta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	310	0	0	0	0	2	288	15	3249	0	160
phylum	Cellular organisms;Eukaryota;Opisthokonta;Metazoa;Gastrotricha	Gastrotricha	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	3	0	0	0	0	6	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	3	0	1	1	7	1	0	2	0	0	0	0	0	2	1	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
phylum	Cellular organisms;Eukaryota;Opisthokonta;Metazoa;Gnathostomulida	Gnathostomulida	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
phylum	Cellular organisms;Eukaryota;Opisthokonta;Metazoa;Hemichordata	Hemichordata	2717	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	33	0	1	0	3	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
