Rank	Taxonpath	Taxon	DA01S	OSS04S	OSS11S	OSS11A1S	OSS21A1S	OSS22A1S	OSS11B1S	OSS21B1S	OSS22B1S	OSS11D1S	R319S	OSC08R	OSC08S	RIN34S	RIN35S	RIN36S	RIN38S	RIN39S	RIN40S	R220S	R313S	R314S	R315S	DA06S	DA07S	DA08S	DA09S	DA10S	DA11S	DA12S	DA13S	OSC32S	OSC16S	OSC20S	OSC30S	D19S	D02S	D22S	D23S	D27S	D28S	D29S	D03S	D30S	D31S	D33S	D35S	D05S	DP32S	BAL16S	BAL22S	BAL37S	BAL42S	BAL49S	BAL50S	BAL51S	BAL52S	BAL53S	BAL54S	BAL55S	BAL56S	R213S	R218S	OSF42S	OSF44S	OSF43S	OSF17S	VFR03S	VFR04S	VFR05S	VFR20S	VFRK01S	VFRK02S	VFRK03S	VFR32S	VFR33S	VFR34S	BRA06S	BRA07S	BRA08S	DA02S	DA03S	DA04S	DA05S	BRA16S	BRA17S	R902S	R905S	R908S	SG06S	SG07S	SG08S	SG09S	SG10S	SG11S	SG12S	SG13S
root	root	root	1009.30769231	485.107142857	637.206896552	317.142857143	393.544444444	503.475409836	279.25	92.5714285714	293.2	683.277227723	895.444915254	1114.17021277	405.49	636.704225352	911.97029703	184.289473684	1089.08680556	996.082191781	1066.13636364	1617.38918919	380.181818182	656.939393939	601.166666667	941.460227273	762.979452055	1017.37931034	978.521551724	1150.32167832	1006.40740741	873.852112676	997.248175182	521.1125	452.258064516	345.818181818	434.666666667	540.704545455	964.727272727	612.111111111	651.869863014	736.225	702.685185185	589.881355932	759.798850575	547.177777778	895.861607143	854.268867925	1048.74796748	1108.45679012	1152.64685315	929.75	1160.85877863	811.235576923	790.505263158	775.375	427.228571429	610.755555556	824.691588785	676.642045455	493.066037736	456.260416667	601.007462687	470.052631579	792.848101266	261.78125	344.02173913	573.720238095	282.03125	629.787037037	592.007246377	876.557692308	471.660377358	503.279069767	227.041666667	372.928571429	157.0	186.421052632	582.481481481	457.153846154	625.339285714	647.085106383	1343.503125	1267.18711656	1018.38976378	1002.03947368	243.605263158	216.538461538	737.269230769	525.782051282	729.704545455	826.894736842	924.525974026	859.112068966	795.227272727	993.447058824	1068.80555556	1056.78823529	1063.29113924
meta	Cellular organisms	Cellular organisms	1009.30769231	485.107142857	637.206896552	317.142857143	393.544444444	503.475409836	279.25	92.5714285714	293.2	683.277227723	895.444915254	1114.17021277	405.49	636.704225352	911.97029703	184.289473684	1089.08680556	996.082191781	1066.13636364	1617.38918919	380.181818182	656.939393939	601.166666667	941.460227273	762.979452055	1017.37931034	978.521551724	1150.32167832	1006.40740741	873.852112676	997.248175182	521.1125	452.258064516	345.818181818	434.666666667	540.704545455	964.727272727	612.111111111	651.869863014	736.225	702.685185185	589.881355932	759.798850575	547.177777778	895.861607143	854.268867925	1048.74796748	1108.45679012	1152.64685315	929.75	1160.85877863	811.235576923	790.505263158	775.375	427.228571429	610.755555556	824.691588785	676.642045455	493.066037736	456.260416667	601.007462687	470.052631579	792.848101266	261.78125	344.02173913	573.720238095	282.03125	629.787037037	592.007246377	876.557692308	471.660377358	503.279069767	227.041666667	372.928571429	157.0	186.421052632	582.481481481	457.153846154	625.339285714	647.085106383	1343.503125	1267.18711656	1018.38976378	1002.03947368	243.605263158	216.538461538	737.269230769	525.782051282	729.704545455	826.894736842	924.525974026	859.112068966	795.227272727	993.447058824	1068.80555556	1056.78823529	1063.29113924
domain	Cellular organisms;Eukaryota	Eukaryota	1009.30769231	485.107142857	637.206896552	317.142857143	393.544444444	503.475409836	279.25	92.5714285714	293.2	683.277227723	895.444915254	1114.17021277	405.49	636.704225352	911.97029703	184.289473684	1089.08680556	996.082191781	1066.13636364	1617.38918919	380.181818182	656.939393939	601.166666667	941.460227273	762.979452055	1017.37931034	978.521551724	1150.32167832	1006.40740741	873.852112676	997.248175182	521.1125	452.258064516	345.818181818	434.666666667	540.704545455	964.727272727	612.111111111	651.869863014	736.225	702.685185185	589.881355932	759.798850575	547.177777778	895.861607143	854.268867925	1048.74796748	1108.45679012	1152.64685315	929.75	1160.85877863	811.235576923	790.505263158	775.375	427.228571429	610.755555556	824.691588785	676.642045455	493.066037736	456.260416667	601.007462687	470.052631579	792.848101266	261.78125	344.02173913	573.720238095	282.03125	629.787037037	592.007246377	876.557692308	471.660377358	503.279069767	227.041666667	372.928571429	157.0	186.421052632	582.481481481	457.153846154	625.339285714	647.085106383	1343.503125	1267.18711656	1018.38976378	1002.03947368	243.605263158	216.538461538	737.269230769	525.782051282	729.704545455	826.894736842	924.525974026	859.112068966	795.227272727	993.447058824	1068.80555556	1056.78823529	1063.29113924
superkingdom	Cellular organisms;Eukaryota;Opisthokonta	Opisthokonta	1009.30769231	485.107142857	637.206896552	317.142857143	393.544444444	503.475409836	279.25	92.5714285714	293.2	683.277227723	895.444915254	1114.17021277	405.49	636.704225352	911.97029703	184.289473684	1089.08680556	996.082191781	1066.13636364	1617.38918919	380.181818182	656.939393939	601.166666667	941.460227273	762.979452055	1017.37931034	978.521551724	1150.32167832	1006.40740741	873.852112676	997.248175182	521.1125	452.258064516	345.818181818	434.666666667	540.704545455	964.727272727	612.111111111	651.869863014	736.225	702.685185185	589.881355932	759.798850575	547.177777778	895.861607143	854.268867925	1048.74796748	1108.45679012	1152.64685315	929.75	1160.85877863	811.235576923	790.505263158	775.375	427.228571429	610.755555556	824.691588785	676.642045455	493.066037736	456.260416667	601.007462687	470.052631579	792.848101266	261.78125	344.02173913	573.720238095	282.03125	629.787037037	592.007246377	876.557692308	471.660377358	503.279069767	227.041666667	372.928571429	157.0	186.421052632	582.481481481	457.153846154	625.339285714	647.085106383	1343.503125	1267.18711656	1018.38976378	1002.03947368	243.605263158	216.538461538	737.269230769	525.782051282	729.704545455	826.894736842	924.525974026	859.112068966	795.227272727	993.447058824	1068.80555556	1056.78823529	1063.29113924
kingdom	Cellular organisms;Eukaryota;Opisthokonta;Metazoa	Metazoa	1009.30769231	485.107142857	637.206896552	317.142857143	393.544444444	503.475409836	279.25	92.5714285714	293.2	683.277227723	895.444915254	1114.17021277	405.49	636.704225352	911.97029703	184.289473684	1089.08680556	996.082191781	1066.13636364	1617.38918919	380.181818182	656.939393939	601.166666667	941.460227273	762.979452055	1017.37931034	978.521551724	1150.32167832	1006.40740741	873.852112676	997.248175182	521.1125	452.258064516	345.818181818	434.666666667	540.704545455	964.727272727	612.111111111	651.869863014	736.225	702.685185185	589.881355932	759.798850575	547.177777778	895.861607143	854.268867925	1048.74796748	1108.45679012	1152.64685315	929.75	1160.85877863	811.235576923	790.505263158	775.375	427.228571429	610.755555556	824.691588785	676.642045455	493.066037736	456.260416667	601.007462687	470.052631579	792.848101266	261.78125	344.02173913	573.720238095	282.03125	629.787037037	592.007246377	876.557692308	471.660377358	503.279069767	227.041666667	372.928571429	157.0	186.421052632	582.481481481	457.153846154	625.339285714	647.085106383	1343.503125	1267.18711656	1018.38976378	1002.03947368	243.605263158	216.538461538	737.269230769	525.782051282	729.704545455	826.894736842	924.525974026	859.112068966	795.227272727	993.447058824	1068.80555556	1056.78823529	1063.29113924
phylum	Cellular organisms;Eukaryota;Opisthokonta;Metazoa;Arthropoda	Arthropoda	88.1363636364	52.0	86.7857142857	67.25	52.3333333333	88.5	29.6	15.0	50.0833333333	82.8	90.5294117647	116.533333333	54.125	88.6666666667	83.0	25.0	106.05	127.111111111	113.361111111	157.027777778	69.0	85.5	68.5	101.0	76.2857142857	92.5588235294	115.785714286	127.038461538	102.142857143	98.0833333333	91.2222222222	60.125	39.6666666667	34.25	49.0	44.6	120.0	56.7272727273	62.125	85.3888888889	69.1428571429	70.6666666667	68.0416666667	63.5	75.6538461538	82.3888888889	97.45	98.125	109.409090909	113.5	139.033333333	79.0555555556	86.0416666667	74.8	49.9	61.1	69.9090909091	71.8888888889	73.0	54.9	97.125	81.6666666667	88.9090909091	22.25	57.5	71.45	39.0	79.5625	52.0625	110.833333333	62.1	108.0	28.25	42.25	38.5	40.5	51.2857142857	49.5	74.0833333333	61.0833333333	142.777777778	120.5	104.888888889	122.555555556	26.25	24.5	53.5	40.125	82.125	57.1666666667	81.1	59.0	None	72.25	79.5555555556	67.5	81.3333333333
phylum	Cellular organisms;Eukaryota;Opisthokonta;Metazoa;Annelida	Annelida	49.0	32.25	27.5	None	25.0	37.5	22.0	21.0	20.5	None	48.5	36.5	31.1666666667	52.1666666667	37.0	11.5	33.25	38.0	32.1666666667	62.0	69.5	34.6666666667	36.1666666667	31.25	68.5	35.6666666667	50.25	51.6666666667	66.5	33.6	48.5	42.0	48.0	58.0	34.0	35.0	60.5	48.0	27.1666666667	44.0	40.1666666667	64.0	None	29.6666666667	46.9	41.0	27.0	45.6666666667	84.5	40.6666666667	42.1666666667	47.25	51.0	46.25	None	40.7857142857	55.0	None	41.1428571429	28.0	45.75	45.75	50.5	37.6666666667	None	32.75	26.0	49.0833333333	31.25	27.1428571429	30.5	43.0	25.25	None	None	None	31.125	None	32.25	44.1666666667	45.5	38.0	69.0	46.0	24.0	None	None	13.5	29.0	None	None	None	None	None	None	None	None
phylum	Cellular organisms;Eukaryota;Opisthokonta;Metazoa;Brachiopoda	Brachiopoda	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
phylum	Cellular organisms;Eukaryota;Opisthokonta;Metazoa;Bryozoa	Bryozoa	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	2.5	1.0	None	None	None	None	None	None
phylum	Cellular organisms;Eukaryota;Opisthokonta;Metazoa;Chaetognatha	Chaetognatha	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
