Rank	Taxonpath	Taxon	DA01S	OSS04S	OSS11S	OSS11A1S	OSS21A1S	OSS22A1S	OSS11B1S	OSS21B1S	OSS22B1S	OSS11D1S	R319S	OSC08R	OSC08S	RIN34S	RIN35S	RIN36S	RIN38S	RIN39S	RIN40S	R220S	R313S	R314S	R315S	DA06S	DA07S	DA08S	DA09S	DA10S	DA11S	DA12S	DA13S	OSC32S	OSC16S	OSC20S	OSC30S	D19S	D02S	D22S	D23S	D27S	D28S	D29S	D03S	D30S	D31S	D33S	D35S	D05S	DP32S	BAL16S	BAL22S	BAL37S	BAL42S	BAL49S	BAL50S	BAL51S	BAL52S	BAL53S	BAL54S	BAL55S	BAL56S	R213S	R218S	OSF42S	OSF44S	OSF43S	OSF17S	VFR03S	VFR04S	VFR05S	VFR20S	VFRK01S	VFRK02S	VFRK03S	VFR32S	VFR33S	VFR34S	BRA06S	BRA07S	BRA08S	DA02S	DA03S	DA04S	DA05S	BRA16S	BRA17S	R902S	R905S	R908S	SG06S	SG07S	SG08S	SG09S	SG10S	SG11S	SG12S	SG13S
root	root	root	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
meta	Cellular organisms	Cellular organisms	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
domain	Cellular organisms;Eukaryota	Eukaryota	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
superkingdom	Cellular organisms;Eukaryota;Opisthokonta	Opisthokonta	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
kingdom	Cellular organisms;Eukaryota;Opisthokonta;Metazoa	Metazoa	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
phylum	Cellular organisms;Eukaryota;Opisthokonta;Metazoa;Arthropoda	Arthropoda	0.0350277723421	0.0572170538211	0.218385307059	0.030254981787	0.175730246332	0.284130649951	0.0309641329385	0.295385278453	0.030185424752	0.255455101625	0.0637351345255	0.0392658529218	0.0369508292115	0.148229088169	0.0311091420426	0.223138280046	0.0161501287329	0.153592954207	0.140931932389	0.0267091715849	0.0396546531473	0.023512837811	0.0425390551798	0.153504928806	0.351796742504	0.116770382395	0.276369342421	0.184596741618	0.359064460062	0.0668972594929	0.076511605693	0.0509491872229	0.0621033033372	0.0317638345149	0.0330676567887	0.0153773237137	0.0788589540412	0.13604776857	0.21431466008	0.0365513961546	0.0913078481997	0.0305501048785	0.150274991912	0.0235502890835	0.182845271636	0.0319574567399	0.0518926409452	0.0784425111991	0.125265690796	0.0907296546937	0.0293391991915	0.00802236908998	0.0799187504378	0.0711399008283	0.229288265528	0.0235401031895	0.0139252826233	0.0298075232451	0.027312599681	0.0219902139281	0.0807751729697	0.169426031227	0.259173397148	0.00429072324241	0.00885154304904	0.073151590252	0.0823069447897	0.176568239616	0.012157498254	0.0879205427712	0.309172913226	0.0561194612532	0.489169550173	0.348831146259	0.00748185371301	0.0122440039426	0.00978834705307	0.034838630255	0.0647468366437	0.0843287784925	0.149815340149	0.0293971631206	0.243125419182	0.0603316148809	0.0333121896804	0.0345395431322	0.118855633001	0.0161021166964	0.0402903621694	0.0152595550485	0.0522787811375	0.0209777341594	0.0307997584333	0.0200116824957	0.0315349651337	0.0166340508806	0.0467545812639
phylum	Cellular organisms;Eukaryota;Opisthokonta;Metazoa;Annelida	Annelida	0.799534869718	0.84137606301	0.339008991773	0.846025283908	0.421052631579	0.380996370835	0.938685971262	0.69325493335	0.779790139428	0.152063082047	0.41880224063	0.59579269051	0.669098722052	0.185945742276	0.637737411873	0.377572223339	0.53223830045	0.0369192447123	0.308892949596	0.154794727093	0.851879472801	0.661395293464	0.735906914939	0.409693318729	0.131643787399	0.521216630592	0.424949737655	0.145460257619	0.0262978916345	0.386673761831	0.2380361066	0.441036717063	0.5991283252	0.6002327796	0.790497061738	0.310126915583	0.289540412044	0.243012302466	0.408135697883	0.497905201893	0.466422364732	0.393835848163	0.307052733743	0.216967199038	0.221235664077	0.289267495749	0.516227846255	0.361066026099	0.181271305394	0.339688530279	0.100026753069	0.311286222674	0.427050500805	0.335091289518	0.117823852252	0.72197467167	0.0764767537621	0.221136243756	0.330741626794	0.166021847975	0.35957546853	0.123087556156	0.0747582012165	0.758661674689	0.816657981588	0.669103676167	0.745146782978	0.404386832439	0.908917080844	0.313702175282	0.0797865582518	0.661526449346	0.171314878893	0.24541583384	0.962590731435	0.942153104808	0.773873136604	0.807772010095	0.706486066056	0.165574888105	0.605724455387	0.512765957447	0.372084358	0.505689470995	0.730637153044	0.770496417965	0.0872397612865	0.390139649267	0.0460349374625	0.064033086138	0.0210754324854	0.152609949089	0.114427860697	0.303247301127	0.0232630360521	0.00505544683627	0.283463411054
phylum	Cellular organisms;Eukaryota;Opisthokonta;Metazoa;Brachiopoda	Brachiopoda	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000945857795173	0.0
phylum	Cellular organisms;Eukaryota;Opisthokonta;Metazoa;Bryozoa	Bryozoa	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.9368228898e-05	0.0	0.0	0.0	0.0	0.0	0.000493694178897	0.000453411924734	0.0	0.0	0.0	0.0	0.0	1.39584874583e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000350213630314	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.06414241311e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000548345823433	6.11197131448e-05	5.85428680151e-05	0.000521376433785	0.00396859632473	0.000173074010774	0.00722735100647	0.0142857142857	0.0
phylum	Cellular organisms;Eukaryota;Opisthokonta;Metazoa;Chaetognatha	Chaetognatha	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.21467688938e-05	0.0	6.76406926407e-05	0.000122591085176	0.0	7.55686541223e-05	0.0	0.000143280160474	0.0	0.0	0.0	0.0	0.0	0.000190174326466	0.0	5.78915883522e-05	0.0	0.00105494017379	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00031121533206	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
