Rank	Taxonpath	Taxon	DA01S	OSS04S	OSS11S	OSS11A1S	OSS21A1S	OSS22A1S	OSS11B1S	OSS21B1S	OSS22B1S	OSS11D1S	R319S	OSC08R	OSC08S	RIN34S	RIN35S	RIN36S	RIN38S	RIN39S	RIN40S	R220S	R313S	R314S	R315S	DA06S	DA07S	DA08S	DA09S	DA10S	DA11S	DA12S	DA13S	OSC32S	OSC16S	OSC20S	OSC30S	D19S	D02S	D22S	D23S	D27S	D28S	D29S	D03S	D30S	D31S	D33S	D35S	D05S	DP32S	BAL16S	BAL22S	BAL37S	BAL42S	BAL49S	BAL50S	BAL51S	BAL52S	BAL53S	BAL54S	BAL55S	BAL56S	R213S	R218S	OSF42S	OSF44S	OSF43S	OSF17S	VFR03S	VFR04S	VFR05S	VFR20S	VFRK01S	VFRK02S	VFRK03S	VFR32S	VFR33S	VFR34S	BRA06S	BRA07S	BRA08S	DA02S	DA03S	DA04S	DA05S	BRA16S	BRA17S	R902S	R905S	R908S	SG06S	SG07S	SG08S	SG09S	SG10S	SG11S	SG12S	SG13S
root	root	root	879	395	551	244	317	440	248	72	205	589	731	920	373	514	737	159	907	761	790	1271	336	575	522	783	649	838	831	978	863	753	879	465	382	313	368	491	790	541	582	655	604	515	670	483	783	738	902	985	988	806	928	664	696	691	365	536	656	570	440	370	469	398	727	239	300	495	252	566	532	731	420	443	192	344	108	140	426	411	567	579	1114	1077	833	780	236	211	694	487	680	765	888	808	733	917	982	983	1000
meta	Cellular organisms	Cellular organisms	879	395	551	244	317	440	248	72	205	589	731	920	373	514	737	159	907	761	790	1271	336	575	522	783	649	838	831	978	863	753	879	465	382	313	368	491	790	541	582	655	604	515	670	483	783	738	902	985	988	806	928	664	696	691	365	536	656	570	440	370	469	398	727	239	300	495	252	566	532	731	420	443	192	344	108	140	426	411	567	579	1114	1077	833	780	236	211	694	487	680	765	888	808	733	917	982	983	1000
domain	Cellular organisms;Eukaryota	Eukaryota	879	395	551	244	317	440	248	72	205	589	731	920	373	514	737	159	907	761	790	1271	336	575	522	783	649	838	831	978	863	753	879	465	382	313	368	491	790	541	582	655	604	515	670	483	783	738	902	985	988	806	928	664	696	691	365	536	656	570	440	370	469	398	727	239	300	495	252	566	532	731	420	443	192	344	108	140	426	411	567	579	1114	1077	833	780	236	211	694	487	680	765	888	808	733	917	982	983	1000
superkingdom	Cellular organisms;Eukaryota;Opisthokonta	Opisthokonta	879	395	551	244	317	440	248	72	205	589	731	920	373	514	737	159	907	761	790	1271	336	575	522	783	649	838	831	978	863	753	879	465	382	313	368	491	790	541	582	655	604	515	670	483	783	738	902	985	988	806	928	664	696	691	365	536	656	570	440	370	469	398	727	239	300	495	252	566	532	731	420	443	192	344	108	140	426	411	567	579	1114	1077	833	780	236	211	694	487	680	765	888	808	733	917	982	983	1000
kingdom	Cellular organisms;Eukaryota;Opisthokonta;Metazoa	Metazoa	879	395	551	244	317	440	248	72	205	589	731	920	373	514	737	159	907	761	790	1271	336	575	522	783	649	838	831	978	863	753	879	465	382	313	368	491	790	541	582	655	604	515	670	483	783	738	902	985	988	806	928	664	696	691	365	536	656	570	440	370	469	398	727	239	300	495	252	566	532	731	420	443	192	344	108	140	426	411	567	579	1114	1077	833	780	236	211	694	487	680	765	888	808	733	917	982	983	1000
phylum	Cellular organisms;Eukaryota;Opisthokonta;Metazoa;Arthropoda	Arthropoda	87	48	81	37	47	64	28	11	36	73	81	94	48	56	77	21	84	87	90	119	37	73	65	74	66	77	90	99	79	74	77	54	37	32	43	41	80	56	56	76	64	54	63	51	71	73	83	92	93	82	107	63	74	70	45	53	61	61	48	50	52	49	86	20	33	63	35	72	49	90	50	59	26	36	14	27	41	37	64	59	121	96	78	79	26	24	51	37	67	53	73	57	51	70	76	63	76
phylum	Cellular organisms;Eukaryota;Opisthokonta;Metazoa;Annelida	Annelida	40	30	26	33	23	25	20	13	20	22	24	35	31	32	35	11	27	34	28	52	29	34	32	25	28	35	30	35	26	30	35	36	39	26	32	33	48	40	27	38	36	32	37	29	42	39	26	43	44	38	42	41	42	40	36	39	39	39	40	27	39	45	38	37	36	32	18	47	25	26	18	37	19	33	14	18	30	28	26	36	33	32	37	37	22	18	7	13	21	13	8	12	14	13	12	12	17
phylum	Cellular organisms;Eukaryota;Opisthokonta;Metazoa;Brachiopoda	Brachiopoda	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
phylum	Cellular organisms;Eukaryota;Opisthokonta;Metazoa;Bryozoa	Bryozoa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	2	1	1	2	3	0
phylum	Cellular organisms;Eukaryota;Opisthokonta;Metazoa;Chaetognatha	Chaetognatha	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
