Rank	Taxonpath	Taxon	DA01S	OSS04S	OSS11R	OSS11A1R	OSS21A1S	OSS22A1S	OSS11B1S	OSS21B1S	OSS22B1S	OSS11D1S	R319S	OSC08R	OSC08S	RIN34S	RIN35S	RIN36S	RIN37S	RIN38S	RIN39S	RIN40S	R220S	R313S	R314S	R315S	DA06S	DA07S	DA08S	DA09S	DA10S	DA11S	DA12S	DA13S	OSC32S	OSC16S	OSC20S	OSC30S	D19S	D02S	D22S	D23S	D27S	D28S	D29S	D03S	D30S	D31S	D33S	D35S	D05S	DP32S	BAL16S	BAL22S	BAL37S	BAL42S	BAL49S	BAL50S	BAL51S	BAL52S	BAL53S	BAL54S	BAL55S	BAL56S	R213S	R218S	OSF42S	OSF44S	OSF43S	OSF17S	VFR03S	VFR04S	VFR05S	VFR20S	VFRK01S	VFRK02S	VFRK03S	VFR32S	VFR33S	VFR34S	BRA06S	BRA07S	BRA08S	DA02S	DA03S	DA04S	DA05S	BRA16S	BRA17S	R902S	R905S	R908S	OSS11S	OSS11A1S	SG06S	SG07S	SG08S	SG09S	SG10S	SG11S	SG12S	SG13S
root	root	root	3509	1269	1878	1479	1489	2120	982	426	1211	2712	2412	2433	2177	1691	2218	476	542	3168	2561	2664	2915	1894	1929	1925	2477	2174	2548	2852	2855	2755	2639	2706	1611	1412	1649	1575	1981	2248	2089	2183	2139	2069	1847	2130	1889	2553	2141	2600	2589	2743	3031	2799	2187	2327	2488	1750	2140	2495	2315	2064	1844	2012	1982	2194	1100	1271	2135	694	2194	1805	2195	1908	2042	1384	1617	837	771	1676	1464	1694	2100	2785	2964	2960	3482	1175	1201	1929	1672	1827	1854	1196	2022	2406	2236	2011	2386	2496	2638	2522
meta	Main genome	Main genome	3509	1269	1878	1479	1489	2120	982	426	1211	2712	2412	2433	2177	1691	2218	476	542	3168	2561	2664	2915	1894	1929	1925	2477	2174	2548	2852	2855	2755	2639	2706	1611	1412	1649	1575	1981	2248	2089	2183	2139	2069	1847	2130	1889	2553	2141	2600	2589	2743	3031	2799	2187	2327	2488	1750	2140	2495	2315	2064	1844	2012	1982	2194	1100	1271	2135	694	2194	1805	2195	1908	2042	1384	1617	837	771	1676	1464	1694	2100	2785	2964	2960	3482	1175	1201	1929	1672	1827	1854	1196	2022	2406	2236	2011	2386	2496	2638	2522
domain	Main genome;Eukaryota	Eukaryota	3509	1269	1878	1479	1489	2120	982	426	1211	2712	2412	2433	2177	1691	2218	476	542	3168	2561	2664	2915	1894	1929	1925	2477	2174	2548	2852	2855	2755	2639	2706	1611	1412	1649	1575	1981	2248	2089	2183	2139	2069	1847	2130	1889	2553	2141	2600	2589	2743	3031	2799	2187	2327	2488	1750	2140	2495	2315	2064	1844	2012	1982	2194	1100	1271	2135	694	2194	1805	2195	1908	2042	1384	1617	837	771	1676	1464	1694	2100	2785	2964	2960	3482	1175	1201	1929	1672	1827	1854	1196	2022	2406	2236	2011	2386	2496	2638	2522
superkingdom	Main genome;Eukaryota;Opisthokonta	Opisthokonta	927	332	438	383	305	472	186	123	220	506	545	649	522	307	528	88	50	738	659	662	710	537	468	511	589	544	641	662	764	629	589	709	434	358	469	383	508	620	550	533	590	569	483	537	488	652	544	617	687	683	765	713	544	600	693	439	546	662	634	503	439	575	506	556	230	335	440	150	527	400	493	474	506	313	357	121	115	343	314	408	429	690	668	723	788	262	275	527	368	432	370	306	483	544	517	533	563	605	622	570
superkingdom	Main genome;Eukaryota;Excavata	Excavata	12	5	1	10	16	2	3	6	14	5	6	11	6	15	6	8	3	13	4	6	10	4	1	1	8	2	5	8	10	10	7	8	1	1	1	1	7	4	3	8	4	3	4	7	3	10	6	15	6	12	6	6	2	4	7	2	8	6	4	2	3	3	1	5	1	0	9	0	3	2	6	1	3	1	1	11	3	3	1	3	8	11	11	6	5	2	2	6	4	7	3	9	7	2	4	3	9	10	8	9
superkingdom	Main genome;Eukaryota;Archaeplastida	Archaeplastida	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1
superkingdom	Main genome;Eukaryota;SAR	SAR	2370	886	1344	1034	1073	1513	765	284	890	1990	1748	1655	1547	1275	1578	338	465	2238	1796	1885	2015	1289	1375	1336	1730	1514	1746	2005	1918	1932	1888	1846	1109	1004	1120	1122	1376	1516	1464	1535	1450	1412	1266	1487	1321	1775	1498	1815	1770	1889	2102	1930	1544	1607	1664	1254	1489	1702	1567	1472	1314	1351	1392	1522	823	889	1548	515	1561	1306	1560	1351	1450	1013	1198	666	627	1236	1093	1205	1534	1891	2096	2030	2453	869	873	1293	1216	1287	1364	841	1400	1684	1555	1379	1683	1722	1853	1761
superkingdom	Main genome;Eukaryota;Amoebozoa	Amoebozoa	40	7	24	12	25	42	4	2	12	58	25	20	22	20	18	18	2	40	24	25	54	10	16	7	26	19	42	38	24	34	40	24	8	4	6	4	10	14	1	12	8	12	8	11	5	22	10	20	20	28	34	28	23	25	31	10	16	19	12	11	10	18	8	20	2	3	28	1	17	17	31	8	9	1	8	12	4	14	6	10	26	39	36	52	56	2	3	47	27	37	23	5	76	94	77	40	58	67	79	100
superkingdom	Main genome;Eukaryota;Hacrobia	Hacrobia	21	3	13	2	13	13	3	0	10	40	11	9	2	7	21	5	0	24	9	11	17	0	4	7	8	6	8	14	15	13	6	12	3	2	1	4	8	13	1	10	14	5	8	7	4	13	9	22	19	26	21	17	6	4	11	1	4	6	9	1	1	2	1	10	0	1	17	0	4	7	15	4	3	0	1	2	0	13	0	3	9	24	17	24	28	3	0	9	7	6	19	2	9	19	14	7	10	16	16	10
superkingdom	Main genome;Eukaryota;DH147-EKD10	DH147-EKD10	1	1	2	1	1	1	1	1	1	1	1	2	1	1	2	0	1	1	1	2	1	1	1	2	0	0	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	2	0	0	1	0	0	1	0	1	1	1	0	0	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	2	1	2	2	1	1	1	0	2	2	1	1	1
superkingdom	Main genome;Eukaryota;SA1-3C06	SA1-3C06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
