"","NSI","piMetals","pi","piHC"
"SWARM_12025",NA,NA,NA,NA
"SWARM_12029",NA,NA,NA,NA
"SWARM_7314",NA,NA,NA,NA
"SWARM_7316",NA,NA,NA,NA
"SWARM_10880",NA,NA,NA,NA
"SWARM_10887",NA,NA,NA,NA
"SWARM_7313",NA,NA,NA,NA
"SWARM_7319",NA,NA,NA,NA
"SWARM_1259",NA,NA,NA,NA
"SWARM_1253",NA,NA,NA,NA
"SWARM_1252",NA,NA,NA,NA
"SWARM_1257",27.35,NA,NA,NA
"SWARM_1256",NA,NA,NA,NA
"SWARM_1255",NA,3.10183382081281,2.28683429118774,3.16534722222222
"SWARM_1254",NA,NA,NA,NA
"SWARM_11040",NA,NA,NA,NA
"SWARM_11041",NA,NA,NA,NA
"SWARM_11043",NA,NA,NA,NA
"SWARM_7310",NA,NA,NA,NA
"SWARM_4157",NA,NA,NA,NA
"SWARM_4156",NA,NA,NA,NA
"SWARM_4155",NA,NA,NA,NA
"SWARM_4154",NA,NA,NA,NA
"SWARM_4153",NA,NA,NA,NA
"SWARM_4152",NA,NA,NA,NA
"SWARM_4744",NA,NA,NA,NA
"SWARM_4743",NA,NA,NA,NA
"SWARM_4740",NA,NA,NA,NA
"SWARM_10310",NA,NA,NA,NA
"SWARM_10316",NA,NA,NA,NA
"SWARM_1926",NA,NA,NA,NA
"SWARM_5208",NA,NA,NA,NA
"SWARM_5206",NA,NA,NA,NA
"SWARM_5200",NA,NA,NA,NA
"SWARM_5202",NA,NA,NA,NA
"SWARM_8512",NA,NA,NA,NA
"SWARM_8511",NA,NA,NA,NA
"SWARM_8515",NA,NA,NA,NA
"SWARM_8514",NA,NA,NA,NA
"SWARM_8519",NA,NA,NA,NA
"SWARM_22359",NA,NA,NA,NA
"SWARM_22353",NA,NA,NA,NA
"SWARM_22356",NA,NA,NA,NA
"SWARM_22357",NA,NA,NA,NA
"SWARM_15593",NA,NA,NA,NA
"SWARM_16446",NA,NA,NA,NA
"SWARM_14176",NA,NA,NA,NA
"SWARM_14174",NA,NA,NA,NA
"SWARM_17527",NA,NA,NA,NA
"SWARM_17526",NA,NA,NA,NA
"SWARM_17522",NA,NA,NA,NA
"SWARM_6673",NA,NA,NA,NA
"SWARM_5226",NA,NA,NA,NA
"SWARM_11208",NA,NA,NA,NA
"SWARM_11202",NA,NA,NA,NA
"SWARM_11201",NA,NA,NA,NA
"SWARM_11206",NA,NA,NA,NA
"SWARM_11204",NA,NA,NA,NA
"SWARM_4319",NA,NA,NA,NA
"SWARM_4318",NA,NA,NA,NA
"SWARM_4315",NA,NA,NA,NA
