"","NSI","piMetals","pi","piHC"
"root",0,0,0,0
"Main genome",0,0,0,0
"Eukaryota",0,0,0,0
"Opisthokonta",0,0,0,0
"Excavata",0,0,0,0
"Archaeplastida",0,0,0,0
"SAR",0,0,0,0
"Amoebozoa",0,0,0,0
"Hacrobia",0,1,1,1
"DH147-EKD10",5,4,5,5
"SA1-3C06",0,0,0,0
"Eukaryota incertae sedis",1,0,0,0
"NAMAKO-1",5,4,5,5
"D4P07G08",0,0,0,0
"Apusozoa superkingdom incertae sedis",0,0,0,0
"Breviatea superkingdom incertae sedis",0,0,0,0
"Mantamonas superkingdom incertae sedis",0,0,0,0
"Metazoa (Animalia)",0,0,0,0
"Fungi",1,1,1,1
"Choanomonada",0,0,0,0
"Cryptomycota Holomycota kingdom incertae sedis",0,0,0,0
"Mesomycetozoa",0,0,0,0
"Discicristoidea Holomycota kingdom incertae sedis",2,1,1,1
"Mesomycetozoea",1,0,0,0
"Filasterea",0,0,0,0
"Freshwater Opisthokonta",1,1,1,1
"Discoba",0,0,0,0
"Metamonada",0,0,0,0
"Rhodophyceae",0,0,0,0
"Alveolata",4,0,0,0
"Rhizaria",0,1,0,1
"Stramenopiles",0,1,1,1
"Amoebozoa (kingdom)",0,0,0,0
"Centrohelida",0,0,0,0
"Palpitomonas kingdom incertae sedis",0,0,0,0
"Apusozoa kingdom incertae sedis",1,0,0,0
"Breviatea kingdom incertae sedis",0,0,0,0
"Mantamonas kingdom incertae sedis",0,0,0,0
"Arthropoda",0,0,0,0
"Nematoda",2,1,1,1
"Chordata",0,0,0,0
"Platyhelminthes",0,0,0,0
"Mollusca",0,0,0,0
"Rotifera",0,0,0,0
"Annelida",2,0,0,0
"Cnidaria",0,0,0,0
"Echinodermata",0,0,0,0
"Brachiopoda",0,0,0,0
"Tardigrada",0,0,0,0
"Porifera",0,0,0,0
"Hemichordata",0,0,0,0
"Placozoa",0,0,0,0
"Bryozoa",0,0,0,0
"Ctenophora",0,0,0,0
"Priapulida",0,0,0,0
"Xenacoelomorpha",1,2,2,0
"Kinorhyncha",0,0,0,0
"Nemertea",0,0,0,0
"Gastrotricha",0,0,0,0
"Chaetognatha",0,0,0,0
"Gnathostomulida",0,0,0,0
"Entoprocta",0,0,0,0
"Loricifera",1,0,0,0
"Rhopaluridae phylum incertae sedis",0,0,0,0
"Ascomycota",0,0,0,0
"Basidiomycota",0,0,0,0
"Blastocladiomycota",0,0,0,0
"Chytridiomycota",0,0,0,0
"Zoopagomycotina",0,0,0,0
"Kickxellomycotina",0,0,0,0
"Mucorales phylum incertae sedis",0,0,0,0
"Basidiobolaceae phylum incertae sedis",0,0,0,0
"Choanoflagellida",1,0,0,0
"Cryptomycota",0,0,0,0
"LKM15",0,0,0,0
"Ichthyophonidae",0,0,0,0
"Pseudoperkinsidae",5,4,5,5
"Abeoformidae",5,0,0,0
"Nucleariida",1,0,0,1
"Dermocystida phylum incertae sedis",0,0,0,0
"Ministeriida",0,0,0,0
"Jakobida",0,0,0,0
"Diplonemea",0,0,0,0
"Fornicata",0,0,0,0
"Preaxostyla",0,0,0,0
"Stylonematales phylum incertae sedis",0,0,0,0
"Rhodellophyceae phylum incertae sedis",0,0,0,0
"Apicomplexa",0,0,0,0
"Dinoflagellata",0,0,0,0
"Ciliophora",3,0,0,3
"Alveolata incertae sedis",0,0,0,0
"OLI11255",1,0,0,0
"SGUH942",0,0,0,0
"SCM37C52",0,2,0,1
"BOLA914",1,0,0,1
"Colpodellida",0,0,0,0
"Chromerida",1,1,1,1
"Syndiniales class incertae sedis",0,0,0,0
"Cercozoa",1,0,1,1
"Retaria",1,0,0,0
"RM2-SGM51",1,2,1,1
"Labyrinthulomycetes phylum incertae sedis",0,0,1,1
"Peronosporomycetes phylum incertae sedis",0,1,1,0
"Bicosoecida phylum incertae sedis",0,0,0,0
"Hyphochytriomycetes phylum incertae sedis",0,0,0,0
"Diatomea",0,0,0,0
"Chrysophyceae phylum incertae sedis",0,0,0,0
"Raphidophyceae phylum incertae sedis",0,0,0,0
"Phaeothamniophyceae phylum incertae sedis",0,0,0,0
"Bolidomonas phylum incertae sedis",0,0,0,0
"Lobosa",1,0,0,0
"Protosporangiida",0,0,0,0
"Gracilipodida",0,0,0,0
"LKM74",0,0,0,0
"Discosea (Amoebozoa (kingdom))",0,0,0,0
"LEMD255",0,0,0,0
"Centrohelea",0,0,0,0
"Palpitomonas phylum incertae sedis",0,0,0,0
"Apusozoa",3,0,0,0
"Breviatea phylum incertae sedis",0,0,0,0
"Mantamonas phylum incertae sedis",0,0,0,0
