"","NSI","piMetals","pi","piHC"
"root",0,0,0,0
"Main genome",0,0,0,0
"Eukaryota",0,0,0,0
"Opisthokonta",0,0,0,0
"Excavata",0,0,0,0
"Archaeplastida",0,0,0,0
"SAR",0,0,0,0
"Amoebozoa",0,0,0,0
"Hacrobia",0,22.81,23.32,20.38
"DH147-EKD10",75.52,80.19,83.92,78.4
"SA1-3C06",0,0,0,0
"Eukaryota incertae sedis",83.85,0,0,0
"NAMAKO-1",99.68,73.24,91.36,84.31
"D4P07G08",0,0,0,0
"Apusozoa superkingdom incertae sedis",0,0,0,0
"Breviatea superkingdom incertae sedis",0,0,0,0
"Mantamonas superkingdom incertae sedis",0,0,0,0
"Metazoa (Animalia)",0,0,0,77.11
"Fungi",79.05,81.33,82.1,78.58
"Choanomonada",0,0,0,0
"Cryptomycota Holomycota kingdom incertae sedis",0,0,0,0
"Mesomycetozoa",0,0,0,0
"Discicristoidea Holomycota kingdom incertae sedis",67.88,70.78,64.29,61.18
"Mesomycetozoea",56.12,0,0,0
"Filasterea",0,0,0,0
"Freshwater Opisthokonta",88.89,88.2,91.62,91.22
"Discoba",0,0,0,0
"Metamonada",0,0,0,0
"Rhodophyceae",0,0,0,0
"Alveolata",66.55,64.7,62.73,0
"Rhizaria",61.07,61.75,67.6,73.24
"Stramenopiles",0,77.7,76.82,72.15
"Amoebozoa (kingdom)",0,0,0,0
"Centrohelida",0,0,0,0
"Palpitomonas kingdom incertae sedis",0,0,0,0
"Apusozoa kingdom incertae sedis",24.12,0,0,0
"Breviatea kingdom incertae sedis",0,0,0,0
"Mantamonas kingdom incertae sedis",0,0,0,0
"Arthropoda",0,0,0,0
"Nematoda",80.82,79.36,79.55,84.31
"Chordata",0,0,0,0
"Platyhelminthes",0,0,0,0
"Mollusca",0,0,0,0
"Rotifera",0,0,0,0
"Annelida",50.04,0,0,0
"Cnidaria",0,0,0,0
"Echinodermata",0,0,0,0
"Brachiopoda",0,0,0,0
"Tardigrada",0,0,0,0
"Porifera",0,0,0,0
"Hemichordata",0,0,0,0
"Placozoa",0,0,0,0
"Bryozoa",0,0,0,0
"Ctenophora",0,0,0,0
"Priapulida",0,0,0,0
"Xenacoelomorpha",78.73,79.84,85.55,0
"Kinorhyncha",0,0,0,0
"Nemertea",0,0,0,0
"Gastrotricha",0,0,0,0
"Chaetognatha",0,0,0,0
"Gnathostomulida",0,0,0,0
"Entoprocta",0,0,0,0
"Loricifera",89.77,0,0,0
"Rhopaluridae phylum incertae sedis",0,0,0,0
"Ascomycota",0,0,0,0
"Basidiomycota",0,0,0,0
"Blastocladiomycota",0,0,0,0
"Chytridiomycota",0,0,0,0
"Zoopagomycotina",0,0,0,0
"Kickxellomycotina",0,0,0,0
"Mucorales phylum incertae sedis",0,0,0,0
"Basidiobolaceae phylum incertae sedis",0,0,0,0
"Choanoflagellida",87.46,0,0,0
"Cryptomycota",0,0,0,0
"LKM15",0,0,0,0
"Ichthyophonidae",0,0,0,0
"Pseudoperkinsidae",83.78,65.3,69.6,68.39
"Abeoformidae",77.93,0,0,0
"Nucleariida",68.2,0,0,55.99
"Dermocystida phylum incertae sedis",0,0,0,0
"Ministeriida",0,0,0,0
"Jakobida",0,0,0,0
"Diplonemea",0,0,0,0
"Fornicata",0,0,0,0
"Preaxostyla",0,0,0,0
"Stylonematales phylum incertae sedis",0,0,0,0
"Rhodellophyceae phylum incertae sedis",0,0,0,0
"Apicomplexa",0,0,0,0
"Dinoflagellata",0,0,0,0
"Ciliophora",81.47,0,0,80.49
"Alveolata incertae sedis",0,0,0,0
"OLI11255",65.99,0,0,0
"SGUH942",0,0,0,0
"SCM37C52",0,57.29,0,18.53
"BOLA914",69.26,0,0,71.95
"Colpodellida",0,0,0,0
"Chromerida",41.65,50.33,47.68,53.32
"Syndiniales class incertae sedis",0,0,0,62.8
"Cercozoa",81.92,0,76.87,73.38
"Retaria",78.33,0,0,0
"RM2-SGM51",72.23,73.77,78.06,84.18
"Labyrinthulomycetes phylum incertae sedis",0,0,64.03,82.2
"Peronosporomycetes phylum incertae sedis",0,69.94,69.96,0
"Bicosoecida phylum incertae sedis",0,0,0,0
"Hyphochytriomycetes phylum incertae sedis",0,0,0,0
"Diatomea",0,0,0,0
"Chrysophyceae phylum incertae sedis",0,0,0,0
"Raphidophyceae phylum incertae sedis",0,0,0,0
"Phaeothamniophyceae phylum incertae sedis",0,0,0,0
"Bolidomonas phylum incertae sedis",0,0,0,0
"Lobosa",73.94,0,0,0
"Protosporangiida",0,0,0,0
"Gracilipodida",0,0,0,0
"LKM74",0,0,0,0
