"","NSI","pi","piHC","piMetals"
"SWARM_19901",NA,NA,NA,NA
"SWARM_4154",27.35,NA,0.119166666666667,NA
"SWARM_4747",NA,NA,NA,NA
"SWARM_33370",NA,NA,NA,NA
"SWARM_5208",NA,NA,NA,NA
"SWARM_41965",NA,NA,NA,NA
"SWARM_12306",NA,NA,NA,NA
"SWARM_15221",25,0.324375114030287,0.231481481481481,0.368397646414889
"SWARM_14173",NA,NA,NA,NA
"SWARM_14175",NA,NA,NA,NA
"SWARM_14179",24.945,0.324375114030287,0.282407407407407,0.368397646414889
"SWARM_59670",NA,NA,NA,NA
"SWARM_11203",NA,NA,NA,NA
"SWARM_6221",NA,0.174298523687891,3.66375,0.112876299945265
"SWARM_7579",NA,NA,NA,NA
"SWARM_5595",NA,NA,NA,NA
"SWARM_5592",NA,NA,NA,NA
"SWARM_4888",25,0.153097062579821,0.236111111111111,0.108480432402846
"SWARM_4058",27.35,NA,3.03576388888889,NA
"SWARM_20610",NA,NA,NA,NA
"SWARM_13105",NA,NA,NA,NA
"SWARM_9892",NA,NA,NA,NA
"SWARM_27181",22.525,1.87884035949948,1.41668981481481,NA
"SWARM_8513",NA,NA,NA,NA
"SWARM_14865",NA,NA,NA,NA
"SWARM_8127",NA,NA,NA,NA
"SWARM_3893",NA,NA,NA,NA
"SWARM_3896",NA,NA,NA,NA
"SWARM_1499",NA,NA,NA,NA
"SWARM_1495",NA,NA,NA,NA
"SWARM_1490",NA,NA,NA,NA
"SWARM_28404",NA,NA,NA,NA
"SWARM_33712",NA,NA,NA,NA
"SWARM_28507",NA,NA,NA,NA
"SWARM_24996",NA,NA,NA,NA
"SWARM_35719",NA,NA,NA,NA
"SWARM_22598",NA,0.383190415374323,NA,0.414757799671593
"SWARM_9743",24.49,NA,NA,NA
"SWARM_30679",NA,NA,NA,NA
"SWARM_50560",NA,NA,NA,NA
"SWARM_15608",NA,NA,NA,NA
"SWARM_16725",NA,NA,NA,NA
"SWARM_16720",NA,NA,NA,NA
"SWARM_10393",28.415,NA,0.186574074074074,NA
"SWARM_2883",NA,NA,NA,NA
"SWARM_18144",NA,NA,NA,NA
"SWARM_6640",NA,NA,NA,NA
"SWARM_8490",NA,NA,NA,NA
"SWARM_29167",NA,NA,NA,NA
"SWARM_29162",NA,NA,NA,NA
"SWARM_1518",NA,NA,NA,NA
"SWARM_1515",25,0.168149250440917,NA,0.110994800218938
"SWARM_1516",NA,NA,NA,NA
"SWARM_21730",NA,NA,NA,NA
"SWARM_37831",NA,NA,NA,NA
"SWARM_24813",NA,NA,NA,NA
"SWARM_29457",NA,NA,NA,NA
"SWARM_2575",NA,NA,NA,NA
