"","NSI","pi","piHC","piMetals"
"SWARM_19901",0,0,0,0
"SWARM_4154",1,0,1,0
"SWARM_4747",0,0,0,0
"SWARM_33370",0,0,0,0
"SWARM_5208",0,0,0,0
"SWARM_41965",0,0,0,0
"SWARM_12306",0,0,0,0
"SWARM_15221",1,1,1,1
"SWARM_14173",0,0,0,0
"SWARM_14175",0,0,0,0
"SWARM_14179",1,1,1,1
"SWARM_59670",0,0,0,0
"SWARM_11203",0,0,0,0
"SWARM_6221",0,1,1,1
"SWARM_7579",0,0,0,0
"SWARM_5595",0,0,0,0
"SWARM_5592",0,0,0,0
"SWARM_4888",0,1,1,1
"SWARM_4058",1,0,1,0
"SWARM_20610",0,0,0,0
"SWARM_13105",0,0,0,0
"SWARM_9892",0,0,0,0
"SWARM_27181",5,3,3,0
"SWARM_8513",0,0,0,0
"SWARM_14865",0,0,0,0
"SWARM_8127",0,0,0,0
"SWARM_3893",0,0,0,0
"SWARM_3896",0,0,0,0
"SWARM_1499",0,0,0,0
"SWARM_1495",0,0,0,0
"SWARM_1490",0,0,0,0
"SWARM_28404",0,0,0,0
"SWARM_33712",0,0,0,0
"SWARM_28507",0,0,0,0
"SWARM_24996",0,0,0,0
"SWARM_35719",0,0,0,0
"SWARM_22598",0,1,0,1
"SWARM_9743",4,0,0,0
"SWARM_30679",0,0,0,0
"SWARM_50560",0,0,0,0
"SWARM_15608",0,0,0,0
"SWARM_16725",0,0,0,0
"SWARM_16720",0,0,0,0
"SWARM_10393",1,0,0,0
"SWARM_2883",0,0,0,0
"SWARM_18144",0,0,0,0
"SWARM_6640",0,0,0,0
"SWARM_8490",0,0,0,0
"SWARM_29167",0,0,0,0
"SWARM_29162",0,0,0,0
"SWARM_1518",0,0,0,0
"SWARM_1515",1,1,0,1
"SWARM_1516",0,0,0,0
"SWARM_21730",0,0,0,0
"SWARM_37831",0,0,0,0
"SWARM_24813",0,0,0,0
"SWARM_29457",0,0,0,0
"SWARM_2575",0,0,0,0
"SWARM_9409",2,1,1,1
"SWARM_9402",0,0,0,0
"SWARM_7980",0,0,3,4
"SWARM_7983",0,1,0,1
"SWARM_6982",0,1,0,1
"SWARM_7984",0,0,0,0
"SWARM_27673",0,0,0,0
"SWARM_1062",0,0,1,1
"SWARM_1067",0,0,0,0
"SWARM_18268",0,0,0,0
"SWARM_10459",0,0,0,0
"SWARM_43973",0,0,0,0
"SWARM_29285",0,0,0,0
"SWARM_3030",0,0,0,0
"SWARM_3035",0,0,0,0
"SWARM_38633",0,0,0,0
"SWARM_24132",0,1,0,1
"SWARM_22993",0,1,1,1
"SWARM_22996",0,0,0,0
"SWARM_17400",0,0,0,0
"SWARM_15809",0,0,0,0
"SWARM_4217",0,0,0,0
"SWARM_504",0,0,0,0
"SWARM_501",1,0,1,0
"SWARM_509",5,3,5,4
"SWARM_5949",0,0,5,3
"SWARM_12338",0,0,0,0
"SWARM_953",1,0,0,0
"SWARM_21057",0,0,0,0
"SWARM_5041",0,0,0,0
"SWARM_5044",0,1,3,1
"SWARM_31235",0,0,0,0
"SWARM_23934",0,0,0,0
"SWARM_11439",0,0,0,0
"SWARM_14084",0,0,0,0
"SWARM_14088",0,0,0,0
"SWARM_39802",0,0,0,0
"SWARM_12648",5,3,5,0
"SWARM_18411",1,0,0,0
"SWARM_6319",0,0,0,0
"SWARM_8751",0,1,0,1
"SWARM_8756",0,0,0,0
"SWARM_2118",1,0,0,0
"SWARM_4884",0,0,0,0
"SWARM_2110",0,0,0,0
"SWARM_2112",0,0,0,0
"SWARM_44352",0,0,0,0
"SWARM_3448",1,0,0,0
"SWARM_8288",0,0,0,0
"SWARM_8282",0,0,0,0
"SWARM_4653",0,0,0,0
"SWARM_4657",0,0,0,0
"SWARM_5525",1,0,0,0
"SWARM_27607",0,0,0,0
"SWARM_24542",0,0,0,0
"SWARM_26977",0,0,0,0
"SWARM_26978",0,0,0,0
"SWARM_11411",0,0,0,0
"SWARM_16190",0,0,0,0
"SWARM_16196",0,0,0,0
"SWARM_4675",0,0,0,0
"SWARM_18598",0,0,0,0
"SWARM_32104",0,0,0,0
"SWARM_6298",0,0,0,0
"SWARM_900",0,0,0,1
"SWARM_35451",0,0,0,0
"SWARM_35453",0,0,0,0
"SWARM_8239",0,0,0,0
"SWARM_8231",1,1,0,1
"SWARM_6022",0,0,0,0
"SWARM_1381",0,0,0,0
"SWARM_1382",0,0,0,0
"SWARM_36168",0,0,0,0
"SWARM_29569",0,0,0,0
"SWARM_29563",0,0,0,0
"SWARM_10210",0,0,0,0
"SWARM_28127",0,0,0,0
"SWARM_15196",0,0,0,0
"SWARM_15197",0,0,0,0
"SWARM_14249",0,0,3,0
"SWARM_14248",0,0,0,0
"SWARM_2380",0,1,0,1
"SWARM_2381",0,0,0,0
"SWARM_2389",1,0,0,0
"SWARM_676",0,1,1,1
"SWARM_11999",0,0,0,0
"SWARM_13735",0,0,0,0
"SWARM_9297",0,0,0,0
"SWARM_9293",0,1,1,1
"SWARM_7261",0,1,0,1
"SWARM_17128",0,0,0,0
"SWARM_9750",0,0,0,0
