"","NSI","pi","piHC","piMetals"
"SWARM_19901",0,0,0,0
"SWARM_4154",94.9,0,38.22,0
"SWARM_4747",0,0,0,0
"SWARM_33370",0,0,0,0
"SWARM_5208",0,0,0,0
"SWARM_41965",0,0,0,0
"SWARM_12306",0,0,0,0
"SWARM_15221",32.69,33.11,32.43,30.74
"SWARM_14173",0,0,0,0
"SWARM_14175",0,0,0,0
"SWARM_14179",34.27,34.86,29.95,32.43
"SWARM_59670",0,0,0,0
"SWARM_11203",0,0,0,0
"SWARM_6221",0,60.4,54.02,63.3
"SWARM_7579",0,0,0,0
"SWARM_5595",0,0,0,0
"SWARM_5592",0,0,0,0
"SWARM_4888",38.1,47.89,30.66,81.04
"SWARM_4058",86.74,0,55.3,0
"SWARM_20610",0,0,0,0
"SWARM_13105",0,0,0,0
"SWARM_9892",0,0,0,0
"SWARM_27181",43.48,39.64,40.13,0
"SWARM_8513",0,0,0,0
"SWARM_14865",0,0,0,0
"SWARM_8127",0,0,0,0
"SWARM_3893",0,0,0,0
"SWARM_3896",0,0,0,0
"SWARM_1499",0,0,0,0
"SWARM_1495",0,0,0,0
"SWARM_1490",0,0,0,0
"SWARM_28404",0,0,0,0
"SWARM_33712",0,0,0,0
"SWARM_28507",0,0,0,0
"SWARM_24996",0,0,0,0
"SWARM_35719",0,0,0,0
"SWARM_22598",0,24,0,24
"SWARM_9743",45.09,0,0,0
"SWARM_30679",0,0,0,0
"SWARM_50560",0,0,0,0
"SWARM_15608",0,0,0,0
"SWARM_16725",0,0,0,0
"SWARM_16720",0,0,0,0
"SWARM_10393",47,0,34.41,0
"SWARM_2883",0,0,0,0
"SWARM_18144",0,0,0,0
"SWARM_6640",0,0,0,0
"SWARM_8490",0,0,0,0
"SWARM_29167",0,0,0,0
"SWARM_29162",0,0,0,0
"SWARM_1518",0,0,0,0
"SWARM_1515",47.15,54.31,0,83.91
"SWARM_1516",0,0,0,0
"SWARM_21730",0,0,0,0
"SWARM_37831",0,0,0,0
"SWARM_24813",0,0,0,0
"SWARM_29457",0,0,0,0
"SWARM_2575",0,0,0,0
"SWARM_9409",31.13,40.22,33.98,37.55
"SWARM_9402",0,0,0,0
"SWARM_7980",0,0,40.91,37.01
"SWARM_7983",0,38.23,0,34.9
"SWARM_6982",31.92,37.51,0,70.23
"SWARM_7984",0,0,0,0
"SWARM_27673",0,0,0,0
"SWARM_1062",0,0,34.14,20.36
"SWARM_1067",0,0,0,0
"SWARM_18268",0,0,0,0
"SWARM_10459",0,0,0,0
"SWARM_43973",0,0,0,0
"SWARM_29285",0,0,0,0
"SWARM_3030",0,0,0,0
"SWARM_3035",0,0,0,0
"SWARM_38633",0,0,0,0
"SWARM_24132",0,23.03,0,19.95
"SWARM_22993",0,27.59,40.94,23.42
"SWARM_22996",0,0,0,0
"SWARM_17400",0,0,0,0
"SWARM_15809",0,0,0,0
"SWARM_4217",0,61.15,0,70
"SWARM_504",0,0,0,0
"SWARM_501",35.5,0,30.26,0
"SWARM_509",99.49,84.36,99.55,59.92
"SWARM_5949",0,48.93,42.66,60.36
"SWARM_12338",0,0,0,0
"SWARM_953",64.73,0,0,0
"SWARM_21057",0,0,0,0
"SWARM_5041",0,0,0,0
"SWARM_5044",0,46.33,52.07,47.68
"SWARM_31235",0,0,0,0
"SWARM_23934",0,0,0,0
"SWARM_11439",0,0,0,0
"SWARM_14084",0,0,0,0
"SWARM_14088",0,0,0,0
"SWARM_39802",0,0,0,0
"SWARM_12648",44.43,42.84,54.17,31.33
"SWARM_18411",85.82,0,0,0
"SWARM_6319",0,0,0,0
"SWARM_8751",33.53,38.18,0,39.96
"SWARM_8756",0,0,0,0
"SWARM_2118",96.21,0,0,0
"SWARM_4884",0,0,0,0
"SWARM_2110",0,0,0,0
"SWARM_2112",0,0,0,0
"SWARM_44352",0,0,0,0
"SWARM_3448",79.24,0,0,58.19
"SWARM_8288",0,0,0,0
"SWARM_8282",0,0,0,0
"SWARM_4653",0,0,0,0
"SWARM_4657",0,0,0,0
"SWARM_5525",79.23,0,0,0
"SWARM_27607",0,0,0,0
"SWARM_24542",0,0,0,0
"SWARM_26977",0,0,0,0
"SWARM_26978",0,0,0,0
"SWARM_11411",0,0,0,0
"SWARM_16190",0,0,0,0
"SWARM_16196",0,0,0,0
"SWARM_4675",0,0,0,0
"SWARM_18598",0,0,0,0
"SWARM_32104",0,0,0,0
"SWARM_6298",0,0,0,0
"SWARM_900",0,42.5,0,54.02
"SWARM_35451",0,0,0,0
"SWARM_35453",0,0,0,0
"SWARM_8239",0,0,0,0
"SWARM_8231",41.47,39.38,0,36.68
"SWARM_6022",0,0,0,0
"SWARM_1381",0,0,0,0
"SWARM_1382",0,0,0,0
"SWARM_36168",0,0,0,0
"SWARM_29569",0,0,0,0
"SWARM_29563",0,0,0,0
"SWARM_10210",0,0,0,0
"SWARM_28127",0,0,0,0
"SWARM_15196",0,0,0,0
"SWARM_15197",0,0,0,0
"SWARM_14249",0,0,34.21,0
"SWARM_14248",0,0,0,0
"SWARM_2380",0,55.27,0,55.67
"SWARM_2381",0,0,0,0
"SWARM_2389",86.66,0,0,0
"SWARM_676",0,49.59,49.55,52.92
"SWARM_11999",0,0,0,0
"SWARM_13735",0,0,0,0
"SWARM_9297",0,0,0,0
"SWARM_9293",0,24.07,27.59,24.84
"SWARM_7261",0,22.03,0,20.63
"SWARM_17128",0,0,0,0
"SWARM_9750",0,0,0,0
"SWARM_19385",0,0,0,0
"SWARM_9889",43.42,43.04,39.37,69.14
"SWARM_28944",0,0,0,0
"SWARM_25810",0,0,0,0
"SWARM_1460",0,0,0,0
"SWARM_1463",0,0,0,0
"SWARM_20554",0,0,0,0
"SWARM_21607",0,0,0,0
"SWARM_25032",0,0,0,0
"SWARM_24927",0,0,0,0
"SWARM_15017",0,0,0,0
"SWARM_15015",0,0,0,0
"SWARM_57643",0,0,0,0
"SWARM_41032",0,0,0,0
"SWARM_8041",0,0,0,0
"SWARM_11815",0,0,0,0
"SWARM_9316",0,0,0,0
"SWARM_9317",0,0,0,0
"SWARM_12568",0,0,0,0
"SWARM_12565",0,0,0,0
