"","NSI","pi","piHC","piMetals"
"root",NA,NA,NA,NA
"Cellular organisms",NA,NA,NA,NA
"Eukaryota",NA,NA,NA,NA
"Opisthokonta",NA,NA,NA,NA
"Metazoa",NA,NA,NA,NA
"Arthropoda",NA,NA,NA,NA
"Annelida",NA,NA,NA,NA
"Brachiopoda",NA,NA,NA,NA
"Bryozoa",NA,NA,NA,NA
"Chaetognatha",NA,NA,NA,NA
"Chordata",27.35,NA,NA,NA
"Cnidaria",NA,NA,NA,NA
"Echinodermata",NA,NA,NA,NA
"Entoprocta",NA,NA,NA,NA
"Gastrotricha",NA,NA,NA,NA
"Gnathostomulida",NA,NA,NA,NA
"Hemichordata",NA,NA,NA,NA
"Mollusca",27.35,NA,NA,NA
"Nematoda",NA,NA,NA,NA
"Nemertea",NA,NA,NA,NA
"Onychophora",NA,NA,NA,NA
"Platyhelminthes",NA,NA,NA,NA
"Porifera",NA,NA,NA,NA
"Priapulida",NA,NA,NA,NA
"Rotifera",NA,NA,NA,NA
"Malacostraca",NA,NA,NA,NA
"Branchiopoda",NA,0.168149250440917,NA,0.120364668856048
"Maxillopoda",NA,0.215550538222952,NA,0.0835351669403394
"Ostracoda",NA,NA,NA,NA
"Hexanauplia",NA,NA,NA,NA
"Diplopoda",NA,NA,NA,NA
"Chilopoda",NA,NA,NA,NA
"Pycnogonida",NA,1.87884035949948,4.17416666666667,1.72987222906404
"Clitellata",NA,NA,NA,0.120364668856048
"Polychaeta",22.525,3.5157965158046,2.33550347222222,2.9177750410509
"Rhynchonellata",NA,NA,NA,NA
"Gymnolaemata",NA,NA,NA,NA
"Stenolaemata",NA,NA,NA,NA
"Sagittoidea",NA,NA,NA,NA
"Elasmobranchii",NA,NA,NA,NA
"Ascidiacea",7.005,3.24828725797072,4.07,2.35783131499726
"Thaliacea",NA,NA,NA,NA
"Anthozoa",7.005,NA,NA,NA
"Hydrozoa",28.415,NA,NA,NA
"Staurozoa",NA,NA,NA,NA
"Scyphozoa",7.15,NA,NA,NA
"Crinoidea",27.35,NA,NA,NA
"Echinoidea",NA,NA,NA,NA
"Holothuroidea",NA,NA,NA,NA
"Asteroidea",NA,NA,NA,NA
"Ophiuroidea",NA,NA,NA,NA
"Entoprocta cla",NA,NA,NA,NA
"Gastrotricha cla",NA,NA,NA,NA
"Gnathostomulida cla",NA,NA,NA,NA
"Enteropneusta",NA,NA,NA,NA
"Bivalvia",NA,NA,NA,NA
"Gastropoda",7.15,3.24828725797072,3.66375,NA
"Cephalopoda",NA,NA,NA,NA
"Polyplacophora",NA,NA,NA,NA
"Scaphopoda",NA,NA,NA,NA
"Caudofoveata",NA,NA,NA,NA
"Solenogastres",NA,NA,NA,NA
"Chromadorea",NA,NA,NA,NA
"Secernentea",NA,NA,NA,NA
"Adenophorea",7.005,2.28683429118774,4.07,2.35783131499726
"Anopla",NA,NA,NA,NA
"Enopla",NA,NA,NA,NA
"Onychophorida",NA,NA,NA,NA
"Rhabditophora",NA,0.168149250440917,NA,0.110994800218938
"Trematoda",NA,NA,NA,NA
"Acoela",NA,NA,NA,NA
"Nemertodermatida",NA,NA,NA,NA
"Demospongiae",28.92,NA,NA,NA
"Hexactinellida",NA,NA,NA,NA
"Priapulimorpha",NA,NA,NA,NA
"Monogononta",NA,NA,NA,NA
"Bdelloidea",NA,NA,NA,NA
"Amphipoda",NA,NA,NA,NA
"Decapoda",28.92,NA,NA,NA
"Mysida",NA,NA,NA,NA
"Isopoda",NA,NA,NA,NA
"Euphausiacea",NA,NA,NA,NA
"Cumacea",NA,NA,NA,NA
"Diplostraca",NA,NA,NA,NA
"Sessilia",NA,NA,NA,NA
"Harpacticoida",NA,NA,NA,NA
"Poecilostomatoida",NA,NA,NA,NA
"Pantopoda",NA,NA,NA,NA
"Haplotaxida",NA,NA,NA,NA
"Enchytraeida",NA,NA,NA,NA
"Sabellida",NA,NA,NA,NA
"Phyllodocida",NA,NA,NA,NA
"Terebellida",NA,NA,NA,NA
"Eunicida",NA,NA,NA,NA
"Opheliida",NA,NA,NA,NA
"Spionida",NA,3.5157965158046,3.66375,NA
"Polychaeta or",NA,NA,NA,NA
"Amphinomida",NA,NA,NA,NA
"Canalipalpata",NA,NA,NA,NA
"Cheilostomatida",NA,NA,NA,NA
"Cyclostomatida",NA,NA,NA,NA
"Cyclostomata",NA,NA,NA,NA
"Phragmophora",NA,NA,NA,NA
"Carcharhiniformes",NA,NA,NA,NA
"Enterogona",NA,NA,NA,1.70553845101259
"Scleractinia",NA,NA,NA,NA
"Zoantharia",NA,NA,NA,NA
"Alcyonacea",NA,NA,NA,NA
"Actiniaria",NA,0.872598142066533,NA,2.01418479748221
"Pennatulacea",NA,NA,NA,NA
