"","NSI","pi","piHC","piMetals"
"root",0,0,0,0
"Cellular organisms",0,0,0,0
"Eukaryota",0,0,0,0
"Opisthokonta",0,0,0,0
"Metazoa",0,0,0,0
"Arthropoda",0,0,0,0
"Annelida",0,0,0,0
"Brachiopoda",0,0,0,0
"Bryozoa",0,0,0,0
"Chaetognatha",0,0,0,0
"Chordata",1,0,0,0
"Cnidaria",0,0,0,0
"Echinodermata",0,0,0,0
"Entoprocta",0,0,0,0
"Gastrotricha",0,0,0,0
"Gnathostomulida",0,0,0,0
"Hemichordata",0,0,0,0
"Mollusca",1,0,0,0
"Nematoda",0,0,0,0
"Nemertea",0,0,0,0
"Onychophora",0,0,0,0
"Platyhelminthes",0,0,0,0
"Porifera",0,0,0,0
"Priapulida",0,0,0,0
"Rotifera",0,0,0,0
"Malacostraca",0,0,0,0
"Branchiopoda",0,1,0,1
"Maxillopoda",0,3,0,1
"Ostracoda",0,0,0,0
"Hexanauplia",0,0,0,0
"Diplopoda",0,0,0,0
"Chilopoda",0,0,0,0
"Pycnogonida",0,5,4,3
"Clitellata",0,0,0,3
"Polychaeta",1,1,1,1
"Rhynchonellata",0,0,0,0
"Gymnolaemata",0,0,0,0
"Stenolaemata",0,0,0,0
"Sagittoidea",0,0,0,0
"Elasmobranchii",0,0,0,0
"Ascidiacea",0,1,1,1
"Thaliacea",0,0,0,0
"Anthozoa",1,0,0,0
"Hydrozoa",1,0,0,0
"Staurozoa",0,0,0,0
"Scyphozoa",1,0,0,0
"Crinoidea",0,0,0,0
"Echinoidea",0,0,0,0
"Holothuroidea",0,0,0,0
"Asteroidea",0,0,0,0
"Ophiuroidea",0,0,0,0
"Entoprocta cla",0,0,0,0
"Gastrotricha cla",0,0,0,0
"Gnathostomulida cla",0,0,0,0
"Enteropneusta",0,0,0,0
"Bivalvia",0,0,0,0
"Gastropoda",3,1,1,0
"Cephalopoda",0,0,0,0
"Polyplacophora",0,0,0,0
"Scaphopoda",0,0,0,0
"Caudofoveata",0,0,0,0
"Solenogastres",0,0,0,0
"Chromadorea",0,0,0,0
"Secernentea",0,0,0,0
"Adenophorea",1,1,1,1
"Anopla",0,0,0,0
"Enopla",0,0,0,0
"Onychophorida",0,0,0,0
"Rhabditophora",0,1,0,1
"Trematoda",0,0,0,0
"Acoela",0,0,0,0
"Nemertodermatida",0,0,0,0
"Demospongiae",0,0,0,0
"Hexactinellida",0,0,0,0
"Priapulimorpha",0,0,0,0
"Monogononta",0,0,0,0
"Bdelloidea",0,0,0,0
"Amphipoda",0,0,0,0
"Decapoda",1,0,0,0
"Mysida",0,0,0,0
"Isopoda",0,0,0,0
"Euphausiacea",0,0,0,0
"Cumacea",0,0,0,0
"Diplostraca",0,0,0,0
"Sessilia",0,0,0,0
