	byOTUs	byTaxa
DA01S	17.2969458258152	24.4386893177641
OSS04S	5.40408791871035	16.7884655390376
OSS11R	16.9061052351935	19.6304332610065
OSS11A1R	9.67156156180071	15.6364229983592
OSS21A1S	6.6414445399828	14.6763369451241
OSS22A1S	18.1460449828869	21.97868430724
OSS11B1S	6.67891429568861	17.9827289329507
OSS21B1S	1.47766527695057	11.1134122287968
OSS22B1S	3.81921795156632	14.3841998257334
OSS11D1S	18.6052996381034	19.0658543327037
R319S	24.5049493938383	23.7500686535821
OSC08R	18.3499356765084	23.0242854681077
OSC08S	19.2754282382098	22.2647335915419
RIN34S	10.4553172475425	18.6204900091788
RIN35S	15.1943595687142	21.91547173801
RIN36S	4.40673243681233	18.4245293653478
RIN37S	16.0662130690899	18.7293380752694
RIN38S	19.9050266040689	24.4289912051684
RIN39S	19.084240368081	21.94515241223
RIN40S	18.7207213740919	23.9062148354136
R220S	19.6388561141453	26.7017693598657
R313S	14.1321434813002	21.1101206977438
R314S	19.6775235283262	22.1891475761676
R315S	12.5052443228932	21.7980744701959
DA06S	19.5629387529634	26.582967860182
DA07S	16.2520038250891	23.4051339285714
DA08S	19.6573556175179	26.3773857050869
DA09S	20.0163664641203	25.60385644339
DA10S	20.5996062992126	27.7075338743403
DA11S	19.6404555808656	25.7111257000455
DA12S	18.5372224165064	24.9837892840852
DA13S	19.6743498478673	28.0370610211706
OSC32S	16.5097228151267	17.5845570239843
OSC16S	15.4228813296536	18.815399372166
OSC20S	17.7884398079019	19.9289364562066
OSC30S	14.7492476710198	20.2828998514057
D19S	16.6491363186269	21.7484602338659
D02S	16.6354461594666	21.0522284892723
D22S	16.1534018563968	20.7190161041253
D23S	16.3700957363062	20.7474502030246
D27S	18.6818309463634	23.0572265315815
D28S	18.4963093682657	22.0858109170993
D29S	16.4356360630897	21.1455917152831
D03S	16.571678596712	20.2962434010864
D30S	16.4441381811588	21.1192258384682
D31S	17.1365896506831	21.6315579637919
D33S	18.9840737250937	22.8828505798644
D35S	19.1668957203135	28.4661835476563
D05S	17.4689679412472	22.6134755930746
DP32S	17.1934177376663	22.4193976616605
BAL16S	20.6442049639045	25.2388454146073
BAL22S	20.0177111897097	23.4872347015531
BAL37S	19.3366131302887	23.1744841246947
BAL42S	19.4688578946568	23.2606564871537
BAL49S	18.1101500929439	24.0238512201622
BAL50S	17.308006561233	18.8086512275961
BAL51S	19.3001289153688	22.1994390841164
BAL52S	18.8321697369364	23.0676435932755
BAL53S	19.222112001693	23.9824618096357
BAL54S	18.4805090675841	21.1512285790151
BAL55S	18.2709449325048	22.9826831026262
BAL56S	18.5637591877743	22.1720538147139
R213S	19.1712365250476	19.9806727997789
R218S	19.02634184649	22.1183599302472
OSF42S	14.4757289870747	18.7918155349125
OSF44S	12.7987993312731	17.3989313471503
OSF43S	11.9128873022169	21.5306836902801
OSF17S	12.249530060216	17.1638252963143
VFR03S	20.7793722828679	23.1598238446437
VFR04S	19.9244065012701	21.0876945100299
VFR05S	18.7731127975002	20.8027332648001
VFR20S	20.3767874694822	21.7130310429961
VFRK01S	20.787357000913	22.4156467482601
VFRK02S	20.7978356053083	22.7771467889019
VFRK03S	21.0116620827267	22.8351795052848
VFR32S	18.1099904147787	19.1574609141827
VFR33S	18.2196117114289	21.4107815442561
VFR34S	16.510401130387	21.5128591412891
BRA06S	16.6412298941961	20.7129100179592
BRA07S	20.8121957955056	16.3865540615624
BRA08S	20.0839113532431	20.4841854752034
DA02S	20.313220721515	28.5135217916149
DA03S	21.0080633719556	27.5191380506417
DA04S	20.4805932260004	27.6598816226361
DA05S	19.1041619457663	26.3419310958223
BRA16S	16.0630151072936	16.2165523206209
BRA17S	16.7832548350252	19.912882782448
R902S	29.4607607246753	27.3622785567264
R905S	29.5376055960624	26.8534899433501
R908S	29.4102805600333	24.9951668204288
OSS11S	20.6050128554979	20.0665506454598
OSS11A1S	8.38162887552059	16.2502458602451
SG06S	29.6748069296598	24.653112065212
SG07S	28.8204317129337	25.0210136108351
SG08S	29.6686597741674	24.3435183408317
SG09S	28.7717533410808	24.3119840814695
SG10S	29.0775949367089	24.1116415477429
SG11S	28.6201906106601	25.5512100167456
SG12S	28.9179528295583	23.8518483049224
SG13S	29.2744874030425	26.4098841826021
