	byOTUs	byTaxa
DA01S	24.8649921507064	29.5422404168217
OSS04S	2.89356499356499	11.665070889339
OSS11S	4.83611774065235	30.3205496963886
OSS11A1S	0.164037064863511	6.14443198804185
OSS21A1S	0.41462426574843	7.78174261966179
OSS22A1S	6.53893442622951	28.5847659349378
OSS11B1S	0.934222222222222	0.638263853228141
OSS21B1S	0.00666507974291835	0.307500219048454
OSS22B1S	0.777991218441273	5.42797427652733
OSS11D1S	5.22938260477693	29.0586632243259
R319S	18.2837670384139	22.8936252606494
OSC08R	16.8140096618358	26.1364856044673
OSC08S	15.1191749427044	25.6913535206129
RIN34S	8.52011767759799	23.1648518815052
RIN35S	13.8183472780615	18.156684995294
RIN36S	4.93616602734337	17.9218121704941
RIN38S	25.0409090909091	29.869929252937
RIN39S	21.2924067367937	22.7339620787897
RIN40S	21.2094411285947	28.252555225849
R220S	21.0924237380339	22.0480861506905
R313S	26.0348126494818	24.381440606021
R314S	24.1906294706724	24.7259615384615
R315S	21.0324449594438	26.5979464142467
DA06S	29.8163851958318	30.3161065313887
DA07S	22.3280972139893	28.9166666666667
DA08S	24.8254063816978	28.9903704431561
DA09S	24.1898839137645	29.3004802195289
DA10S	26.1198129748685	29.9099208764455
DA11S	23.7139019476158	29.5246816026773
DA12S	26.0650584795322	29.9252083124184
DA13S	25.2933333333333	29.9266660005995
OSC32S	17.4241245136187	27.544080604534
OSC16S	20.8451455232171	26.8678438405297
OSC20S	21.1120364010989	24.3529316619491
OSC30S	14.9294913071475	26.199025254763
D19S	22.9066147859922	29.9429376541035
D02S	21.4961208656595	29.7227263561202
D22S	21.2560779816514	25.2756094311976
D23S	22.5250305250305	26.9624604847208
D27S	22.8127949659151	29.8046792597564
D28S	19.3684470820969	26.4563359733222
D29S	21.2968055849376	26.7332785369362
D03S	24.1642542479547	30.264661479503
D30S	22.5980707395498	29.6636645962733
D31S	24.0944444444444	30.2568829303328
D33S	21.5072255816337	26.0281728221489
D35S	21.1680935068996	24.1648994515539
D05S	22.66802413273	28.2725
DP32S	21.1005498821681	28.3470694864048
BAL16S	25.5992417484389	29.179300816915
BAL22S	24.3518960883846	30.0629653096784
BAL37S	22.4556213017752	29.2665937741189
BAL42S	26.7942069314445	28.787171087393
BAL49S	25.6227235099338	30.6250721411493
BAL50S	21.9388753056235	27.4530078187331
BAL51S	23.6093660765277	28.6573154100916
BAL52S	26.1946271929825	30.4193943637318
BAL53S	22.1632309633992	26.6760377942999
BAL54S	28.6332706177485	26.7462052216151
BAL55S	22.0565737051793	29.3901812473241
BAL56S	22.5034409740604	27.8897447183099
R213S	4.5513940520446	22.7439204621792
R218S	20.9812358460045	28.6083115590394
OSF42S	18.080443726124	25.6224732738901
OSF44S	25.0025504265892	23.9769032969051
OSF43S	3.89950539568345	11.499022935308
OSF17S	19.6313931201453	27.5401815072997
VFR03S	28.3867892407218	29.5008488964346
VFR04S	20.4269282814614	25.7792369366879
VFR05S	14.2857865452706	29.4522241850008
VFR20S	20.6358613761929	29.2310853726882
VFRK01S	20.8675662168916	26.8444170265268
VFRK02S	22.3738419618529	29.4697063560897
VFRK03S	20.9371139809096	30.03515625
VFR32S	7.89889515479342	8.18720229555237
VFR33S	17.9884911078177	18.1833085283904
VFR34S	4.37157292809024	6.42004136504654
BRA06S	21.2628633607959	23.0647263462198
BRA07S	3.29889490923562	10.4011480170614
BRA08S	19.5481951093285	27.9373855011777
DA02S	26.1323784722222	29.8921417565485
DA03S	24.5908230842006	29.9237065481002
DA04S	23.6492471213463	29.6007513661202
DA05S	22.5087281795511	28.9651862280814
BRA16S	21.7803000652316	24.3735457171859
BRA17S	28.2492162371239	28.6298143216033
R902S	30.9176852082814	30.6806938644394
R905S	30.9215499821705	30.8114857479189
R908S	30.8540241977907	30.6810665872188
SG06S	30.6112508575349	30.1248491868153
SG07S	29.3690987124464	29.9010186604165
SG08S	26.1220512820513	30.1259892658965
SG09S	30.4032411820782	30.289391737596
SG10S	29	30.2743827914935
SG11S	29.7145161290323	30.1481621826449
SG12S	26.3018691588785	29.9881969351157
SG13S	29.4114636642784	30.118
