	byOTUs	byTaxa
DA01S	24.2049689440994	29.2618296529969
OSS04S	24.8	25.3793103448276
OSS21A1S	16.5	12
OSS22A1S	26.512	22
OSS11B1S	21.7560975609756	21
OSS21B1S	NA	12
OSS22B1S	24.609756097561	24.8433734939759
OSS11D1S	23.5545454545455	21.5555555555556
R319S	23.3636363636364	29.6744186046512
OSC08S	24.0126582278481	26.1791044776119
RIN34S	13.8969696969697	2.85897435897436
RIN35S	12.4945205479452	11.4727272727273
RIN37S	14.85	1.02803738317757
RIN38S	24.3362831858407	22.6309012875536
RIN39S	22.4777777777778	23.3291925465839
RIN40S	20.15625	20.6918238993711
R220S	20.4493827160494	21.9118942731277
R313S	22.6760563380282	30.3942857142857
R314S	26.3225806451613	30.7432432432432
R315S	25.2903225806452	30.2567164179104
DA06S	27.3636363636364	29.8758620689655
DA07S	27.6279069767442	30.5705128205128
DA08S	26.6122448979592	29.399209486166
DA09S	25.2941176470588	29.7923728813559
DA10S	28.1764705882353	30.3410404624277
DA11S	27.3207547169811	30.5128205128205
DA12S	26.6739130434783	30.0899470899471
DA13S	26.6639344262295	30.2814070351759
OSC32S	21.4794520547945	15.468085106383
OSC16S	21.04	21.8070175438597
OSC20S	17.9024390243902	27.9304347826087
OSC30S	17	21.5959595959596
D19S	22.0862068965517	26.4885496183206
D02S	20.6305970149254	24.3426573426573
D22S	22.5537974683544	27.6
D23S	22.1233183856502	27.283185840708
D27S	20.2159383033419	21.112582781457
D28S	20.2712765957447	21.1319796954315
D29S	22.5321100917431	27.1560283687943
D03S	20.0917431192661	21.1608391608392
D30S	21.6321525885559	26.2348484848485
D31S	21.9298245614035	26.4444444444444
D33S	20.8994565217391	23.0686274509804
D35S	21.3086816720257	24.991935483871
D05S	21.1746031746032	25.0391061452514
DP32S	20.215530903328	22.8862745098039
BAL16S	21.0276243093923	22.2173913043478
BAL22S	21.0328282828283	22.1098130841122
BAL37S	22.7368421052632	22.720194647202
BAL42S	20.4446564885496	20.859344894027
BAL49S	22.276397515528	24.280701754386
BAL50S	21.6750629722922	23.7907444668008
BAL51S	20.7677595628415	22.6772009029345
BAL52S	23.3760932944606	24.6707616707617
BAL53S	20.9590361445783	21.9864559819413
BAL54S	18.7376033057851	21.226821192053
BAL55S	20.5283446712018	22.4359464627151
BAL56S	20.5710144927536	24.5897887323944
R213S	21.8467432950192	24.75
R218S	29.6428571428571	23.8571428571429
OSF42S	21.7904761904762	30.6263982102908
OSF44S	17.9416058394161	30.6730769230769
OSF43S	12.2352941176471	17.6153846153846
OSF17S	23.3714285714286	29.2622950819672
VFR03S	27	28.3982035928144
VFR04S	26.8681318681319	27.2023121387283
VFR05S	23.3885350318471	24.167701863354
VFR20S	23.3445945945946	25.2098765432099
VFRK01S	24.953488372093	26.14
VFRK02S	23.1074380165289	25.763358778626
VFRK03S	23.3207547169811	28.2153846153846
BRA06S	29.4395604395604	30.5441176470588
BRA07S	13.8034557235421	11.9862637362637
BRA08S	25.6911764705882	29.8368794326241
DA02S	25.9277108433735	30.3190476190476
DA03S	26.4404761904762	30.2422907488987
DA04S	26.5535714285714	30.1464285714286
DA05S	25.7641509433962	30.070796460177
BRA16S	30.0243902439024	30.5833333333333
BRA17S	30.4444444444444	30.8311111111111
R902S	31	30.911214953271
R905S	31	31
R908S	31	30.8389830508475
OSS11S	22.1477272727273	19.6842105263158
OSS11A1S	19.5	12.0426944971537
SG06S	31	31
SG07S	31	31
SG08S	31	31
SG09S	31	31
SG10S	31	31
SG11S	31	31
SG12S	31	31
SG13S	31	31
