	byOTUs	byTaxa
DA01S	0.0666666666666667	0.143699731903485
OSS04S	0.0952380952380952	0.0454545454545455
OSS21A1S	2	2
OSS22A1S	0.0769230769230769	0.265060240963855
OSS11B1S	NA	0
OSS21B1S	2	2
OSS22B1S	0.454545454545455	0.222222222222222
OSS11D1S	1.08571428571429	1.35714285714286
R319S	0.0957446808510638	0.0967741935483871
OSC08S	0.1089258698941	0.152046783625731
RIN34S	0.343703703703704	0.730586370839937
RIN35S	0.343833422317138	0.816462736373749
RIN37S	0.549019607843137	2.6780303030303
RIN38S	0	0.0165198237885463
RIN39S	0.00309837335398916	0.0144404332129964
RIN40S	0.0130321459600348	0.0276073619631902
R220S	0.545012787723785	0.297170971709717
R313S	0.0258064516129032	0.0767123287671233
R314S	0.133333333333333	0.096
R315S	0.0553359683794466	0.047713717693837
DA06S	0.0296296296296296	0.194285714285714
DA07S	0.141798941798942	0.192156862745098
DA08S	0.0801369863013699	0.254362416107383
DA09S	0.06875	0.166064981949458
DA10S	0.0612021857923497	0.219047619047619
DA11S	0.0389380530973451	0.225196850393701
DA12S	0.119565217391304	0.14
DA13S	0.0917647058823529	0.341818181818182
OSC32S	0.186274509803922	0.099660152931181
OSC16S	0.0417582417582418	0.0221538461538462
OSC20S	0.0324675324675325	0.196648044692737
OSC30S	0.116523400191022	0.0527752502274795
D19S	0	0.0495378927911275
D02S	0.0413223140495868	0.104600484261501
D22S	0	0.0697899838449112
D23S	0	0.0836438923395445
D27S	0	0.176061776061776
D28S	0.0962962962962963	0.149498997995992
D29S	0	0.124822695035461
D03S	0	0.2
D30S	0	0.0607879924953096
D31S	0	0.0618075801749271
D33S	0.0355555555555556	0.170892018779343
D35S	0	0.254957507082153
D05S	0	0.0899810964083176
DP32S	0	0.135174418604651
BAL16S	0.828545618789521	0.00810810810810811
BAL22S	0.823926380368098	0.0166197183098592
BAL37S	0.823228010247652	0.0244372990353698
BAL42S	0.750086058519793	0.0393939393939394
BAL49S	0.653118712273642	0.00825688073394495
BAL50S	0.758108108108108	0.0102827763496144
BAL51S	0.683731019522776	0.00336134453781513
BAL52S	0.666666666666667	0.0179775280898876
BAL53S	0.762970106075217	0.0144846796657382
BAL54S	0.70174081237911	0.00585365853658537
BAL55S	0.802175390890551	0.0247139588100686
BAL56S	0.54380664652568	0.0875
R213S	0.068371467025572	0.324339360222531
R218S	1.05132743362832	1.25142857142857
OSF42S	0.0979020979020979	0.776280323450135
OSF44S	0.0692675159235669	0.801194353963083
OSF43S	1.56711409395973	1.6261744966443
OSF17S	0.103092783505155	0.258227848101266
VFR03S	0.121791044776119	0.139366515837104
VFR04S	0.0833333333333333	0.0457142857142857
VFR05S	1.48955223880597	1.595
VFR20S	0.291176470588235	0.227564102564103
VFRK01S	0.0588957055214724	0.0276923076923077
VFRK02S	0.114606741573034	0.119075144508671
VFRK03S	0.0704225352112676	0.0597014925373134
BRA06S	0.154042553191489	0.524852071005917
BRA07S	1.86151685393258	1.69617940199336
BRA08S	0.0475177304964539	0.504887218045113
DA02S	0.063716814159292	0.218775510204082
DA03S	0.0763636363636364	0.183333333333333
DA04S	0.0459459459459459	0.159509202453988
DA05S	0.056198347107438	0.1265625
BRA16S	0.297101449275362	0.576689189189189
BRA17S	0.0603174603174603	0.634343434343434
R902S	0	0.0945945945945946
R905S	0.0909090909090909	0.358823529411765
R908S	0	0.0684210526315789
OSS11S	1.57142857142857	1.53846153846154
OSS11A1S	1.9992380952381	1.9992380952381
SG06S	0.0134228187919463	0.162790697674419
SG07S	0	0.1
SG08S	0.0184331797235023	0.0944206008583691
SG09S	0.0545454545454545	0.166666666666667
SG10S	0	0.0449438202247191
SG11S	0.0344827586206897	0.132075471698113
SG12S	0.0824742268041237	0.170542635658915
SG13S	0.0892857142857143	0.149253731343284
