"","ienv.cp","zenv.cp","freq","maxgrp","IndVal","obsiv.prob","zscore","5%","10%","50%","90%","95%","purity","reliability","z.median","filter"
"SWARM_2",27.35,27.35,87,1,96.67,0.01,6.9,20.6275,21.705,27.25,27.48,27.7575,0.61,1,6.86054635086719,0
"SWARM_4",14,24.135,97,2,85.85,0.01,7.05,23.395,23.4225,24.455,24.945,25,1,1,7.12307289491555,2
"SWARM_9",28.29,25,100,1,77.92,0.01,7.84,24.4685,24.7945,25,27.35,27.44,0.97,1,8.19661446892263,1
"SWARM_14",27.35,27.35,90,1,98.85,0.01,9.55,24.508,24.91,26.385,27.35,27.3525,1,1,9.90178222336261,1
"SWARM_10",25.95,25.95,53,1,64.34,0.01,4.72,23.66475,24.47,25.8,26,26.00075,1,1,4.50914206540105,1
"SWARM_15",23.165,23.4,41,2,44.25,0.02,2.86,23.2,23.265,23.5225,25.9,26,0.73,0.96,3.08541775992003,0
"SWARM_13",9.135,9.135,100,2,94.59,0.01,5.76,7.03,7.15,10.575,22.955,23,1,1,5.48195341070172,2
"SWARM_19",26.37,24.945,96,1,76.29,0.01,5.94,24.4845,24.7955,25,26.5015,26.70225,0.99,0.99,5.2606499661014,1
"SWARM_22",9.135,21.705,17,1,81.42,0.01,14.06,9.015,10.8135,21.3325,22.9055,22.95725,1,1,13.9417770578114,1
"SWARM_25",7.005,25,80,1,86.89,0.01,5.46,23.93525,24.135,24.945,25,25.7125,1,1,6.2015753928699,1
"SWARM_26",28.415,24.41,95,1,77.33,0.01,4.72,19.9975,23.8045,24.6,27.151,27.35,0.92,1,5.12373581852564,0
"SWARM_24",27.35,27.35,80,1,88.89,0.01,4.43,25,25.95,26.9975,27.35,27.664,0.98,1,4.48908148445149,1
"SWARM_27",26.5,25.85,82,1,87.11,0.01,7.8,23.93825,24.0405,25,26.0685,26.4035,1,1,8.41064527019235,1
"SWARM_29",27.35,27.35,90,1,100,0.01,7.5,23.44875,23.7895,24.945,27.4,27.48875,1,1,7.03546772175424,1
"SWARM_28",27.35,25,94,1,87.91,0.01,8.13,24.04275,24.18,25,25.663,25.84075,1,1,8.2771483018809,1
"SWARM_45",27.35,28.29,17,2,95.85,0.01,16.57,26.59725,26.645,27.35,28.218,28.37,1,1,16.4787565683816,2
"SWARM_32",27.35,27.35,50,1,55.56,0.03,2.54,12.129,14,25.6325,27.404,27.48875,0.75,0.94,3.13628037331812,0
"SWARM_40",27.845,27.35,94,1,96.59,0.01,5.33,23.35,23.4225,26.645,27.836,27.94325,1,1,4.83131106844422,1
"SWARM_31",18.45,23,41,2,43.84,0.03,2.62,22.10875,22.9545,23.32,26.032,26.1725,0.58,0.99,3.27049457426619,0
"SWARM_38",18.45,14,78,2,85.71,0.01,6.21,9.135,11,18.45,21.7475,24.771,0.94,0.99,5.39768557487281,0
"SWARM_33",27.35,27.35,41,1,45.56,0.04,1.7,7.264,10.8135,23.165,26.825,27.35,0.64,0.41,-1.92346227822973,0
"SWARM_39",21.705,20.63,24,1,43.17,0.01,4.39,3.49,7.005,21.705,23.04,24.48925,0.96,0.94,5.63000649712148,0
"SWARM_44",24.555,24.41,60,1,79.72,0.01,9.93,24.275,24.4685,24.6725,25,25,1,1,10.2633693643607,1
"SWARM_49",27.35,27.35,83,1,92.22,0.01,5.83,26.545,26.6855,27.35,27.755,27.948,0.99,1,5.71414898790867,1
"SWARM_47",26.645,26.015,100,2,79.19,0.01,4.78,25.88,26,26.4,27.205,27.35,1,1,4.78218376889762,2
"SWARM_48",27.35,27.35,86,1,65.13,0.01,2.88,19.6775,23.2735,25,27.665,27.845,0.51,0.94,3.48821481711395,0
"SWARM_35",27.35,27.35,13,2,99.52,0.01,18.14,26.3495,26.5,27.25,27.885,28.294,1,1,18.9349005890359,2
"SWARM_55",28.415,27.845,99,1,86.33,0.01,5.52,13.90675,19.995,26.545,27.44,27.48,0.53,1,5.72693977472347,0
"SWARM_70",27.44,27.35,92,1,99.82,0.01,13.93,26.69,27.0405,27.39,28.218,28.37225,1,1,10.6071204201653,1
"SWARM_53",27.35,27.35,91,1,99.91,0.01,10.22,26.161,26.645,27.35,27.755,28.33525,1,1,8.56043309269013,1
