"","ienv.cp","zenv.cp","freq","maxgrp","IndVal","obsiv.prob","zscore","5%","10%","50%","90%","95%","purity","reliability","z.median","filter"
"SWARM_2",27.35,27.35,87,1,96.67,0.01,7.45,20.63,22.047,27.35,27.665,27.845,0.69,1,6.79497193333051,0
"SWARM_4",14,24.855,97,2,88.11,0.01,6.48,23.4,23.505,24.47,24.9135,24.945,1,1,7.06898666586902,2
"SWARM_9",28.29,25,100,1,77.05,0.01,8.29,24.55075,24.753,25,27.395,27.49375,0.99,1,8.22825957744995,1
"SWARM_14",27.35,27.845,90,1,97.83,0.01,9.02,24,24.31,26.37,27.3,27.404,1,1,9.82051735569713,1
"SWARM_10",25.95,25.785,53,1,63.12,0.01,3.77,23.66475,24.4275,25.8,26,26,1,1,4.56888281091633,1
"SWARM_15",23.3,23.32,41,2,45.39,0.01,2.76,23.3,23.345,24.47,25.91,26,0.81,0.96,3.45613868884222,0
"SWARM_13",9.135,9.135,100,2,94.59,0.01,5.6,7.03,7.15,9.135,22.955,23.37125,0.99,1,5.87487060958415,2
"SWARM_19",26.37,24.945,96,1,76.29,0.01,5.47,24.8,24.91,25,26.37,26.60225,0.98,1,5.38883648001255,1
"SWARM_22",9.135,19.95,17,1,78.56,0.01,14.54,9.015,9.135,21.355,22.9145,23,1,1,14.7394797324461,1
"SWARM_25",7.005,25,80,1,88.28,0.01,5.81,23.80475,24,24.945,25.905,26.00075,1,1,6.69639946158567,1
"SWARM_26",28.415,25,95,1,78.06,0.01,4.9,21.97825,23.779,25,27.391,27.48,0.91,1,5.61277321527435,0
"SWARM_24",27.35,27.35,80,1,88.89,0.01,5.47,24.4455,25.6615,27.05,27.44,27.48,0.97,1,4.90570113470256,1
"SWARM_27",26.5,24.945,82,1,80.2,0.01,8.07,24.266,24.769,25,26,26.065,1,1,8.34674625064066,1
"SWARM_29",27.35,27.35,90,1,100,0.01,6.82,23.79175,23.984,24.9,27.354,27.404,1,1,7.49614955560565,1
"SWARM_28",27.35,25.155,94,1,85.67,0.01,7.71,24.444,24.49,25,25.735,25.9,1,1,8.57680904972768,1
"SWARM_45",27.35,27.35,17,2,99.81,0.01,17.67,26.68775,26.7945,27.35,28.213,28.41725,1,1,16.4509998573468,2
"SWARM_32",27.35,27.35,50,1,55.56,0.03,2.58,12.135,14,27.25,27.76,27.845,0.68,0.95,3.21608286007206,0
"SWARM_40",27.845,27.35,94,1,96.59,0.01,5.12,23.2285,23.4,27.32,27.845,28.294,0.98,1,4.88809219688746,1
"SWARM_31",18.45,26.645,41,1,44.59,0.02,2.39,22.955,23,24.91,26.0805,26.645,0.52,0.98,3.33924446072311,0
"SWARM_38",18.45,18.45,78,2,86.67,0.01,5.99,7.27,9.135,17.725,20.648,22.1025,0.98,0.94,5.46257139981131,0
"SWARM_33",27.35,27.44,41,1,45.05,0.04,1.62,7.03,9.135,23.4125,26.96,27.35,0.45,0.53,2.25104944761212,0
"SWARM_39",21.705,20.63,24,1,43.17,0.01,4.24,3.49,6.832,22.08,24.9505,25.85,0.93,0.92,4.46759951644215,0
"SWARM_44",24.555,24.49,60,1,83.45,0.01,9.7,24.08775,24.417,24.555,25,25,1,1,10.8819889468772,1
"SWARM_49",27.35,27.35,83,1,92.22,0.01,6.17,26.645,27.1,27.35,27.76,27.849,0.97,1,6.01123664269566,1
"SWARM_47",26.645,26.5,100,2,82.56,0.01,4.32,25.8975,26,26.37,27.11,27.3,1,1,4.80681773856315,2
"SWARM_48",27.35,27.35,86,1,65.13,0.03,2.86,14,21.467,25,27.444,27.755,0.46,0.98,3.58997478846197,0
"SWARM_35",27.35,27.35,13,2,99.52,0.01,23.03,26.31025,26.5675,27.3,27.76,27.845,1,1,19.1441570998321,2
"SWARM_55",28.415,27.44,99,1,86.66,0.01,5.13,14,20.522,27.2,27.737,27.86325,0.65,1,5.81422510343154,0
"SWARM_70",27.44,27.35,92,1,99.82,0.01,11.93,26.8895,27.1,27.35,27.836,28.29625,1,1,10.8147233710284,1
