"","ienv.cp","zenv.cp","freq","maxgrp","IndVal","obsiv.prob","zscore","5%","10%","50%","90%","95%","purity","reliability","z.median","filter"
"SWARM_2",1.14221782665565,1.05089272339254,87,1,81.79,0.01,8.36,0.615728180503924,0.649986818463446,1.06025246970949,1.12534208419386,1.14221782665565,1,1,9.29685870870524,1
"SWARM_4",2.72313761531048,0.636025247831474,97,1,86.56,0.01,6.85,0.634398112866584,0.641943928128872,0.774897614622057,0.968739584882281,1.06555835828859,1,1,7.25764471360163,1
"SWARM_9",2.72313761531048,2.72313761531048,100,1,85.63,0.01,4.19,0.933001742909266,1.16538287312405,2.18870012850521,2.72313761531048,2.86752273165359,0.93,0.98,4.64780507971791,0
"SWARM_14",2.72313761531048,1.31286847721327,90,2,67.05,0.01,3.86,0.215800050340768,0.277204004027261,0.796401294231034,2.1982283918491,2.52428769860939,0.98,0.97,4.1937216741474,2
"SWARM_10",0.136907889301941,0.422288104089219,53,2,52.39,0.01,3.23,0.393444315365551,0.407395384138786,0.566967420487402,0.849302854192483,0.878085863279637,0.97,0.95,3.87041503692754,2
"SWARM_15",0.136907889301941,1.15849024507779,41,1,40.95,0.12,1.45,0.129417828376704,0.132982083849649,0.435812809789343,1.1741324039653,1.29091319874707,0.81,0.61,2.39463351409006,0
"SWARM_13",2.89046070494286,0.888282992565056,100,1,78.49,0.01,6.69,0.722193424721189,0.754150598926064,0.874796767864519,0.986441277708937,1.48033307540502,1,1,7.09454189922156,1
"SWARM_19",0.232335579306072,0.488634603469641,96,2,64.93,0.02,2.55,0.172825278810409,0.186765179677819,0.426820322180917,1.16107851438799,1.27704195924549,0.89,0.93,3.8776081966916,0
"SWARM_22",3.09311913809721,3.09311913809721,17,2,92.63,0.01,11.21,1.16748344107118,1.19549394189729,1.87331123502685,2.89046070494286,3.15139245490844,1,1,13.3801183028645,2
"SWARM_25",3.09311913809721,0.730712257331681,80,2,73.71,0.01,3.63,0.512077950743494,0.676746437422553,0.846716260498417,1.83805871127633,2.9487340217541,1,0.99,4.19394146824282,2
"SWARM_26",2.89046070494286,0.896316040203773,95,1,80.99,0.01,5.41,0.767942544403139,0.782276538620405,0.874912357152692,0.90787105603745,0.961611252581578,1,1,5.4013464649382,1
"SWARM_24",0.26710816811235,0.416049411400247,80,1,61.65,0.01,3.2,0.26710816811235,0.274078020446097,0.482030669144981,1.06046946853917,1.16678887408784,0.94,0.9,4.06636239907748,0
"SWARM_27",3.09311913809721,0.888282992565056,82,2,63.05,0.02,3.47,0.142005227695167,0.265148629182156,0.877970273991464,1.55446674927716,1.89550569759971,0.9,0.91,3.97958537335804,0
"SWARM_29",2.89046070494286,0.878085863279637,90,1,61.53,0.04,2.81,0.278488070528707,0.510278810408922,0.834010044058929,0.895615618890266,1.1768913327826,0.94,0.89,3.48053742117875,0
"SWARM_28",0.168098048327138,0.370811648079307,94,2,68.94,0.01,3.04,0.172825278810409,0.186431381660471,0.382403190830236,0.847000853641746,0.927492160092248,0.83,0.91,3.50239341545554,0
"SWARM_45",1.31286847721327,1.31286847721327,17,1,19.77,0.11,0.96,0.273144209520859,0.282189384551838,0.732238615241636,1.1815458488228,1.20773770652623,0.61,0.47,2.10800707254579,0
"SWARM_32",0.136907889301941,0.172491480793061,50,1,63.95,0.01,5.03,0.156447939900867,0.172491480793061,0.232335579306072,0.371019222428749,1.58617841823856,0.97,1,5.05962661234823,1
"SWARM_40",2.72313761531048,2.72313761531048,94,2,84.16,0.04,2.58,0.412683674101611,0.59261704874019,1.48957899628253,2.72313761531048,2.72313761531048,0.78,0.76,2.82937694656298,0
