"","ienv.cp","zenv.cp","freq","maxgrp","IndVal","obsiv.prob","zscore","5%","10%","50%","90%","95%","purity","reliability","z.median","filter"
"SWARM_2",2.66197146962233,0.931151933953658,87,1,77.76,0.01,8.3,0.329378991060026,0.339557562488597,0.995893655354862,1.32754521443395,1.40235786647434,1,1,8.54546660565871,1
"SWARM_4",2.40866648706897,0.334259487319832,97,1,86.67,0.01,7.11,0.324435994800219,0.329696656632001,0.687666769293925,1.13497041674269,1.18221499080156,1,1,6.97708377264885,1
"SWARM_9",3.5157965158046,0.301729003223256,100,2,67.88,0.02,3.43,0.292589551784954,0.296451795596911,0.334259487319832,3.38890104166667,3.5157965158046,0.53,1,5.07412907199311,0
"SWARM_14",2.33761729440339,1.18976749224594,90,2,63.98,0.01,3.53,0.233915077844676,0.253244640576537,0.837937116098035,1.9565582808794,2.15151799682996,0.98,1,4.61939346716043,2
"SWARM_10",1.25536645533054,0.429567749194186,53,2,51.17,0.01,3.42,0.239233803898316,0.270167761357416,0.450520434227331,1.23795308033814,1.25536645533054,0.96,0.9,3.89411629497973,0
"SWARM_15",3.5157965158046,1.87884035949948,41,1,41.3,0.14,1.2,0.115161466885605,0.115161466885605,0.301729003223256,1.60952463196725,1.67975528720428,0.77,0.6,2.16220671665809,0
"SWARM_13",3.24828725797072,1.16937659642401,100,1,80,0.01,7.6,0.686497536945814,0.758191555677188,1.13825128854224,2.67172283370963,3.15519503027504,1,1,7.50351101454877,1
"SWARM_19",0.175053936325488,0.383190415374323,96,2,69.86,0.01,3.93,0.157541611552028,0.17015284239494,0.36475050173326,1.13880462620873,2.11128064563948,0.87,0.93,4.31343145003764,0
"SWARM_22",3.64231080237411,2.28683429118774,17,2,72.01,0.01,12.53,1.65071211913884,1.67891312032476,1.9565582808794,3.5157965158046,3.55639965085352,1,1,14.3791442139351,2
"SWARM_25",3.64231080237411,1.27996158604725,80,2,77.06,0.01,4.3,0.351756036003163,0.579823082010582,1.07482131454114,2.31365591646141,2.87905466398125,1,1,4.94435778804993,2
"SWARM_26",3.5157965158046,0.872598142066533,95,1,79.97,0.01,5.16,0.427634966247036,0.706860062032475,0.954719143404487,1.13203084139147,1.2382648930681,0.95,1,5.17234633841926,1
"SWARM_24",2.97169262281062,0.389816335218634,80,1,60.5,0.01,3.11,0.150057119670985,0.157775535182144,0.383190415374323,2.47154802528052,2.97169262281062,0.94,0.88,3.73136074041833,0
"SWARM_27",3.64231080237411,1.18976749224594,82,2,69.29,0.01,5.2,0.17470870203126,0.233566107158061,1.17732659794441,1.77096161740558,2.98064667252497,0.96,0.96,4.62040259157557,2
"SWARM_29",2.97169262281062,0.872598142066533,90,1,59.94,0.05,2.08,0.114952631819011,0.279677674390318,0.836920155993432,1.08797003664173,2.77009548611111,0.76,0.9,3.06016880877371,0
"SWARM_28",0.301729003223256,0.301729003223256,94,2,72.96,0.01,3.98,0.256134711579396,0.272346211153682,0.301729003223256,0.334341893206836,0.526347130997993,0.95,1,4.58742530324755,2
"SWARM_45",1.77096161740558,1.18976749224594,17,1,19.83,0.06,2.01,0.179335203430031,0.198260802469136,0.383190415374323,1.2213630990391,1.36298432059805,0.89,0.65,2.8000271601568,0
"SWARM_32",0.168149250440917,0.153097062579821,50,1,57.46,0.01,4.45,0.153097062579821,0.157775535182144,0.179335203430031,1.19941328281792,1.80284686088875,0.88,0.98,4.92033260708649,0
"SWARM_40",2.28683429118774,1.99575406803047,94,2,73.61,0.05,2.15,0.104816816046342,0.107337050720671,0.931151933953658,2.15255956086937,2.28833187730911,0.78,0.76,2.83079998618764,0
"SWARM_31",1.34969496898376,1.34969496898376,41,1,48.4,0.02,3.79,0.294803943927507,0.317690202517789,0.688509358085508,1.38984758616889,1.41376147287219,1,1,5.31145064821843,1
"SWARM_38",3.24828725797072,3.5157965158046,78,1,82.98,0.01,3.76,0.333399345466156,0.89649090798516,2.40866648706897,3.37480154454023,3.4273682522578,0.92,0.83,4.56829419977387,0
"SWARM_33",3.5157965158046,0.168149250440917,41,1,43.05,0.06,1.91,0.152862844371465,0.157775535182144,0.443926366843034,3.4273682522578,3.4273682522578,0.73,0.6,2.75797254023436,0
"SWARM_39",1.4263701023992,1.4263701023992,24,2,42.15,0.01,4.93,0.317966820987655,1.27249102344083,1.4263701023992,2.31886914169403,3.68039682539683,0.94,0.99,6.04856484615587,0
"SWARM_44",0.301729003223256,0.290982104847047,60,2,61.96,0.01,4.99,0.270945645563461,0.273389063735328,0.301729003223256,0.334259487319832,0.374786896399682,0.95,1,5.7213417749588,2
"SWARM_49",3.64231080237411,3.64231080237411,83,2,73.12,0.09,1.73,0.1359917594113,0.138038983153926,0.698527298850574,3.38005821531199,3.64231080237411,0.62,0.88,3.04193540650294,0
"SWARM_47",0.100644157088123,0.107337050720671,100,1,75.77,0.02,2.14,0.0980471173143587,0.0996495849297573,0.168149250440917,0.366682980599647,1.03759529701089,0.68,0.82,2.81477507117738,0
"SWARM_48",2.97169262281062,0.324375114030287,86,1,57.31,0.01,3.65,0.167162422839506,0.218493044152527,0.39284345922277,2.40866648706897,2.97169262281062,0.9,0.95,4.13443538467871,0
"SWARM_35",0.394985708204099,0.394985708204099,13,2,15.87,0.04,2.27,0.0995694615489874,0.217374448853616,0.399023900748039,1.50979454094257,1.77096161740558,0.62,0.7,3.09571263502888,0
"SWARM_55",3.5157965158046,1.12408083987107,99,1,76.95,0.01,6.55,0.34276052119443,0.346740406251901,1.06173884783799,1.16937659642401,1.18181749072554,1,1,6.93279977574975,1
"SWARM_70",3.24828725797072,1.99575406803047,92,2,57.31,0.1,1.57,0.377228835978836,0.39070121024144,1.69301362091772,2.88061769422209,3.06920626368363,0.35,0.84,3.35025780869671,0
"SWARM_53",1.05379633430639,1.05379633430639,91,1,55.7,0.07,1.67,0.107337050720671,0.114804780149608,0.462852581645685,1.12408083987107,1.13728105614851,0.71,0.77,2.79785646705605,0
"SWARM_56",0.179335203430031,0.179335203430031,91,2,56.95,0.05,2.27,0.160621693121693,0.175053936325488,0.223004774067993,1.6805974540838,1.72395745910114,0.72,0.78,2.69089805152058,0
"SWARM_52",3.64231080237411,0.383190415374323,100,2,65.67,0.05,1.89,0.0929566912972085,0.113127930578362,0.383190415374323,1.27996158604725,2.00243931593231,0.92,0.8,2.80254155421773,0
"SWARM_84",0.100644157088123,0.168149250440917,68,1,70.77,0.01,5.45,0.126513143891017,0.138038983153926,0.194419623852095,2.17130771357873,2.28787585522715,1,1,5.52593665344913,1
"SWARM_58",0.107337050720671,2.15047643279055,68,1,63.82,0.05,2.37,0.107337050720671,0.10741789819376,1.38803253569148,2.28891741926656,2.30812159405788,0.79,0.93,3.34750023416596,0
"SWARM_142",2.40866648706897,0.28354314906039,66,1,71.16,0.01,6.92,0.283536212217965,0.285958690628231,0.392401021711367,1.05379633430639,1.08860237259016,1,1,6.80679023368167,1
"SWARM_65",3.64231080237411,0.450520434227331,40,2,39.6,0.02,3.63,0.235344067384298,0.368285182144378,0.68029130937177,1.34039473151569,1.68075344549637,0.89,0.92,4.18702433540276,0
"SWARM_64",3.5157965158046,1.05379633430639,89,1,65.45,0.01,2.96,0.283415435139573,0.292428807091163,0.980527751170711,1.72564179286018,2.8741789819376,0.66,0.99,4.05032684937986,0
"SWARM_62",3.5157965158046,2.28683429118774,99,1,83.57,0.01,4.45,0.324115124977194,0.871374977193943,2.17130771357873,3.07736299902504,3.25270867114806,0.93,1,5.26572461489078,0
"SWARM_71",3.64231080237411,1.18976749224594,92,2,72.46,0.01,5.57,0.376970367329562,0.389727847716353,0.866482317703582,1.20718086723834,1.27401096472473,1,1,5.32208979126801,2
"SWARM_96",3.5157965158046,2.15047643279055,76,1,74.25,0.01,4.25,0.148128230858116,0.163470777838594,1.90295573629356,2.28891741926656,2.41072136058087,0.89,1,4.41605676849812,0
"SWARM_67",0.168149250440917,0.295005093352795,80,1,60.39,0.01,4.33,0.162849436310284,0.17282772304324,0.300121556285349,2.34061246664614,2.42133173619663,0.91,0.87,4.00541577145176,0
"SWARM_81",0.125445630359423,0.131307395244177,19,1,37.84,0.01,5.13,0.111228111886517,0.120017370613635,0.129993006142431,0.394985708204099,0.68029130937177,0.89,0.84,5.00760631950918,0
"SWARM_161",3.24828725797072,0.383190415374323,100,1,61.35,0.01,3.73,0.181176193897099,0.28354314906039,0.438293118652314,3.160524981185,3.25270867114806,0.99,1,5.08075999248769,1
"SWARM_86",2.66197146962233,2.15047643279055,99,1,84.32,0.01,8.58,1.38852036200815,1.41309786079183,1.87884035949948,2.28891741926656,2.33761729440339,1,1,9.39602843023647,1
"SWARM_82",3.64231080237411,0.272346211153682,98,1,55.54,0.21,0.72,0.0954238790822842,0.16711187891504,1.6648126197318,3.77802579365079,3.87565476190476,0.51,0.58,2.47744226538549,0
"SWARM_78",2.15047643279055,1.99575406803047,89,2,76.25,0.01,5.34,0.329115797755884,1.35134388493584,1.9565582808794,2.26600301039956,2.28787585522715,0.98,0.96,4.45863973851675,2
"SWARM_69",3.5157965158046,0.28354314906039,90,1,64.64,0.01,4.36,0.168149250440917,0.177280149607736,0.217519917290032,0.58438647524783,3.25270867114806,1,1,5.04223226557038,1
"SWARM_75",2.28683429118774,1.99575406803047,56,1,60.65,0.02,3.4,0.189756708781852,0.192156996898376,1.34969496898376,2.28683429118774,2.28683429118774,1,0.99,4.640893893543,1
"SWARM_68",0.329638980113118,0.324375114030287,41,1,51.29,0.01,6.41,0.301191658304446,0.317747879036672,0.334259487319832,1.17062068585416,1.21359417761357,1,1,7.37900958295939,1
"SWARM_92",0.215550538222952,0.215550538222952,82,1,67.76,0.01,5.1,0.15702292578909,0.168149250440917,0.28354314906039,1.01703227437207,1.44349712358603,1,1,5.61803295592575,1
"SWARM_98",2.15047643279055,0.36475050173326,26,2,26.3,0.03,2.47,0.234837516344341,0.368665693608223,0.447018488110442,1.2805879672391,1.96625418847496,0.86,0.74,2.8827100204493,0
"SWARM_77",0.215550538222952,0.215550538222952,39,1,55.87,0.01,3.07,0.119805996472663,0.21172349936143,0.304811469926413,2.18494349941845,2.77009548611111,0.62,0.62,2.78671223342282,0
"SWARM_76",3.64231080237411,0.339639968375601,78,1,54.41,0.02,2.96,0.2789263934501,0.32859261539865,0.645500821018062,3.64231080237411,3.68039682539683,0.51,0.96,4.04846476626528,0
"SWARM_83",1.47819013980113,1.47819013980113,65,1,53.05,0.28,0.61,0.419670680532749,1.22653470701818,1.56711066140417,3.60803338165367,3.68039682539683,0.53,0.24,-2.42744977860216,0
"SWARM_87",2.97169262281062,0.342968132335949,83,2,59.61,0.09,1.66,0.126460708964301,0.299449165298303,0.690194535668673,2.98960072223933,3.5157965158046,0.88,0.66,2.3247436016088,0
"SWARM_97",0.119274539317643,0.119274539317643,64,2,53.79,0.23,0.8,0.120071991120842,0.120725916803503,0.273411178008879,0.350961503375297,1.42703371447957,0.68,0.47,1.71871152648359,0
"SWARM_89",2.15047643279055,0.324375114030287,77,2,57.45,0.12,1.32,0.317514500851427,0.398324819071946,1.99575406803047,3.51960511810687,3.64421510352525,0.25,0.62,2.36128190927222,0
"SWARM_99",3.24828725797072,1.87884035949948,13,2,39.95,0.01,6.58,1.37375598754029,1.65549927662037,2.01465839614502,3.68039682539683,3.77802579365079,0.98,0.97,8.7153577910039,2
"SWARM_88",2.40866648706897,0.389816335218634,48,1,47.61,0.02,2.77,0.329638980113118,0.346807151979566,0.821225407468223,2.28683429118774,2.30766557197592,0.84,0.75,3.05296501780235,0
"SWARM_110",3.24828725797072,2.97169262281062,100,1,66.11,0.01,3.4,0.296612540290702,0.303656753633765,2.62087399938424,3.24828725797072,3.34124815805453,0.63,0.99,5.10895526358795,0
"SWARM_139",2.97169262281062,1.34969496898376,14,2,31.95,0.01,5.1,0.928224244359301,1.15848701955239,1.5755323301994,2.98144398689792,3.60612908050253,1,0.98,7.0588074144631,2
"SWARM_108",2.40866648706897,2.40866648706897,40,1,44.44,0.08,1.24,0.131307395244177,0.1359917594113,1.35681891610412,2.34061246664614,2.3681263042214,0.51,0.44,-1.62046303773224,0
"SWARM_102",3.64231080237411,0.698527298850574,61,2,57.89,0.01,5.54,0.366657620263942,0.383190415374323,0.706860062032475,0.931151933953658,1.06121693691844,0.97,1,5.90978618040268,2
"SWARM_73",2.28683429118774,1.87884035949948,40,1,44.66,0.04,2.01,0.10448548964605,0.128316228790367,0.698527298850574,1.87884035949948,1.99633585696611,0.57,0.79,2.55945517269536,0
"SWARM_116",1.47819013980113,1.56084309004972,22,1,26.24,0.02,1.92,0.0916826537128261,0.103241196861886,0.407346591254637,1.52229529425515,1.60494824450374,0.56,0.71,2.55138895039141,0
"SWARM_143",1.25536645533054,0.429567749194186,49,2,50.53,0.01,3.99,0.254015854010825,0.272346211153682,0.450520434227331,1.25599283652238,1.443774991519,0.93,0.91,4.07272808317558,0
"SWARM_153",1.87884035949948,1.72395745910114,90,1,64.55,0.12,1.33,0.289239889314602,0.332654556650246,1.72395745910114,3.64611940467638,3.77802579365079,0.84,0.73,2.93751898025126,0
"SWARM_169",3.5157965158046,1.99575406803047,98,1,80.88,0.01,8.63,1.67891312032476,1.70711412151067,2.1412941796091,3.24828725797072,3.33861982266865,1,1,8.55023444358461,1
"SWARM_93",1.77096161740558,1.21962176153987,98,1,80.51,0.05,2.02,0.133354618986803,0.157775535182144,1.18976749224594,1.8486795387855,1.95851807023696,0.71,0.69,2.63239417183974,0
"SWARM_120",2.97169262281062,0.872598142066533,89,1,67.51,0.01,4.14,0.215550538222952,0.382667442072614,0.931151933953658,1.0716443091285,1.09908460287052,1,1,4.98534210542422,1
"SWARM_125",3.64231080237411,1.18976749224594,28,2,41.65,0.01,5.66,0.118882457580733,0.752060109164994,1.2134013143891,1.4263701023992,2.75948511049535,0.93,0.99,6.32181161801037,0
"SWARM_181",2.28683429118774,1.77096161740558,96,1,90.52,0.01,5.29,1.07793988513349,1.18976749224594,1.77096161740558,2.13211192642766,2.26600301039956,0.97,1,5.83387488231267,1
"SWARM_109",2.33761729440339,0.383190415374323,73,1,61.01,0.01,4.35,0.334195402298851,0.339557562488597,0.380319892963571,1.73205853744755,2.40866648706897,0.98,0.9,4.85850607894892,0
"SWARM_112",1.87884035949948,1.87884035949948,100,1,71.02,0.01,5.82,0.167915326810801,1.30457242443593,1.87884035949948,2.32089576063903,3.26989273634202,0.93,0.97,5.72000372414962,0
"SWARM_106",0.329638980113118,0.617243203794928,48,1,64.02,0.01,8.67,0.317702825670498,0.324375114030287,0.338815909505565,0.933541210545521,1.01334450450039,1,1,9.1947668014425,1
"SWARM_118",1.87884035949948,1.87884035949948,98,1,71.82,0.01,4.37,1.17095280856596,1.59969060304917,1.87884035949948,2.2939392104543,3.5157965158046,0.96,0.97,5.15657512383201,1
"SWARM_167",2.40866648706897,0.389816335218634,87,1,63.3,0.01,5.74,0.14789401264976,0.153097062579821,0.345805966064587,2.30766557197592,2.40866648706897,1,1,5.84067322404719,1
"SWARM_115",3.5157965158046,2.15047643279055,65,1,64.66,0.02,2.17,0.150627917274828,0.168149250440917,1.91803614665055,2.40866648706897,2.67745752728174,0.52,0.83,2.7963414506111,0
"SWARM_150",3.5157965158046,2.15047643279055,93,1,59.31,0.1,1.46,0.111304916985952,0.316356010156298,1.17957204433498,2.62498374640805,3.5157965158046,0.56,0.68,2.73526945801102,0
"SWARM_152",3.24828725797072,1.21962176153987,15,2,37.93,0.01,6.74,1.11892129249529,1.18136840144742,1.47819013980113,3.69015972222222,3.87565476190476,1,1,8.51878035681039,2
"SWARM_190",3.24828725797072,2.40866648706897,15,2,78.15,0.01,14.5,1.25536645533054,2.26600301039956,2.75432855047551,3.55388253882731,3.60612908050253,1,1,15.0165104557432,2
"SWARM_197",1.87884035949948,0.324375114030287,31,2,32.33,0.03,2.86,0.107337050720671,0.250573891625616,0.329638980113118,1.8486795387855,1.87884035949948,0.78,0.92,3.67704077567791,0
"SWARM_249",2.28683429118774,2.66197146962233,19,2,66.48,0.01,21.03,1.73995862981208,1.84392382871891,2.28683429118774,2.66197146962233,3.25270867114806,1,1,12.306839712476,2
"SWARM_90",1.56084309004972,1.56084309004972,33,2,53.44,0.01,4.19,0.12474903644408,0.176213016177097,1.34969496898376,1.62792410025353,1.65717527987308,0.88,0.85,3.7777144195473,0
"SWARM_140",2.97169262281062,1.56084309004972,98,1,80.67,0.01,4.46,0.334259487319832,0.34522182691723,1.38090858857112,1.83575577991014,2.97656830485427,1,1,5.48716710800922,1
"SWARM_135",3.64231080237411,1.38852036200815,11,2,24.85,0.01,4.74,0.809902219029374,0.860366493340632,1.38090858857112,3.55388253882731,3.64231080237411,0.99,0.97,5.72183842343606,2
"SWARM_148",2.66197146962233,0.995893655354862,88,1,74.3,0.01,7.94,0.389772091467494,0.439069664902998,1.02881625159642,1.63293847567164,1.88272625556848,1,1,8.75688487114721,1
"SWARM_146",0.168149250440917,0.339639968375601,70,1,56.59,0.01,3.19,0.198021544122119,0.215550538222952,0.336335598735024,1.52229529425515,1.56304834777242,0.97,0.92,4.08745027287143,0
"SWARM_157",3.64231080237411,1.47819013980113,95,2,60.87,0.04,2.25,0.107337050720671,0.28933412394332,1.52229529425515,3.68039682539683,3.68039682539683,0.75,0.78,3.07793826892609,0
"SWARM_160",0.215550538222952,0.222843915343915,50,1,72.27,0.01,8.15,0.209030172413793,0.215550538222952,0.275965456425226,0.334201810800949,0.338857112449066,1,1,8.50292320189133,1
"SWARM_130",3.5157965158046,2.28683429118774,99,1,68.32,0.01,7.66,1.95267238481041,2.16922458549991,2.64142273450328,3.56653396748426,3.68039682539683,0.97,1,8.54384688218346,1
"SWARM_137",2.40866648706897,1.12408083987107,48,1,51.42,0.01,4.24,0.239293859849176,0.254986095907073,0.335623175515417,1.2402965956258,2.28683429118774,0.99,0.98,4.87999225067235,1
"SWARM_241",0.107337050720671,0.389816335218634,72,1,45.63,0.08,1.49,0.155435996700724,0.167681403180685,0.755871039348052,3.51960511810687,3.77802579365079,0.58,0.75,2.95197286426213,0
"SWARM_113",3.5157965158046,3.24828725797072,27,2,56.54,0.01,5.38,0.613799587970566,1.55397506442711,2.97169262281062,3.55388253882731,3.6042247793514,0.95,0.92,6.47325757416661,0
"SWARM_111",0.872598142066533,0.872598142066533,13,1,19.35,0.02,2.21,0.162199188104361,0.228968162744025,0.334227444809341,0.95674031882868,1.25536645533054,0.51,0.45,0.0599118512332694,0
"SWARM_121",1.05379633430639,0.36475050173326,49,1,54.95,0.01,6.78,0.342573903028645,0.365424603174603,0.452376239129113,1.09000912622393,1.16142659490361,0.99,1,7.76414533623436,1
"SWARM_149",3.64231080237411,0.212195919236149,89,1,56.27,0.07,2.03,0.142723347321048,0.153096473423341,0.212858663260962,1.20842495666849,2.43747315335078,0.68,0.92,3.41673065290282,0
"SWARM_144",0.168149250440917,0.339639968375601,90,1,63.2,0.01,5.11,0.152578376816883,0.210810409444749,0.377449370552818,0.959129595420543,1.05401829996047,0.97,1,5.92651910966567,1
