"","ienv.cp","zenv.cp","freq","maxgrp","IndVal","obsiv.prob","zscore","5%","10%","50%","90%","95%","purity","reliability","z.median","filter"
"Hacrobia",25,25,12,2,16.29,0.02,3.17,23,23.32,25,26.317,26.62825,0.86,0.61,2.89720385240382,0
"DH147-EKD10",26.37,24.855,85,1,75.52,0.01,5.46,23.695,23.895,24.8,25.955,26.375,1,0.99,5.57361052868106,1
"Eukaryota incertae sedis",27.35,26.5,54,2,80.56,0.01,6.99,24.84,25,26.5,27.4,27.49375,1,1,7.18367577315297,2
"NAMAKO-1",18.45,9.135,22,1,99.2,0.01,16.99,7.00375,8.9485,20.605,22.525,22.9,1,1,16.7452241332983,1
"D4P07G08",14,14,82,2,83.76,0.01,3.95,7.27,10.8135,16.7875,23.8,23.92825,0.91,1,3.80694585229418,0
"Metazoa (Animalia)",27.845,25,97,2,72.5,0.06,1.98,7.14275,22.95,24.9275,27.885,28.214,0.76,0.81,2.99263395153338,0
"Fungi",7.005,24.855,100,2,79.6,0.01,6.41,18.4975,19.995,24.455,24.945,24.945,1,1,6.56764019803333,2
"Choanomonada",19.95,23.94,27,2,27.46,0.04,2.52,23.285,23.5625,23.94,26.7705,27.35,0.74,0.77,3.11022651430018,0
"Mesomycetozoa",7.15,23.94,56,2,46.85,0.07,1.62,7.15,7.15,24,27.44,27.442,0.89,0.79,2.70829148720422,0
"Discicristoidea Holomycota kingdom incertae sedis",14,14,77,2,73.2,0.01,3.6,12.135,14,22.525,24.91,24.94775,1,0.99,4.60085722428063,2
"Mesomycetozoea",28.92,26,18,2,42.06,0.01,7.35,25.73325,25.8485,26.015,27.925,28.4315,1,1,8.34666453658168,2
"Freshwater Opisthokonta",7.005,22.525,97,2,88.89,0.01,6.26,15.39075,18.35,22.955,26,26.2215,1,1,6.70882198601606,2
"Alveolata",24.945,25,100,1,67.34,0.01,6.69,23.94,24,24.945,25,25,0.98,1,6.82089852210522,1
"Rhizaria",7.15,25,81,2,60.93,0.01,5.27,7.15,7.15,22.14,25.4255,25.735,1,1,6.57515984897281,2
"Stramenopiles",27.845,27.44,100,1,95.8,0.01,8.1,21.00525,22.863,27.39,27.845,28.21,0.87,1,8.39827459194202,0
"Amoebozoa (kingdom)",23.94,23.94,63,2,65.07,0.01,3.9,23.38925,23.7895,24,24.9505,25.69475,0.97,0.95,4.25155570288734,2
"Apusozoa kingdom incertae sedis",25.95,25.95,11,2,25.31,0.01,4.8,23.695,23.8,25.85,26,27.01,1,0.89,4.94899892645496,0
"Arthropoda",25,25,27,2,30.1,0.01,3.68,23.344,23.3695,23.9225,25.8535,26,0.96,0.92,3.8453996707107,0
"Nematoda",7.005,22.955,92,2,78.38,0.01,7.46,14,15.5,22.1075,22.955,22.955,1,1,7.47874676374636,2
