"","ienv.cp","zenv.cp","freq","maxgrp","IndVal","obsiv.prob","zscore","5%","10%","50%","90%","95%","purity","reliability","z.median","filter"
"Hacrobia",25,24.71,12,2,14.16,0.04,2.48,23.29825,23.3245,25,26.034,26.4715,0.89,0.71,3.44178609907207,0
"DH147-EKD10",26.37,24.855,85,1,75.52,0.01,5.35,23.8,23.9025,24.89,26.037,26.4035,1,1,5.69990426987728,1
"Eukaryota incertae sedis",27.35,26.95,54,2,83.85,0.01,6.5,24.74325,24.9945,26.5,27.4,27.44,1,1,7.22303473258301,2
"NAMAKO-1",18.45,20.63,22,1,99.68,0.01,17.95,7.005,7.15,19.95,22.132,22.15,1,1,16.9371062457723,1
"D4P07G08",14,18.45,82,2,81.79,0.01,3.49,7.15,11,18.45,23.5085,23.80025,0.89,1,3.71562930845466,0
"Metazoa (Animalia)",27.845,24.945,97,2,71.83,0.03,2.21,19.9475,22.9545,24.945,27.764,27.925,0.85,0.88,3.04777057822492,0
"Fungi",7.005,24.555,100,2,79.05,0.01,6.41,19.0985,21.192,24.4625,24.892,24.945,1,1,6.51441821428093,2
"Choanomonada",19.95,23.94,27,2,27.46,0.04,2.57,22.525,23.539,23.94,26.8095,27.46025,0.67,0.75,3.56277657960941,0
"Mesomycetozoa",7.15,24,56,2,46.81,0.06,2.01,7.15,16.5015,24,27.44,28.92,0.83,0.71,2.67726498968655,0
"Discicristoidea Holomycota kingdom incertae sedis",14,18.45,77,2,67.88,0.01,3.55,11.9405,14,22.955,24.945,24.945,1,0.97,4.48973452139434,2
"Mesomycetozoea",28.92,28.29,18,2,56.12,0.01,7.91,25.78025,25.8485,26.0075,28.92,29.02225,1,0.99,8.59558681586714,2
"Freshwater Opisthokonta",7.005,22.525,97,2,88.89,0.01,6.18,15.33175,18.5,22.955,26,26.19325,1,1,6.70841395625423,2
"Alveolata",24.945,25,100,1,66.55,0.01,7.28,24,24.2115,24.945,25,25.9025,0.99,1,6.93498313787432,1
