"","ienv.cp","zenv.cp","freq","maxgrp","IndVal","obsiv.prob","zscore","5%","10%","50%","90%","95%","purity","reliability","z.median","filter"
"Hacrobia",0.526596189591078,0.57623631763734,12,1,22.31,0.01,5.92,0.274317717368856,0.293658054522924,0.519354089219332,0.59227295022718,0.636265102230483,1,0.99,6.57931840164357,1
"DH147-EKD10",3.09311913809721,0.57623631763734,85,2,78.26,0.01,5.93,0.405691519516729,0.409045539033458,0.519354089219331,0.846454785212722,0.847000853641746,1,1,6.71452359212558,2
"Eukaryota incertae sedis",2.72313761531048,2.72313761531048,54,1,58.06,0.08,1.56,0.137466057414292,0.155777942998761,0.879557027054936,2.72313761531048,2.72313761531048,0.55,0.7,2.63673839463203,0
"NAMAKO-1",2.14278660792143,2.49209120198265,22,2,99.54,0.01,14.59,1.44119433257607,1.45957401900041,2.19215572077654,2.86752273165359,2.95595327757125,1,1,15.4437685809047,2
"D4P07G08",2.49209120198265,2.49209120198265,82,1,84.69,0.01,3.74,0.723559742874845,0.869145113589426,1.44305059892606,2.23806924136032,2.44732458006333,0.9,1,3.89600938571589,0
"Metazoa (Animalia)",0.874912357152692,0.878085863279637,97,1,78.8,0.01,3.39,0.646445082094176,0.809740437835605,0.875027946440865,1.07770228418009,1.08762717196751,0.94,0.91,3.50052827908544,0
"Fungi",2.89046070494286,0.818751342420487,100,1,81.31,0.01,6.59,0.646501161710037,0.70727865551425,0.846716260498417,1.05964487298637,1.11615315124604,1,1,6.99107725602759,1
"Choanomonada",2.14278660792143,2.23806924136032,27,1,29.67,0.09,1.43,0.340165964477489,0.370811648079307,1.00038978555693,2.14278660792143,2.19445139680573,0.68,0.5,2.23257663159651,0
"Mesomycetozoa",0.137488382899628,0.14547614622057,56,2,49.79,0.16,1.29,0.167119942688972,0.405079631350682,1.04950594107118,2.70249343935013,2.76634143191519,0.48,0.52,2.1384362989589,0
"Discicristoidea Holomycota kingdom incertae sedis",2.72313761531048,0.715063764973151,77,1,63.92,0.01,5.19,0.566967420487402,0.588217126187526,0.787807724080958,2.28657607875534,2.72313761531048,1,1,6.05270692951016,1
"Mesomycetozoea",1.05089272339254,1.05089272339254,18,1,18.64,0.1,1.44,0.265185033302354,0.282093432465923,0.793338909541512,1.09967530634724,1.15596440434393,0.75,0.66,2.63930453977092,0
"Freshwater Opisthokonta",2.49209120198265,2.14278660792143,97,1,92.24,0.01,6.09,1.34999380421313,1.44305059892606,1.88249091284593,2.42238965578962,2.49209120198265,1,1,5.99493059922239,1
"Alveolata",0.232335579306072,0.715063764973151,100,2,60.89,0.01,4.11,0.200008085501859,0.232335579306072,0.630106567534077,0.877877802560926,0.887956386995732,0.98,1,5.17364860036418,2
"Rhizaria",1.31286847721327,0.918034779016935,81,1,63.64,0.01,6.15,0.388058666356877,0.728166821561338,1.05981847205012,1.81659837991647,2.19215572077654,0.98,0.97,6.78323291080678,1
"Stramenopiles",2.89046070494286,1.01019994836844,100,1,78.7,0.01,9.35,0.707415169351508,0.747906934118133,0.918034779016935,1.09957103985956,1.12541913947405,1,1,9.26114064705509,1
"Amoebozoa (kingdom)",0.279676992978108,0.172491480793061,63,2,56.1,0.04,1.91,0.14637166976456,0.267056748244527,0.701954770755886,1.31286847721327,2.19445139680573,0.52,0.79,2.7059769757683,0
