"","ienv.cp","zenv.cp","freq","maxgrp","IndVal","obsiv.prob","zscore","5%","10%","50%","90%","95%","purity","reliability","z.median","filter"
"Hacrobia",0.100644157088123,0.389816335218634,12,1,23.32,0.01,5.94,0.104820858419996,0.232337757708448,0.359626740862373,0.413475643130816,0.430440286139999,1,1,6.95896772821867,1
"DH147-EKD10",3.64231080237411,0.36475050173326,85,2,83.92,0.01,6.46,0.306589643009183,0.329054916985952,0.369289135194308,0.810412447546068,0.873792780362464,1,1,7.46936068772197,2
"Eukaryota incertae sedis",3.24828725797072,3.24828725797072,54,1,58.06,0.05,1.66,0.0929566912972085,0.107000228060573,1.18181749072554,2.89368171011221,3.24828725797072,0.64,0.74,2.81970827431963,0
"NAMAKO-1",3.64231080237411,2.28683429118774,22,2,91.36,0.01,14.65,1.76861140949036,1.84392382871891,2.31678601361522,3.5157965158046,3.64231080237411,1,1,14.8622715529897,2
"D4P07G08",2.33761729440339,2.28683429118774,82,1,82.98,0.01,4.06,0.255543164264428,0.835150634008392,2.28683429118774,2.37871476464149,2.41673771252395,0.88,0.99,4.0381579970372,0
"Metazoa (Animalia)",0.872598142066533,0.872598142066533,97,1,77.37,0.01,3.04,0.175836777047984,0.338646278051451,0.876727938940582,1.23033074484583,1.45160588282248,0.93,0.9,3.54609623584371,0
"Fungi",3.24828725797072,0.995893655354862,100,1,82.1,0.01,6.55,0.338588088396278,0.348499711123275,0.766008141762452,1.12408083987107,1.17039614121511,1,1,7.13747290478829,1
"Choanomonada",3.24828725797072,3.24828725797072,27,1,29.03,0.14,0.84,0.120071991120842,0.150241402116402,0.597320440308946,1.75580261357417,2.41072136058087,0.77,0.57,2.41695158392029,0
"Mesomycetozoa",0.119274539317643,0.28354314906039,56,2,39.77,0.31,0.55,0.208905765371283,0.278264306999939,1.26766402068889,2.72944587481186,3.55830395200465,0.67,0.38,1.96248696331411,0
"Discicristoidea Holomycota kingdom incertae sedis",3.24828725797072,0.688509358085508,77,1,64.29,0.01,5.55,0.348761935169982,0.370229322508058,0.690194535668673,1.38872232912563,2.97169262281062,1,1,6.01043226241021,1
"Mesomycetozoea",1.4263701023992,1.43964234400657,18,1,20.13,0.07,1.65,0.126150419251353,0.202875273672687,0.509230979748221,1.51673793559569,3.09976579176929,0.75,0.68,2.68227533549624,0
"Freshwater Opisthokonta",2.40866648706897,2.40866648706897,97,1,91.62,0.01,6.07,1.69980056993763,1.77096161740558,2.17130771357873,2.40866648706897,2.57009099616858,1,1,6.00177319015859,1
"Alveolata",0.168149250440917,0.36475050173326,100,2,62.73,0.01,5.05,0.15989043780028,0.172359875783008,0.377449370552818,0.874987418658396,1.07085005777534,0.97,1,5.41479226567463,2
"Rhizaria",1.87884035949948,1.05379633430639,81,1,67.6,0.01,6.82,0.334259487319832,0.677247879036672,1.12408083987107,1.87974385614319,1.95851807023696,1,1,6.81572620527878,1
"Stramenopiles",3.5157965158046,1.27996158604725,100,1,76.82,0.01,8.15,0.394727239554826,0.750401531046646,1.06629445280667,1.22399461539485,1.25628302127045,1,1,9.27705861363439,1
"Amoebozoa (kingdom)",0.153097062579821,0.825705467372134,63,1,55.41,0.04,1.76,0.127390492914918,0.142099738490543,0.426065803077297,1.16222159505565,1.54068874221743,0.48,0.79,2.56672871545658,0
"Apusozoa kingdom incertae sedis",1.47819013980113,1.72395745910114,11,1,13.25,0.07,1.23,0.231394248312352,0.236485130450648,0.617243203794928,1.52458348798691,1.61272123621659,0.56,0.46,2.20114488304372,0
"Arthropoda",2.28683429118774,2.28683429118774,27,1,30.68,0.03,1.95,0.214621829958037,0.297435922581037,1.43300622320288,2.28683429118774,2.30812159405788,0.63,0.48,1.9579751954296,0
"Nematoda",2.40866648706897,2.28683429118774,92,1,79.55,0.01,6.38,0.678739822796935,1.05765395228973,1.87884035949948,2.40866648706897,2.45682187328955,0.99,1,6.65696976576267,1
"Platyhelminthes",2.33761729440339,2.33761729440339,56,2,63.81,0.04,1.84,0.120071991120842,0.167681403180685,1.01691863558961,3.5157965158046,3.55639965085352,0.72,0.74,2.5469848472279,0
"Annelida",1.72395745910114,1.72395745910114,41,1,39.59,0.06,1.64,0.168149250440917,0.222181171319102,1.43335525090464,1.75411827981512,1.77246965844128,0.66,0.62,2.33547863107869,0
"Tardigrada",2.40866648706897,0.383190415374323,16,2,14.44,0.14,1.21,0.194316179377243,0.215550538222952,0.628785045308034,1.6834175542024,1.72479962598066,0.66,0.4,1.97359730724374,0
"Porifera",2.66197146962233,2.66197146962233,26,2,33.22,0.05,1.36,0.324630758529465,0.394985708204099,1.78604202776257,3.61184198395594,3.68039682539683,0.92,0.72,3.20170180048184,0
"Xenacoelomorpha",1.56084309004972,1.56084309004972,82,1,85.55,0.01,4.78,1.18976749224594,1.47819013980113,1.56084309004972,1.72564179286018,1.99575406803047,0.98,1,4.34770448970436,1
"Loricifera",2.28683429118774,0.394985708204099,11,2,12.16,0.22,0.93,0.171287761129356,0.179129698047801,0.542607188469257,1.72395745910114,1.72395745910114,0.68,0.47,2.11616100200064,0
"Chytridiomycota",3.5157965158046,2.40866648706897,40,1,39.35,0.19,1.29,0.0954238790822842,0.10298149288451,0.163470777838594,1.38852036200815,2.36962389034278,0.57,0.36,-2.06205115447242,0
"Zoopagomycotina",2.66197146962233,0.349429392446634,71,1,62.24,0.03,2.08,0.120134453110746,0.153097062579821,0.342968132335949,2.05888988095238,2.87976487774528,0.7,0.86,2.662061254026,0
"Choanoflagellida",1.77096161740558,1.87884035949948,88,1,70.96,0.25,0.97,0.092702169996351,0.12030888523992,0.475184729064039,1.90258277886107,3.25270867114806,0.55,0.57,2.12293472281226,0
"Cryptomycota",0.120977163534635,0.120977163534635,71,2,65.71,0.03,2.87,0.116567585750775,0.119525786048775,1.09746544882321,1.75460475297239,2.3681263042214,0.45,0.98,3.66132968980341,0
"LKM15",2.97169262281062,2.66197146962233,18,2,22.99,0.08,1.25,0.174190016268321,0.179335203430031,0.757478486285958,2.97169262281062,2.97169262281062,0.63,0.55,2.35819423728112,0
"Ichthyophonidae",0.212195919236149,0.192156996898376,19,2,18.4,0.16,0.88,0.206049382716049,0.21192673173995,0.30736970139269,2.06801742525315,2.97169262281062,0.59,0.59,2.20656724600148,0
"Pseudoperkinsidae",3.64231080237411,1.18976749224594,100,2,69.6,0.01,6.33,0.342301674724808,0.386513364349571,1.18181749072554,1.39010002451651,1.80350029315286,1,1,6.29320080383165,2
"Abeoformidae",3.24828725797072,3.24828725797072,99,1,61.6,0.14,1.31,0.232469325852947,0.332994975065378,2.20683230991151,3.33671552151752,3.4273682522578,0.52,0.63,2.42147770965336,0
"Nucleariida",3.5157965158046,1.87884035949948,61,1,60.89,0.01,2.41,0.142489129112692,0.153097062579821,1.2134013143891,2.04258293422733,2.28683429118774,0.83,0.94,3.10877470043841,0
"Jakobida",2.28683429118774,1.07879257130694,29,1,31.73,0.03,3.42,0.188124834656085,0.283287721218755,1.05379633430639,1.22551218603661,1.27996158604725,0.59,0.99,4.47215209870581,0
"Apicomplexa",3.64231080237411,3.24828725797072,99,2,86.59,0.01,4.02,1.06267104923068,1.76927728364654,2.97169262281062,3.52463934215928,3.68039682539683,0.93,0.89,3.89426619259158,0
"Ciliophora",3.24828725797072,0.295005093352795,98,2,75.6,0.01,4.65,0.272346211153682,0.275511000121632,0.295005093352795,0.334592303715867,0.83967016739646,0.93,0.99,4.53234864321067,0
"Alveolata incertae sedis",0.111513752052545,0.179335203430031,82,2,62.51,0.01,3.15,0.121513261722313,0.152059691053944,0.288566563279206,3.24828725797072,3.56020825315579,0.68,0.92,3.89286735118618,0
"OLI11255",3.5157965158046,1.38852036200815,33,2,28.21,0.12,1.39,0.125176948397494,0.166644031654808,0.728229907863529,1.41309786079183,1.90533166587796,0.76,0.75,2.91982148786572,0
"SCM37C52",0.138038983153926,0.138038983153926,11,1,30.52,0.01,5.84,0.111513752052545,0.115223601988688,0.154207223438545,0.271892294593444,0.998788789302438,0.99,0.91,5.68408247113013,0
"BOLA914",2.33761729440339,2.15047643279055,88,1,72.24,0.01,3.69,0.347608442802409,1.07061302681992,1.91769932018944,2.33761729440339,2.36756901683087,0.93,0.92,3.87557946561643,0
"Colpodellida",3.64231080237411,3.64231080237411,65,2,93.1,0.01,4.5,0.295005093352795,1.05268227741288,3.4273682522578,3.68039682539683,3.68337397265839,0.89,0.82,3.65005061323315,0
"Chromerida",0.955044699872285,1.12408083987107,48,1,47.68,0.01,5.86,0.329378991060026,0.351460439092623,0.702693680441525,1.06218352794502,1.10850933527945,1,1,6.93759809165183,1
"Syndiniales class incertae sedis",3.64231080237411,0.810072295201606,96,1,61.88,0.02,3.32,0.326774341665146,0.345139421030226,1.04526947257192,3.55388253882731,3.64231080237411,0.77,0.87,3.80234374104365,0
"Cercozoa",1.87884035949948,2.15047643279055,100,1,76.87,0.01,4.88,1.21635736901721,1.66710611729725,1.91803614665055,2.28683429118774,2.33911488052477,0.95,1,5.042066746302,1
"Retaria",1.87884035949948,1.87884035949948,94,1,83.51,0.01,2.61,0.208771171623183,0.267890120415982,1.87884035949948,2.30857761613985,2.40866648706897,0.89,0.86,3.89118179948421,0
"RM2-SGM51",3.24828725797072,1.99575406803047,82,1,78.06,0.01,6.79,0.235404123335158,0.283529275375539,1.87884035949948,2.24472151665982,2.28937344134852,1,1,6.49044133725786,1
"Labyrinthulomycetes phylum incertae sedis",3.24828725797072,1.12408083987107,84,1,64.03,0.01,4.19,0.573294357781427,1.04800606641124,2.12169628603357,2.41277623409278,3.24828725797072,0.99,1,5.12011402337469,1
"Peronosporomycetes phylum incertae sedis",1.87884035949948,1.67891312032476,95,1,69.96,0.01,3.85,0.163186015705771,0.197335317460317,1.51565917345147,1.91803614665055,2.05723833707733,0.99,0.99,5.1396384391864,1
"Lobosa",0.810072295201606,0.872598142066533,84,1,58,0.04,2.76,0.115497975962416,0.120168939670376,0.709712339597398,1.14800947591681,2.38021235076286,0.64,0.92,3.55969413247936,0
"Centrohelea",3.5157965158046,3.5157965158046,89,1,69.32,0.07,2.02,0.20836742838898,0.21192673173995,1.4263701023992,3.5157965158046,3.5157965158046,0.56,0.72,2.66580067436037,0
"Apusozoa",3.5157965158046,3.24828725797072,100,1,74.15,0.01,4.58,0.346106321839081,0.364421531958888,2.15047643279055,3.5157965158046,3.51770081695573,0.61,1,5.15226904357109,0
