"","ienv.cp","zenv.cp","freq","maxgrp","IndVal","obsiv.prob","zscore","5%","10%","50%","90%","95%","purity","reliability","z.median","filter"
"SWARM_8",24.945,24.945,51,1,62.73,0.01,4.72,23.805,24.0855,24.9,25,25.735,1,0.99,4.8383326457121,1
"SWARM_25",27.35,25.95,66,1,65.45,0.01,4.24,22.525,23.045,25,26.185,26.4035,0.89,1,5.02879111799598,0
"SWARM_6",27.35,22.525,44,2,49.37,0.03,2.2,22.12775,22.525,23.035,27.35,27.3905,0.76,0.81,3.16855856334254,0
"SWARM_15",22.525,22.525,24,1,58.32,0.01,5.87,0,0,22.5275,24.003,24.5645,1,1,7.50639328410397,1
"SWARM_36",27.35,26.95,70,1,79.04,0.01,4.37,19.55925,22.83,26.5,27.3,27.352,0.84,1,3.90876346030813,0
"SWARM_107",27.35,27.44,11,2,99.07,0.01,20.7,26.397,26.5405,27.3,27.845,28.294,1,1,20.4287129843923,2
"SWARM_26",7.005,24.49,96,2,73.36,0.01,6.45,12.129,21.5295,24.7775,27.35,27.4,0.8,1,6.76015104161729,0
"SWARM_69",27.2,25.85,30,1,31.14,0.04,1.89,23.56375,23.565,25.16,25.95,26.5225,0.6,0.77,2.75282699578602,0
"SWARM_111",12.135,18.45,11,1,95.93,0.01,19.9,7.27,11.5405,18.475,22.525,22.95725,1,1,18.0222283163944,1
"SWARM_50",27.35,26.95,62,1,69.21,0.03,2.33,20,20.567,26.135,27.35,27.39,0.8,0.77,2.44899196662794,0
"SWARM_33",27.35,23.425,75,2,64.62,0.01,3.87,22.948,23.2965,24.655,27.39,27.442,0.54,0.96,4.14548725668386,0
"SWARM_116",27.35,23.845,39,2,40.21,0.04,2.45,7.005,13.578,24.47,26.2005,26.9575,0.78,0.71,2.85255727976969,0
"SWARM_76",27.35,24.555,49,2,45.75,0.01,4.31,23.88,24,24.91,27.35,27.39,0.81,0.99,4.57076114862319,0
"SWARM_63",22.955,22.955,36,1,54.58,0.01,3.26,22.149,22.5295,22.955,25.11,26.011,0.79,0.75,2.77641048141477,0
"SWARM_65",27.35,26,64,1,69.62,0.01,3.91,21.075,22.08,26,26.645,26.745,0.56,1,3.94494966830157,0
"SWARM_30",27.35,24.045,46,1,47.25,0.05,2.16,23.06825,23.338,24.4325,26.473,27.35,0.88,0.82,2.61909680780282,0
"SWARM_14",12.135,7.005,13,1,34.35,0.02,6.58,7.125,7.27,19.95,25.61,25.6905,0.77,0.65,3.68250265060213,0
"SWARM_126",12.135,7.15,18,1,83.32,0.01,14.14,0,3.49,13.585,22.955,23,1,1,13.4448108626436,1
"SWARM_7",25.95,25.95,20,1,26.01,0.05,1.45,22.9525,23.453,25.0775,25.95,26,0.43,0.31,-2.0059996389351,0
"SWARM_166",26,25.95,61,1,71.55,0.01,3.88,23.845,23.994,25.85,26,26.00075,1,1,4.22417718944681,1
"SWARM_122",7.005,27.44,64,1,66.64,0.02,2.25,7.005,7.15,23.84,27.404,27.90125,0.54,0.86,2.71557326530943,0
"SWARM_175",27.35,27.35,67,1,77.01,0.01,5.06,7.14875,22.335,26.925,27.391,27.659,0.86,1,4.59610579663458,0
"SWARM_163",24.945,25,48,1,64.07,0.01,6.86,24.09,24.361,24.945,25,25,0.99,1,7.03753024373175,1
"SWARM_56",23.165,23.165,24,2,29.96,0.03,1.73,23.19825,23.425,24.5375,25.2155,25.465,0.62,0.54,2.06832286433196,0
"SWARM_94",24.945,25,24,1,31.3,0.03,1.64,22.1175,23,24.855,25.955,26.37,0.71,0.63,2.35183914391122,0
"SWARM_74",24.945,24.945,28,2,39.69,0.02,2.36,23.37475,23.4925,25.8,27.3,27.3,0.95,0.51,1.965769432748,0
"SWARM_70",27.2,26.015,33,1,35.39,0.07,1.74,23.11275,23.32,24.645,26.015,26.34275,0.78,0.59,2.25061069436142,0
"SWARM_115",26.37,26.5,62,1,72.63,0.02,3.42,23.29,24.2755,25.655,26.693,26.9575,0.98,1,4.73672546020638,1
"SWARM_164",26.37,25.95,50,1,57.28,0.01,4.72,23.26175,23.265,24.945,25.95,26,0.96,0.97,4.15520231451147,1
"SWARM_119",27.35,27.35,42,1,48.28,0.06,2.23,20.521,22.143,23.4125,26.7045,26.8275,0.76,0.83,3.24355729468168,0
"SWARM_783",19.95,23.3,40,1,40.73,0.08,1.72,19.9975,20.63,23.32,27.26,27.4865,0.5,0.71,2.41305734816156,0
"SWARM_64",23.425,23.425,28,1,53.64,0.01,5.89,23.32,23.343,23.455,23.805,24.00225,1,1,6.32504517577765,1
"SWARM_154",27.35,26,51,1,55.42,0.03,2.43,19.95,21.431,25.71,26.7655,27.352,0.68,0.89,2.62798936717487,0
"SWARM_165",27.35,26.37,48,1,53.51,0.04,2.03,23.0095,24.0855,25.925,26,26.718,0.37,0.27,-2.06079035306736,0
"SWARM_143",27.35,27.44,11,2,98.78,0.01,21.74,26.3985,26.5135,27.3,27.845,28.29225,1,1,20.4995971867977,2
"SWARM_136",20.63,23.085,27,2,29.77,0.1,1.26,23.0825,23.3225,23.8225,25.85,25.9025,0.7,0.45,1.8646801084167,0
"SWARM_113",23.505,23.505,13,2,17.18,0.07,1.32,23.345,23.4,23.8025,25.752,25.95,0.42,0.41,1.7179377454172,0
"SWARM_465",23.3,25.105,42,1,49.08,0.01,3.47,23.09275,23.1965,25,25.202,25.61225,0.97,0.95,3.93980687374552,1
"SWARM_35",25,26,17,1,21.01,0.09,1.29,23,23.3245,24.9175,25.95,26,0.42,0.46,1.79568845736909,0
"SWARM_216",24.555,24.555,17,1,32.65,0.01,4.05,23.44925,24.045,24.535,24.89,24.94775,0.84,0.83,4.45152691534904,0
"SWARM_295",24.49,24.135,39,2,46.55,0.02,3.37,23.79475,23.8,24.9175,25.6055,26,0.98,0.96,4.20688653163062,2
"SWARM_293",27.2,24.49,53,1,55.6,0.01,2.81,21.3275,22.9505,24.71,26.37,26.95,0.85,0.87,3.2556365032331,0
