"","ienv.cp","zenv.cp","freq","maxgrp","IndVal","obsiv.prob","zscore","5%","10%","50%","90%","95%","purity","reliability","z.median","filter"
"SWARM_8",3.24828725797072,0.68029130937177,51,1,44.36,0.07,1.97,0.120071991120842,0.145064389101745,0.386503375296479,1.99575406803047,2.11324043499704,0.67,0.82,2.79249290267444,0
"SWARM_25",2.28683429118774,2.28683429118774,66,1,65.11,0.02,2.29,0.111232154260172,0.115161466885605,1.30253071215715,2.17130771357873,2.28683429118774,0.9,0.85,3.0138413166907,0
"SWARM_6",0.212195919236149,0.230459009913033,44,1,47.22,0.02,3.26,0.167704104710211,0.182454463905613,0.23233100711549,1.87884035949948,1.91996225336199,0.88,0.93,3.88476413280853,0
"SWARM_15",1.77096161740558,1.31083623635438,24,2,52.16,0.01,6.02,1.16750930867238,1.20220838654747,1.66747215166598,3.15961644345238,3.68527827380952,1,0.99,7.47530232770852,2
"SWARM_36",2.62087399938424,0.955044699872285,70,1,60.5,0.01,3.15,0.342856513790063,0.383190415374323,1.01691863558961,1.4954423377349,2.62087399938424,0.98,0.97,3.79792373467289,1
"SWARM_107",1.77096161740558,0.394985708204099,11,2,12.63,0.09,1.66,0.0955537310709724,0.103241196861886,0.394985708204099,1.60952463196725,1.72630766701636,0.57,0.55,2.56135772350502,0
"SWARM_26",3.24828725797072,0.346139694702914,96,1,80.62,0.01,8.3,0.334981462476434,0.339639968375601,0.405204342273308,1.08673508483853,1.16182409497963,1,1,8.19861392710039,1
"SWARM_69",0.206213890409293,0.329638980113118,30,1,38.7,0.01,4.35,0.120071991120842,0.167681403180685,0.336335598735024,0.436559843094326,0.706860062032475,0.99,0.98,5.05142230209454,1
"SWARM_111",3.5157965158046,2.62087399938424,11,2,95.93,0.01,16.31,1.70711412151067,1.91803614665055,2.57009099616858,3.26619535739943,3.5157965158046,0.99,0.99,18.2485641785235,2
"SWARM_50",2.62087399938424,0.349429392446634,62,1,55.41,0.04,2.34,0.322515173630116,0.333739760080278,0.389816335218634,2.36756901683087,2.36756901683087,0.71,0.64,3.28114600939696,0
"SWARM_33",2.62087399938424,0.349429392446634,75,1,76.59,0.01,5.77,0.324375114030287,0.339639968375601,0.383190415374323,0.974390166028097,0.995893655354862,1,1,5.67327960790206,1
"SWARM_116",0.168149250440917,0.313010399562124,39,1,45.22,0.02,3.26,0.162952092075655,0.169620051085568,0.339227938940583,0.974390166028097,1.03674261083744,0.99,0.94,4.3331216591728,0
"SWARM_76",0.329638980113118,0.329638980113118,49,1,59.92,0.01,6.24,0.285331314997263,0.290982104847047,0.335019461168887,0.99997855090312,1.09046966034179,1,0.99,7.17144494689747,1
"SWARM_63",2.97169262281062,1.87884035949948,36,2,46.26,0.02,2.03,0.115676319330414,0.119992245940522,1.66226291202943,2.69143109007252,2.97169262281062,0.61,0.76,3.10438836750332,0
"SWARM_65",1.62783018182129,0.346139694702914,64,1,66.26,0.01,4.39,0.317386121753938,0.324439199051268,0.349429392446634,1.68173322044335,1.72666145453232,1,1,5.03697222873126,1
"SWARM_30",0.119274539317643,1.16937659642401,46,1,44.99,0.11,1.42,0.135464452958706,0.215811545946604,0.731812739463601,1.18976749224594,1.24159723813895,0.57,0.52,1.99016167813166,0
"SWARM_14",3.5157965158046,3.5157965158046,13,2,47.16,0.01,5.38,0.756765416894727,0.995893655354862,2.04467193011464,3.5157965158046,3.55639965085352,0.97,0.96,7.14024636367385,2
"SWARM_126",3.24828725797072,3.24828725797072,18,2,99.99,0.01,15.41,1.91372614937777,1.99575406803047,2.8741789819376,3.64231080237411,3.68039682539683,0.99,0.99,16.4439231875587,2
"SWARM_7",1.34969496898376,1.34969496898376,20,2,49.89,0.01,7.33,1.27018450741767,1.30457242443593,1.37427246776744,1.51673793559569,1.54596052449656,0.99,0.97,7.2053040320221,2
"SWARM_166",2.97169262281062,1.21962176153987,61,1,53.53,0.09,1.68,0.107337050720671,0.115925709268382,0.255854504956516,1.21962176153987,1.31206677827381,0.89,0.7,2.77966361833629,0
"SWARM_122",0.107337050720671,0.995893655354862,64,1,50.04,0.09,1.56,0.278242192726388,0.390038618257009,1.56084309004972,3.24011041837712,3.4273682522578,0.74,0.52,2.14168846356754,0
"SWARM_175",2.62087399938424,0.810072295201606,67,1,61.46,0.01,5.66,0.346014489448398,0.363218390804598,0.825705467372134,1.10158497536946,2.35028254353106,0.98,0.97,5.36909017556919,1
"SWARM_163",1.56084309004972,1.62783018182129,48,1,53.25,0.01,2.9,0.103241196861886,0.135743146779785,1.08041172535425,1.63096364144317,1.73987182473165,0.81,0.96,3.48009705030659,0
"SWARM_56",0.389816335218634,0.394985708204099,24,1,31.21,0.03,2.37,0.167704104710211,0.169472971021103,0.3801539408867,1.14663891882184,1.65687334988673,0.72,0.62,2.63156144391497,0
"SWARM_94",0.174298523687891,0.131307395244177,24,2,27.17,0.16,0.93,0.175769324332543,0.175769324332543,0.23798402055586,1.27113959587667,3.38185129310345,0.44,0.39,-2.56784685611004,0
"SWARM_74",0.138038983153926,0.138038983153926,28,1,56.56,0.01,6.44,0.131307395244177,0.133354618986803,0.315683991668187,0.840180053822295,0.909648444626893,0.98,0.97,5.5990586895025,1
"SWARM_70",2.15047643279055,1.34969496898376,33,1,34.06,0.12,1.57,0.230681961929089,0.232823237851974,1.01294737882381,1.36497582367877,1.48822628882731,0.57,0.5,2.18399767493648,0
"SWARM_115",0.100644157088123,0.688509358085508,62,2,57.95,0.03,2.11,0.107337050720671,0.120806901112936,0.28475091984431,1.72395745910114,2.26958372459975,0.78,0.82,2.95760319856943,0
"SWARM_164",2.97169262281062,0.450520434227331,50,2,50.7,0.01,3.01,0.253585948427903,0.256165845648604,0.423405096393602,0.69866991272882,1.29180040352468,0.97,0.92,3.75793052472601,0
"SWARM_119",0.100644157088123,0.100644157088123,42,2,45.65,0.08,0.96,0.212825526059722,0.379814313081554,1.51951661492542,2.98144398689792,3.68039682539683,0.32,0.58,2.81553939086161,0
"SWARM_783",0.931151933953658,0.931151933953658,40,1,45.73,0.02,2.58,0.340546455938697,0.380767043726814,0.89649090798516,1.20270563461655,1.22608833356139,0.9,0.84,2.9358011012975,0
"SWARM_64",0.255543164264428,0.255543164264428,28,2,32.62,0.02,2.11,0.23798402055586,0.255543164264428,0.475184729064039,1.66273706896552,2.1330301517458,0.55,0.86,2.90301740632766,0
"SWARM_154",0.272346211153682,0.301729003223256,51,1,56.52,0.01,3.37,0.175499631302074,0.236605242352369,0.344220184881105,1.48204491938059,2.38023426595854,0.96,0.92,4.13606251444265,0
"SWARM_165",0.176524736970139,0.131307395244177,48,1,90.53,0.01,7.75,0.120977163534635,0.127288131727787,0.17282772304324,1.383632885907,1.72395745910114,0.77,0.88,6.44593094086721,0
"SWARM_143",1.77096161740558,0.394985708204099,11,2,11.94,0.12,1.29,0.107207198731983,0.188744222465487,0.398581463236636,1.22666448108618,1.27401096472473,0.57,0.49,2.34928046013701,0
"SWARM_136",0.168149250440917,0.450520434227331,27,1,35.48,0.02,2.88,0.168149250440917,0.168149250440917,0.357089947089947,0.575483792495288,0.762557053153317,0.93,0.89,3.82457976993622,0
"SWARM_113",0.995893655354862,0.995893655354862,13,1,16.92,0.13,1.25,0.142152549717205,0.214887794198139,0.692675739676458,1.06029133977984,1.17275952342942,0.42,0.34,1.35375219410282,0
"SWARM_465",0.107337050720671,2.33761729440339,42,1,45.38,0.06,1.44,0.115289140895822,0.17500731694338,0.236782901538649,1.88661215163748,2.319325163776,0.38,0.61,2.09353795693462,0
"SWARM_35",0.450520434227331,0.450520434227331,17,1,21.5,0.15,1.14,0.22989700214377,0.29360347108192,0.372659338320258,0.841403218694885,0.908453806330962,0.64,0.4,1.67427216242003,0
"SWARM_216",0.100644157088123,0.100644157088123,17,1,39.95,0.04,3.23,0.0878177168856048,0.0878662652800583,0.120197614486408,0.329574895092137,0.334259487319832,0.9,0.63,4.04240414015093,0
"SWARM_295",0.255543164264428,0.230459009913033,39,1,48.46,0.01,3.56,0.168149250440917,0.233237243811957,0.290982104847047,1.51673793559569,1.56304834777242,0.92,0.84,4.67071654856462,0
"SWARM_293",3.5157965158046,1.67891312032476,53,1,53.08,0.06,1.65,0.120316061545946,0.124791704676762,1.29539891120082,1.74213254500395,2.62087399938424,0.78,0.81,2.63555921387722,0
"SWARM_102",0.68029130937177,0.68029130937177,11,1,16.35,0.07,1.49,0.107413855820106,0.115080619412516,0.392401021711367,0.686824180502343,0.696842121267409,0.63,0.53,2.15078584092354,0
"SWARM_208",0.329638980113118,0.931151933953658,21,1,31.74,0.01,4.27,0.301584929757344,0.306333819862555,0.509615337833729,0.997599027701757,1.05841080741045,1,1,5.22181268015635,1
"SWARM_160",1.05379633430639,1.05379633430639,38,1,50.99,0.01,2.81,0.255325693304142,0.305661428875509,0.702693680441525,1.05379633430639,1.06173884783799,0.98,0.97,3.36151413211818,1
"SWARM_140",0.168149250440917,0.168149250440917,25,1,66.66,0.01,9.47,0.157652627637901,0.157775535182144,0.180238703399623,0.288808117435991,0.293397646414888,1,1,8.18518545005428,1
"SWARM_124",0.115161466885605,0.119274539317643,17,1,44.06,0.01,8.21,0.107413855820106,0.111594599525634,0.169620051085568,0.231838776379006,0.237304476068844,0.99,0.98,7.98592351022915,1
"SWARM_509",2.28683429118774,1.87884035949948,14,2,84.36,0.01,19.38,1.70711412151067,1.73664810823755,1.9565582808794,2.8741789819376,3.25270867114806,1,1,17.7687987069611,2
