"","ienv.cp","zenv.cp","freq","maxgrp","IndVal","obsiv.prob","zscore","5%","10%","50%","90%","95%","purity","reliability","z.median","filter"
"Arthropoda",7.005,23.54,97,2,70.38,0.02,2.93,7.005,7.15,23.695,25.735,26.55225,0.85,0.95,3.56001437607704,0
"Chordata",27.35,26.645,18,2,62.71,0.01,10.44,26.049,26.34,26.975,27.5075,27.77775,1,1,10.518556221874,2
"Mollusca",27.35,27.845,22,2,95.65,0.01,14.49,26.3695,26.515,27.1,28.21,28.415,1,1,13.6511747143839,2
"Nemertea",23.1,23.1,34,1,40.42,0.06,1.6,22.88375,22.955,23.345,26.37,28.29625,0.79,0.56,2.08877668644202,0
"Platyhelminthes",7.15,7.15,89,2,85.98,0.01,3.15,7.0275,7.1475,13.89,23.0265,25.02325,0.81,0.66,3.53121439541057,0
"Malacostraca",7.005,18.45,96,1,88.21,0.04,2.51,7.03,7.15,23.8725,26,27.2045,0.69,0.7,2.76057934645051,0
"Branchiopoda",27.35,27.44,62,1,70.45,0.01,4.43,23.6635,23.695,27.0225,27.755,27.835,0.58,1,4.80836063535441,0
"Maxillopoda",27.35,24.28,22,2,23.86,0.02,2.51,22.519,23.0935,24.455,25.465,25.65725,0.93,0.84,3.41390461242641,0
"Hexanauplia",27.845,23.8,97,2,66.77,0.01,3.15,7.02875,22.545,23.9025,27.255,27.845,0.74,0.91,4.12729549825734,0
"Diplopoda",18.45,23.165,30,1,32.47,0.08,1.53,21.26,21.705,23.395,25.955,26.1815,0.83,0.47,1.76586676619304,0
"Pycnogonida",28.29,27.35,52,2,74.94,0.01,4.67,22.525,22.9505,26.9225,28.21,28.29,0.53,1,5.50327951272992,0
"Clitellata",7.005,7.15,59,2,63.58,0.05,1.6,7.12025,23.8,26.47,28.92,29.08075,0.48,0.44,-2.16493469503811,0
"Polychaeta",22.525,22.955,96,2,84.33,0.01,4.42,22.08,22.525,23.395,24.945,25.122,0.95,1,5.01944967780883,2
"Ascidiacea",7.005,24.71,92,2,76.01,0.01,4.85,12.015,19.1685,25,25.6055,26,1,1,5.15652148232017,2
"Anthozoa",7.005,24.045,96,2,69.89,0.01,6.59,7.12025,11.5285,23.94,24.7135,24.89275,1,1,6.9869564873618,2
"Hydrozoa",28.415,25.85,97,2,67.62,0.01,6.23,12.129,19.95,24.855,25.955,26,1,1,7.40686195300649,2
"Scyphozoa",7.15,23.565,96,2,73.88,0.01,4.43,20.551,22.7265,23.89,26.1085,26.229,1,1,4.94779545348681,2
"Crinoidea",27.35,25.85,88,2,84.1,0.01,8.32,23.84275,23.995,25,26,26.015,1,1,7.45898485968308,2
"Gastrotricha cla",19.95,22.525,18,2,19.32,0.17,1.08,22.91125,23,24.295,26,26.4,0.39,0.39,1.95121844178944,0
"Bivalvia",20.63,23.8,95,2,82.97,0.01,2.8,20.58,20.63,23.8,25.735,26,0.91,0.87,3.10048959537866,0
"Gastropoda",7.15,20.63,97,2,77.66,0.01,5.4,7.15,7.258,21.1675,23.035,23.1,0.99,1,6.06231238597404,2
"Cephalopoda",27.35,27.2,73,2,73.54,0.01,3.45,21.0725,21.705,26.6675,27.399,28.29,0.92,1,3.96461748170723,0
"Polyplacophora",22.525,27.845,28,1,30.07,0.14,0.9,18.45,19.9545,23,25.4885,26.0585,0.84,0.5,1.93757759158223,0
"Adenophorea",7.005,24.045,81,2,66.11,0.01,4.91,21.68975,22.13,23,24.945,25,1,1,5.35146476899909,2
"Anopla",12.135,25.265,82,1,71.82,0.03,2.03,12.135,13.44,25,27.2,27.305,0.76,0.83,2.6560168340322,0
"Enopla",12.135,25,61,2,54.05,0.11,1.57,21.65125,22.863,25.8425,27.845,28.294,0.89,0.57,2.14415154694494,0
"Onychophorida",12.135,18.45,75,2,75.54,0.01,3.44,8.4385,12.0125,19.975,26.6445,27.25,0.94,0.97,3.9002958396797,0
"Rhabditophora",7.005,24.855,64,2,59.04,0.01,4.87,23.19,23.265,24.945,25.1725,27.257,0.93,1,4.75568453547109,0
"Demospongiae",28.92,25,97,2,73.04,0.01,6.88,22.9875,23.8985,24.945,25.95,26.17075,1,1,7.61744924025719,2
"Monogononta",27.2,27.2,92,1,68.95,0.01,3.21,7.12025,7.15,26.5,27.205,27.3,0.71,0.98,4.6294998691578,0
"Amphipoda",21.705,25,29,1,32.24,0.06,1.71,21.00525,21.705,24.89,26.745,26.99775,0.64,0.66,2.28428920397741,0
"Decapoda",28.92,26.22,75,2,74.76,0.01,4.04,19.95,23.7895,25,26.22,26.2215,1,1,5.38383041496422,2
"Haplotaxida",28.92,25,15,2,14.96,0.12,1.23,23.16175,23.8945,25.65,28.343,28.875,0.49,0.63,2.72408169938678,0
"Phyllodocida",28.415,28.415,22,2,49.09,0.01,5.05,23.3,23.657,27.5225,29.745,29.901,0.94,0.87,4.00265095331042,0
"Terebellida",7.005,7.005,82,2,84.67,0.04,1.42,6.8305,7.005,23.32,27.205,27.352,0.51,0.86,2.59652587662706,0
"Spionida",19.95,24.135,74,1,67.07,0.03,2.51,17,19.995,23.8025,24.4765,24.82,0.53,0.99,3.3596403008307,0
"Enterogona",7.005,7.15,88,2,86.79,0.01,3.6,7.12025,7.1475,23.2825,27.845,27.86325,0.57,0.99,3.92949417130288,0
"Scleractinia",27.845,25,32,1,26.86,0.07,2.04,23.3995,23.4,25,27.845,27.925,0.37,0.9,3.55708597319889,0
"Actiniaria",25.85,25.85,18,1,21.46,0.08,1.87,20.596,22.525,25.285,26,26,0.85,0.66,2.61143927568395,0
"Anthoathecata",7.005,7.15,97,2,86.67,0.01,4.55,7.005,7.03,12.135,25.3615,26,0.99,0.98,5.13618971247366,2
"Leptothecata",25.265,25,97,2,67.5,0.01,3.31,7.15,12.135,24.4725,25.1685,25.265,0.94,0.97,3.80181683559748,0
"Siphonophorae",12.135,25,96,2,65.03,0.01,4.9,7.15,12.015,23.94,25,25,0.99,1,6.49276296020586,2
"Narcomedusae",25,25,13,2,19.22,0.01,3.51,23.7935,23.8045,24.89,25.605,26,0.87,0.82,3.91955761730087,0
"Rhizostomeae",21.705,25.155,16,2,21.86,0.02,3.54,21.705,22.08,25.055,25.238,25.47925,0.63,0.81,3.81433051976042,0
"Ophiurida",25.605,25.655,16,1,20.2,0.05,1.79,13.579,23,25.56,26,26,0.86,0.61,2.34923429037577,0
"Lucinoida",20.63,20.63,18,1,24.66,0.1,0.94,20.5485,20.63,25,26.645,28.37225,0.45,0.61,2.89185541181409,0
"Limoida",28.415,28.415,41,2,63.67,0.02,3.41,22.72975,23.242,26.1775,28.415,28.415,0.98,0.92,3.7927379840246,0
"Basommatophora",7.005,23.8,87,2,67.18,0.01,4.96,20.97775,23.165,23.695,24.4565,24.6055,1,1,5.78903072444275,2
"Stylommatophora",28.92,27.44,22,2,66.43,0.01,7.81,26.3695,26.645,27.82,28.92,28.92,1,1,9.47938044101726,2
"Architaenioglossa",26.015,26.065,19,1,24.05,0.06,2.05,22.91,23,25.605,26.065,26.2,0.79,0.71,2.52133569455132,0
"Chitonida",26.015,26.5,12,1,14.63,0.18,1.24,23.08075,23.3945,25,26.0015,26.065,0.82,0.49,2.24779125109326,0
"Rhabditida",12.135,22.905,22,1,63.17,0.01,9.1,12.01375,12.135,22.525,23.0035,23.051,1,0.98,9.7898734392155,1
"Monhysterida",27.35,23.345,46,2,48.38,0.01,3,23,23.1635,23.425,26.8,27.352,0.84,0.96,3.55343269677044,0
"Enoplida",23.1,23.035,12,2,15.38,0.1,1.82,23.03325,23.0485,23.89,25.95,27.46025,0.8,0.37,1.98276771517497,0
"Chromadorida",27.35,26.015,44,2,70.4,0.01,6.39,25,25.045,26.75,27.809,27.93925,1,1,8.15649599123988,2
"Palaeonemertea",27.35,27.35,67,1,77.01,0.01,3.52,11.748,13.63,26.8725,27.755,27.8355,0.88,0.95,3.81076654380883,0
"Anopla or",23.46,23.46,24,1,46.67,0.01,5.74,23.4,23.435,23.495,24,24.3815,1,0.99,6.91464181456048,1
"Monostilifera",27.44,27.44,57,2,65.12,0.01,2.29,22.53,22.905,25,27.44,27.49775,0.94,0.91,3.19520138613363,0
"Euonychophora",28.92,27.35,39,2,81.64,0.01,6.82,25.84675,26.545,27.35,28.4195,28.92,1,1,7.46489222261562,2
"Tricladida",25,25.05,22,1,21.71,0.25,0.89,23,23.035,24.47,25.85,26.5,0.75,0.48,1.99340219671058,0
"Macrostomida",27.35,27.35,50,1,57.47,0.02,2.51,22.484,23,25.925,27.48,27.755,0.73,0.83,2.70655712605646,0
"Childiidae order incertae sedis",24.945,25,44,2,54.9,0.01,6.22,23.90475,24,24.945,25,25.02325,1,0.99,5.90286201336263,2
