Taxon,EC
DH147-EKD10,5
NAMAKO-1,5
Pseudoperkinsidae,5
Chytridiomycetes,5
Novel Apicomplexa Class 2,5
Veneroida (Heteroconchia),5
Salpingoecidae order incertae sedis,5
Novel Clade 3,5
I76,5
NAMAKO-2,5
Cryptocaryon family incertae sedis,5
Andalucia,5
Protodinium,5
Massisteria,5
Nudifila,5
Bolidomonas,5
Pectinoida,4
Capitellida,4
Oxymonadida,4
Stygamoebida,4
Nuclearia,4
Platyamoeba,4
Palpitomonas,4
Bicosoeca kenaiensis,4
Vermistella antarctica,4
Novel Clade Gran-1,3
Bicosoecida class incertae sedis,3
Salpida,3
Actiniaria (Anthozoa),3
Microascales,3
Stephanoecidae order incertae sedis,3
Bicosoecida,3
Halodaphnea,3
Coscinodiscus radiatus,3
Xenacoelomorpha,2
Chromadorea,2
Spirotrichea,2
7-5.4,2
ME-Euk-FW10,2
Spongomonadida,2
Chromera family incertae sedis,2
Protogastrostyla,2
Cercomonas,2
Hacrobia,1
Fungi,1
Discicristoidea Holomycota kingdom incertae sedis,1
Freshwater Opisthokonta,1
Stramenopiles,1
Nematoda,1
Chromerida,1
Cercozoa,1
RM2-SGM51,1
Labyrinthulomycetes phylum incertae sedis,1
Peronosporomycetes phylum incertae sedis,1
Maxillopoda,1
Ophiuroidea,1
Acoela,1
Palaeonemertea,1
Clade L,1
RM1-SGM49,1
Dinoflagellata incertae sedis,1
IN2411,1
Phytomyxea,1
CCW10,1
Labyrinthulomycetes,1
Raphidophyceae,1
Triplonchida,1
Enoplida,1
Desmodorida,1
Catenulidae order incertae sedis,1
Heterobranchia,1
Siphonophorae,1
Semaeostomeae,1
Nemertodermatidae order incertae sedis,1
Monostilifera,1
Aphragmophora,1
Spizellomycetales,1
Rhizophydiales,1
Scuticociliatia,1
Marimonadida,1
Vampyrellidae order incertae sedis,1
HE001005.112,1
D2P04F01,1
Amphitremida,1
PW19,1
TAGIRI-15,1
Chattonellales,1
Euamoebida,1
Rigifilida,1
Opheliidae,1
Orbiniidae,1
Paraonidae,1
Basidiobolaceae,1
Paramicrosporidium family incertae sedis,1
Diophrys family incertae sedis,1
Spongomonas family incertae sedis,1
Auranticordis,1
BB01-173,1
Thaumatomonadidae,1
Vampyrellidae,1
Halodaphnea family incertae sedis,1
P34.6,1
Navicula family incertae sedis,1
Pterospora,1
Discocephalus,1
Amphisiella,1
Uronychia,1
Histiobalantium,1
Paratetrahymena,1
Acineta,1
Maullinia,1
Pseudopirsonia,1
Metopion,1
Thraustochytrium,1
Labyrinthuloides,1
Navicula,1
Subulatomonas,1
Amastigomonas mutabilis,1
root,0
Main genome,0
Eukaryota,0
Opisthokonta,0
Excavata,0
Archaeplastida,0
SAR,0
Amoebozoa,0
SA1-3C06,0
Eukaryota incertae sedis,0
D4P07G08,0
Apusozoa superkingdom incertae sedis,0
Breviatea superkingdom incertae sedis,0
Mantamonas superkingdom incertae sedis,0
Metazoa (Animalia),0
Choanomonada,0
Cryptomycota Holomycota kingdom incertae sedis,0
Mesomycetozoa,0
Mesomycetozoea,0
Filasterea,0
Discoba,0
Metamonada,0
Rhodophyceae,0
Alveolata,0
Rhizaria,0
Amoebozoa (kingdom),0
Centrohelida,0
Palpitomonas kingdom incertae sedis,0
Apusozoa kingdom incertae sedis,0
Breviatea kingdom incertae sedis,0
Mantamonas kingdom incertae sedis,0
Arthropoda,0
Chordata,0
Platyhelminthes,0
Mollusca,0
Rotifera,0
Annelida,0
Cnidaria,0
Echinodermata,0
Brachiopoda,0
Tardigrada,0
Porifera,0
Hemichordata,0
Placozoa,0
Bryozoa,0
Ctenophora,0
Priapulida,0
Kinorhyncha,0
Nemertea,0
Gastrotricha,0
Chaetognatha,0
Gnathostomulida,0
Entoprocta,0
Loricifera,0
Rhopaluridae phylum incertae sedis,0
Ascomycota,0
Basidiomycota,0
Blastocladiomycota,0
Chytridiomycota,0
Zoopagomycotina,0
Kickxellomycotina,0
Mucorales phylum incertae sedis,0
Basidiobolaceae phylum incertae sedis,0
Choanoflagellida,0
Cryptomycota,0
LKM15,0
Ichthyophonidae,0
Abeoformidae,0
Nucleariida,0
Dermocystida phylum incertae sedis,0
Ministeriida,0
Jakobida,0
Diplonemea,0
Fornicata,0
Preaxostyla,0
Stylonematales phylum incertae sedis,0
Rhodellophyceae phylum incertae sedis,0
Apicomplexa,0
Dinoflagellata,0
Ciliophora,0
