,pi
root,0
Cellular organisms,0
Eukaryota,0
Opisthokonta,0
Metazoa,0
Arthropoda,0
Annelida,0
Brachiopoda,0
Bryozoa,0
Chaetognatha,0
Chordata,0
Cnidaria,0
Echinodermata,0
Entoprocta,0
Gastrotricha,0
Gnathostomulida,0
Hemichordata,0
Mollusca,0
Nematoda,0
Nemertea,0
Onychophora,0
Platyhelminthes,0
Porifera,0
Priapulida,0
Rotifera,0
Malacostraca,0
Branchiopoda,1
Maxillopoda,3
Ostracoda,0
Hexanauplia,0
Diplopoda,0
Chilopoda,0
Pycnogonida,5
Clitellata,0
Polychaeta,1
Rhynchonellata,0
Gymnolaemata,0
Stenolaemata,0
Sagittoidea,0
Elasmobranchii,0
Ascidiacea,1
Thaliacea,0
Anthozoa,0
Hydrozoa,0
Staurozoa,0
Scyphozoa,0
Crinoidea,0
Echinoidea,0
Holothuroidea,0
Asteroidea,0
Ophiuroidea,0
Entoprocta cla,0
Gastrotricha cla,0
Gnathostomulida cla,0
Enteropneusta,0
Bivalvia,0
Gastropoda,1
Cephalopoda,0
Polyplacophora,0
Scaphopoda,0
Caudofoveata,0
Solenogastres,0
Chromadorea,0
Secernentea,0
Adenophorea,1
Anopla,0
Enopla,0
Onychophorida,0
Rhabditophora,1
Trematoda,0
Acoela,0
Nemertodermatida,0
Demospongiae,0
Hexactinellida,0
Priapulimorpha,0
Monogononta,0
Bdelloidea,0
Amphipoda,0
Decapoda,0
Mysida,0
Isopoda,0
Euphausiacea,0
Cumacea,0
Diplostraca,0
Sessilia,0
Harpacticoida,0
Poecilostomatoida,0
Pantopoda,0
Haplotaxida,0
Enchytraeida,0
Sabellida,0
Phyllodocida,0
Terebellida,0
Eunicida,0
Opheliida,0
Spionida,1
Polychaeta or,0
Amphinomida,0
Canalipalpata,0
Cheilostomatida,0
Cyclostomatida,0
Cyclostomata,0
Phragmophora,0
Carcharhiniformes,0
Enterogona,0
Scleractinia,0
Zoantharia,0
Alcyonacea,0
Actiniaria,3
Pennatulacea,0
Ceriantharia,0
Anthoathecata,0
Leptothecata,0
Limnomedusae,0
Siphonophorae,0
Trachymedusae,0
Narcomedusae,1
Stauromedusae,0
Rhizostomeae,0
Semaeostomeae,0
Comatulida,0
Echinoida,0
Spatangoida,0
Clypeasteroida,0
Camaradonta,0
Apodida,0
Dendrochirotida,0
Forcipulatida,0
Paxillosida,0
Valvatida,0
Ophiurida,0
Bursovaginoidea,0
Mytilida,0
Venerida,0
Veneroida,0
Cardiida,0
Ostreoida,0
Nuculida,0
Bivalvia or,0
Adapedonta,0
Euheterodonta,0
Nuculanoida,0
Pholadomyoida,0
Lucinoida,0
Limoida,0
Anomalodesmata,0
Carditoida,0
Littorinimorpha,0
Gastropoda or,0
Sorbeoconcha,0
Neogastropoda,0
Pulmonata,0
Nudibranchia,0
Caenogastropoda,0
Basommatophora,0
Stylommatophora,0
Architaenioglossa,1
Cephalaspidea,0
Gymnosomata,0
Anaspidea,0
Mesogastropoda,0
Sepiida,0
Octopoda,0
Chitonida,0
Lepidopleurida,0
Dentaliida,0
Chaetodermatida,0
Rhabditida,5
Strongylida,0
Aphelenchida,0
Tylenchida,0
Monhysterida,1
Enoplida,0
Chromadorida,0
Trefusiida,0
Palaeonemertea,0
Anopla or,0
Anura or,0
Heteronemertea,0
Monostilifera,1
Euonychophora,0
Tricladida,0
Macrostomida,0
Platyhelminthes or,0
Plagiorchiida,0
Childiidae order incertae sedis,1
Haploposthiidae order incertae sedis,0
Convolutidae order incertae sedis,0
Diopisthoporidae order incertae sedis,0
Isodiametridae order incertae sedis,0
Mecynostomidae order incertae sedis,0
Dakuidae order incertae sedis,0
Ascopariidae order incertae sedis,0
Nemertodermatidae order incertae sedis,0
Haplosclerida,0
Spirophorida,0
Astrophorida,0
Verongida,0
Poecilosclerida,0
Halichondrida,2
Hadromerida,0
Homosclerophorida,0
Priapulimorphida,0
Ploima,0
Niphargidae,0
Oedicerotidae,0
Lysianassidae,0
Aoridae,0
Ampeliscidae,0
Ischyroceridae,0
Phoxocephalidae,0
Urothoidae,0
Photidae,0
Bathyporeiidae,0
Oregoniidae,0
Aeglidae,0
Paguridae,0
Alpheidae,0
Crangonidae,0
Mysidae,0
Cirolanidae,0
Munnopsidae,0
Euphausiidae,0
Leuconidae,0
Podonidae,0
Balanidae,0
Verrucidae,0
Corycaeidae,0
Naididae,0
Enchytraeidae,0
Siboglinidae,0
Oweniidae,0
Sabellidae,0
Polynoidae,0
Hesionidae,0
Glyceridae,0
Nephtyidae,0
Pholoidae,0
Goniadidae,0
Sphaerodoridae,0
Phyllodocidae,0
Aphroditidae,0
Pectinariidae,0
Cirratulidae,0
Terebellidae,0
Ampharetidae,0
Ctenodrilidae,0
Onuphidae,0
Dorvilleidae,0
Opheliidae,0
Spionidae,0
Poecilochaetidae,0
Maldanidae,0
Paraonidae,0
Capitellidae,0
Orbiniidae,0
Amphinomidae,0
Polygordiidae,0
Eukrohniidae,0
Carcharhinidae,0
Ascidiidae,0
Caryophylliidae,0
Epizoanthidae,0
Alcyoniidae,0
Actinostolidae,0
Hormathiidae,0
Metridiidae,0
Edwardsiidae,0
Halcampidae,0
Pennatulidae,0
Virgulariidae,0
Cerianthidae,0
Arachnactidae,0
Hydractiniidae,0
Tubulariidae,0
Corynidae,0
Oceaniidae,0
Corymorphidae,0
Bougainvilliidae,0
Rathkeidae,0
Boreohydridae,0
Margelopsidae,0
Eirenidae,0
Campanulariidae,0
Aequoreidae,0
Haleciidae,0
Lafoeidae,0
Mitrocomidae,0
Olindiidae,0
Agalmatidae,0
Apolemiidae,0
Lucernariidae,0
Cyaneidae,0
Ulmaridae,0
Strongylocentrotidae,0
Loveniidae,0
Spatangidae,0
Brissidae,0
Fibulariidae,0
Echinidae,0
Synaptidae,0
Cucumariidae,0
Phyllophoridae,0
Asteriidae,0
Luidiidae,0
Poraniidae,0
Ophiuridae,0
Ophiactidae,0
Amphiuridae,0
Ophiotrichidae,0
Onychognathiidae,0
Mytilidae,0
Veneridae,0
Arcticidae,0
Cardiidae,0
Tellinidae,0
Semelidae,0
Nuculidae,0
Mactridae,0
Montacutidae,0
Pharidae,0
Hiatellidae,0
Yoldiidae,0
Cuspidariidae,0
Thyasiridae,0
Limidae,0
Astartidae,0
Naticidae,0
Aporrhaidae,0
Acteonidae,0
Terebridae,0
Buccinidae,0
Conidae,0
Dotidae,0
Flabellinidae,0
Polyceridae,0
Onchidorididae,0
Heroidae,0
Epitoniidae,0
Retusidae,0
Philinidae,0
Diaphanidae,0
Scaphandridae,0
Clionidae,0
Aplysiidae,0
Eulimidae,0
Dentaliidae,0
Limifossoridae,0
Chaetodermatidae,0
Chromadoridae,0
Cephalothricidae,0
Tubulanidae,0
Hubrechtidae,0
Lineidae,0
Cerebratulidae,0
Baseodiscidae,0
Oerstediidae,0
Haplopharyngidae,0
Heterophyidae,0
Childiidae,0
Haploposthiidae,0
Isodiametridae,0
Mecynostomidae,0
Ascopariidae,0
Nemertodermatidae,0
Ancorinidae,0
Pachastrellidae,0
Ianthellidae,0
Microcionidae,0
Hymedesmiidae,0
Raspailiidae,0
Desmacellidae,0
Crellidae,0
Cladorhizidae,0
Heteroxyidae,0
Axinellidae,0
Suberitidae,0
Polymastiidae,0
Priapulidae,0
Synchaetidae,0
Niphargus,0
Westwoodilla,0
Hippomedon,0
Ampelisca,0
Byblis,0
Jassa,0
Harpinia,0
Urothoe,0
Megamphopus,0
Bathyporeia,0
Hyas,0
Aegla,0
Pagurus,0
Alpheus,0
Crangon,0
Praunus,0
Natatolana,0
Notopais,0
Thysanoessa,0
Eudorella,0
Evadne,0
Podon,0
Balanus,0
Verruca,0
Ditrichocorycaeus,0
Tubificoides,0
Grania (Enchytraeidae),0
Siboglinum,0
Owenia,0
Galathowenia,0
Chone,0
Euchone,0
Harmothoe,0
Gattyana,0
Bylgides,0
Nereimyra,0
Neogyptis,0
Glycera,0
Nephtys,0
Aglaophamus,0
Pholoe,0
Glycinde,0
Sphaerodorum,0
Sphaerodoropsis,0
Phyllodoce (Phyllodocidae),0
Eumida,0
Sige,0
Laetmonice,0
Pectinaria,0
Cirratulus,0
Chaetozone,0
Tharyx,0
Polycirrus,0
Pista,0
Mugga,0
Anobothrus,0
Eclysippe,0
Raricirrus,0
Nothria,0
Paradiopatra,0
Ophryotrocha,3
Parougia,0
Ophelina,0
Prionospio,0
Spiophanes,0
Poecilochaetus,0
Praxillella,0
Aricidea,1
Levinsenia,0
Heteromastus,0
Barantolla,0
Dasybranchus,0
Scoloplos,0
Paramphinome,0
Polygordius,0
Eukrohnia,0
Galeocerdo,0
Phallusia,0
Caryophyllia,0
Epizoanthus,0
Alcyonium,0
Maractis,0
Hormathia,0
Actinauge,0
Metridium,4
Edwardsia,0
Halcampa,0
Pennatula,0
Virgularia,0
Pachycerianthus,0
Isarachnanthus,0
Hydractinia,0
Ectopleura,0
Sarsia,0
Merona,0
Corymorpha,0
Euphysa,0
Bougainvillia,0
Rathkea,0
Plotocnide,0
Margelopsis,0
Eutonina,0
Tima,0
Obelia,0
