Region,Platform,Station,Alias,ShortName,Grab,Year,HasTHC,HasPAH,HasNPD,INDEX,MET,SSU_ID,COI_ID,18S,COI,Extract,Extract conc,Type,Plate18S,PlateCOI,18S_N,COI_N,Grabs,THC,PAH,NPD,As,Ba,Cd,Cr,Cu,Hg,Ni,Pb,Zn,Acenaften,Acenaftylen,Antracen,Benz(a)antracen,Benzo(a)pyren,Benzo(bjk)fluoranten,Benzo(ghi)perylen,C1-alkyldibenzotiofener,C1-alkylfenantrener/antracener,C1-alkylnaftalener,C2-alkyldibenzotiofener,C2-alkylfenantrener/antracener,C2-alkylnaftalener,C3-alkyldibenzotiofener,C3-alkylfenantrener/antracener,C3-alkylnaftalener,Chrysen,Dibenz(ah)antracen,Dibenzotiofen,Fenantren,Fluoranten,Fluoren,Indeno(1.2.3-c.d)pyren,Naftalen,Pyren,Grus,Sand,Pelite,Kornstorrelse,Kurtosis,Skewness,Sorting,TOC,MorphoS,MorphoH,ES100,ISI,Individtetthet,MorphoJ,NQI1,NSI,Depth,Distance,UTM31E,UTM31N,WGS84E,WGS84N,Comment
II,BAL,BAL16,NA,BAL16.1.2018,1,2018,Y,N,N,Y,Y,S369S-BAL16,S465C-BAL16,TRUE,TRUE,591-593,3.99,S,4,5,93,93,3,13,NA,NA,2.4,130,0.03,9.4,2.2,0.01,5.2,5.4,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0.89,0.09,3.45,2.76,0.02,0.90,0.42,126,4.15,29.70,11.00,2957,NA,0.78,23.00,125,250,464434.014,6559934.0218,2.376,59.175,
II,BAL,BAL16,NA,BAL16.2.2018,2,2018,Y,N,N,Y,Y,S370S-BAL16,S466C-BAL16,TRUE,TRUE,594-596,3.35,S,4,5,94,94,3,14,NA,NA,2.5,180,0.02,9.8,2.4,0.01,5.6,6.2,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,126,4.15,29.70,11.00,2957,NA,0.78,23.00,125,250,464434.014,6559934.0218,2.376,59.175,
II,BAL,BAL16,NA,BAL16.3.2018,3,2018,Y,N,N,Y,Y,S469S-BAL16,S565C-BAL16,TRUE,TRUE,597-599,3.72,S,6,7,1,1,3,18,NA,NA,2.6,150,0.02,9.4,2.3,0.01,5.3,6.1,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,126,4.15,29.70,11.00,2957,NA,0.78,23.00,125,250,464434.014,6559934.0218,2.376,59.175,
II,BAL,BAL22,NA,BAL22.1.2018,1,2018,Y,N,N,Y,Y,S470S-BAL22,S566C-BAL22,TRUE,TRUE,600-602,5.07,S,6,7,2,2,3,12,NA,NA,2.4,130,0.02,9.1,2.1,0.01,5.0,5.4,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.89,0.11,3.46,2.77,0.09,0.91,0.46,131,4.47,31.80,10.80,2267,NA,0.80,23.00,129,1850,463142.914,6561696.5755,2.353,59.191,
II,BAL,BAL22,NA,BAL22.2.2018,2,2018,Y,N,N,Y,Y,S471S-BAL22,S567C-BAL22,TRUE,TRUE,603-605,4.88,S,6,7,3,3,3,13,NA,NA,2.6,160,0.03,9.8,2.4,0.01,5.5,5.8,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131,4.47,31.80,10.80,2267,NA,0.80,23.00,129,1850,463142.914,6561696.5755,2.353,59.191,
II,BAL,BAL22,NA,BAL22.3.2018,3,2018,Y,N,N,Y,Y,S472S-BAL22,S568C-BAL22,TRUE,TRUE,606-608,3.83,S,6,7,4,4,3,13,NA,NA,2.2,150,0.02,8.4,2.1,0.01,4.8,5.5,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131,4.47,31.80,10.80,2267,NA,0.80,23.00,129,1850,463142.914,6561696.5755,2.353,59.191,
II,BAL,BAL37,NA,BAL37.1.2018,1,2018,Y,Y,Y,Y,Y,S473S-BAL37,S569C-BAL37,TRUE,TRUE,609-611,5.39,S,6,7,5,5,3,22,0.09,0.08,3.0,490,0.04,11.0,3.1,0.01,6.6,7.5,15,0.00200,0.00000,0.00000,0.00400,0.00800,0.030,0.003,0.000,0,0.01,0.0000,0.020,0.020,0.000,0.020,0.000,0.0060,0.0070,0.0000,0.0060,0.0080,0.0020,0.0030,0.0040,0.0040,0.02,0.87,0.11,3.46,3.04,0.00,1.03,0.45,125,4.58,32.10,10.60,2272,NA,0.80,23.40,123,250,464686.14,6559998.4973,2.381,59.176,
II,BAL,BAL37,NA,BAL37.2.2018,2,2018,Y,Y,Y,Y,Y,S474S-BAL37,S570C-BAL37,TRUE,TRUE,612-614,4.95,S,6,7,6,6,3,19,0.07,0.07,2.9,450,0.03,11.0,2.8,0.01,6.0,7.0,14,0.00100,0.00000,0.00100,0.00300,0.00700,0.025,0.002,0.000,0,0.01,0.0000,0.020,0.020,0.000,0.010,0.000,0.0050,0.0060,0.0000,0.0050,0.0060,0.0010,0.0020,0.0040,0.0040,NA,NA,NA,NA,NA,NA,NA,NA,125,4.58,32.10,10.60,2272,NA,0.80,23.40,123,250,464686.14,6559998.4973,2.381,59.176,
II,BAL,BAL37,NA,BAL37.3.2018,3,2018,Y,Y,Y,Y,Y,S475S-BAL37,S571C-BAL37,TRUE,TRUE,615-617,2.76,S,6,7,7,7,3,20,0.08,0.08,2.8,440,0.03,10.0,2.6,0.01,5.6,6.1,13,0.00100,0.00000,0.00100,0.00400,0.00800,0.025,0.003,0.000,0,0.01,0.0000,0.030,0.020,0.000,0.020,0.000,0.0050,0.0060,0.0000,0.0050,0.0070,0.0010,0.0020,0.0040,0.0040,NA,NA,NA,NA,NA,NA,NA,NA,125,4.58,32.10,10.60,2272,NA,0.80,23.40,123,250,464686.14,6559998.4973,2.381,59.176,
II,BAL,BAL42,NA,BAL42.1.2018,1,2018,Y,Y,Y,Y,Y,S476S-BAL42,S572C-BAL42,TRUE,TRUE,618-620,2.45,S,6,7,8,8,3,18,0.09,0.07,2.8,530,0.03,12.0,3.1,0.01,6.8,7.3,15,0.00000,0.00000,0.00100,0.00400,0.01000,0.019,0.003,0.009,0.00,0.00,0.0100,0.000,0.020,0.020,0.000,0.010,0.0060,0.0060,0.0000,0.0050,0.0090,0.0010,0.0020,0.0050,0.0050,0.02,0.87,0.11,3.42,3.10,-0.13,1.18,0.51,132,4.21,28.80,10.10,3582,NA,0.78,23.00,123,250,463402.515,6561458.3499,2.358,59.189,
