"cooc_method","EdgeBetweenness","interaction","interactionType","Label","method_number","method_scores","methodname_interactiontype","methodname_pval","methodname_score","name","nulldistribmean","nulldistribmedian","nulldistribsd","oriScore","pval","pval-brown-merge","qval","randdistribMean","randdistribMedian","randdistribNumNonNaNScores","randdistribSD","selected","shared interaction","shared name","weight"
"correl_pearson|dist_bray|correl_spearman|sim_mutInfo|dist_kullbackleibler","99.06320935860577","","copresence","Amastigomonas-family-incertae-sedis->Suessiaceae","5","0.6571712815787932|0.3145534857926189|0.7104802544792986|0.3936308366426764|1.5589939476821808","correl_pearson=copresence|dist_bray=copresence|correl_spearman=copresence|sim_mutInfo=unknown|dist_kullbackleibler=copresence","correl_pearson=0.037259727943878995|dist_bray=0.10777063947854915|correl_spearman=0.011562854821674184|sim_mutInfo=0.2572481034014125|dist_kullbackleibler=1.0940884414223362E-5","correl_pearson=0.6571712815787932|dist_bray=0.3145534857926189|correl_spearman=0.7104802544792986|sim_mutInfo=0.3936308366426764|dist_kullbackleibler=1.5589939476821808","Amastigomonas-family-incertae-sedis->Suessiaceae","0.02211471900000001","0.019033965","0.16578249096189251","0.6571712815787932","7.1556920056004E-7","7.1556920056004E-7","1.7818950896088853E-5","0.6727848178380045|0.3148024360770511|0.6902466224461418|0.39831432727267746|1.630389575478724","0.667572256058971|0.3115392106576246|0.6985181734460151|0.3914410217742297|1.5788276349602448","100.0|100.0|100.0|100.0|100.0","0.13311252221832126|0.05083421092824343|0.0885768088336971|0.14461843978311065|0.4440019690972735","true","","Amastigomonas-family-incertae-sedis->Suessiaceae","1.7818950896088853E-5"
"dist_bray|dist_kullbackleibler|correl_spearman","107.44946603367538","","copresence","Amastigomonas-family-incertae-sedis->E222","3","0.3721373239097282|1.5735461102069785|0.6553674959057971","dist_bray=copresence|dist_kullbackleibler=copresence|correl_spearman=copresence","dist_bray=0.1407660721942905|dist_kullbackleibler=6.868796386116927E-7|correl_spearman=0.024937335551980744","dist_bray=0.3721373239097282|dist_kullbackleibler=1.5735461102069785|correl_spearman=0.6553674959057971","Amastigomonas-family-incertae-sedis->E222","0.5997441022999997","0.601072605","0.057533997739791294","0.3721373239097282","9.487449728173836E-6","9.487449728173836E-6","1.945624800873296E-4","0.36616411312356495|1.6013305388191736|0.6426240538686835","0.36359636713861987|1.5516335442894285|0.6573155905481626","100.0|100.0|100.0","0.047047170989420524|0.38699585175239654|0.1028034062526648","true","","Amastigomonas-family-incertae-sedis->E222","1.945624800873296E-4"
"dist_bray|correl_spearman|correl_pearson|dist_kullbackleibler","346.9554423324492","","mutualExclusion","Amastigomonas-family-incertae-sedis->Macrostomida","4","0.9750164700932407|-0.5328474123427758|-0.23468685562908717|18.13231237425678","dist_bray=mutualExclusion|correl_spearman=mutualExclusion|correl_pearson=mutualExclusion|dist_kullbackleibler=mutualExclusion","dist_bray=0.26726909586808656|correl_spearman=0.06123599304508365|correl_pearson=0.20820087584840308|dist_kullbackleibler=5.4188016947787077E-5","dist_bray=0.9750164700932407|correl_spearman=-0.5328474123427758|correl_pearson=-0.23468685562908717|dist_kullbackleibler=18.13231237425678","Amastigomonas-family-incertae-sedis->Macrostomida","0.8853256135000003","0.894669535","0.06067255793285644","0.9750164700932407","3.757435339231119E-4","3.757435339231119E-4","0.005292670283391712","0.9702302166370323|-0.5352178831965347|-0.23935172423428266|17.7434467306548","0.9738860402895548|-0.536971817420236|-0.23767491788279022|18.02837777344974","100.0|100.0|100.0|100.0","0.01868739162500072|0.11685403224183115|0.06516777160157278|1.8591293958345103","false","","Amastigomonas-family-incertae-sedis->Macrostomida","0.005292670283391712"
"dist_kullbackleibler|dist_bray|correl_pearson","260.25787153729544","","copresence","Suessiaceae->Strombidium-capitatum","3","1.217864786033915|0.31414700504423765|0.7503692422519601","dist_kullbackleibler=copresence|dist_bray=copresence|correl_pearson=copresence","dist_kullbackleibler=8.039477992705102E-5|dist_bray=0.10380486345164797|correl_pearson=0.007617014306930514","dist_kullbackleibler=1.217864786033915|dist_bray=0.31414700504423765|correl_pearson=0.7503692422519601","Suessiaceae->Strombidium-capitatum","3.7614594519999995","3.747976585","0.7355757322568117","1.217864786033915","1.556039134132936E-4","1.556039134132936E-4","0.0024312566639197526","1.2703972330526385|0.3089540737655749|0.7582358816964693","1.2023565041420448|0.31059615344036273|0.7699311335263515","100.0|100.0|100.0","0.4357274490452609|0.04907710455638045|0.1000693813114572","false","","Suessiaceae->Strombidium-capitatum","0.0024312566639197526"
"dist_kullbackleibler|correl_pearson|correl_spearman|dist_bray","13.8704538340304","","copresence","Suessiaceae->E222","4","0.23436252275503766|0.8169836424658015|0.8036984352773822|0.21326021052294064","dist_kullbackleibler=copresence|correl_pearson=copresence|correl_spearman=copresence|dist_bray=copresence","dist_kullbackleibler=0.0|correl_pearson=1.7359277160733377E-6|correl_spearman=0.0019364779396013332|dist_bray=0.01276369869899896","dist_kullbackleibler=0.23436252275503766|correl_pearson=0.8169836424658015|correl_spearman=0.8036984352773822|dist_bray=0.21326021052294064","Suessiaceae->E222","1.8805751645000002","1.917873115","0.3488629034739764","0.23436252275503766","0.0","0.0","0.0","0.22416665282733092|0.8304877646540748|0.7942192769579473|0.20350255276701146","0.22768260314385808|0.8312927477659191|0.8036974048651294|0.20416758779020056","100.0|100.0|100.0|100.0","0.03539445479647561|0.03269472258472529|0.07745644040321314|0.018140903459576002","true","","Suessiaceae->E222","0.0"
"dist_kullbackleibler","407.3124483868874","","mutualExclusion","Aspidisca->Chromadorea","1","17.405413470650426","dist_kullbackleibler=mutualExclusion","dist_kullbackleibler=3.7000952427534983E-6","dist_kullbackleibler=17.405413470650426","Aspidisca->Chromadorea","11.091715203699998","10.788010685","2.9695894361691706","17.405413470650426","0.004034267356205823","0.004034267356205823","0.0401125549249841","16.825391524002537","16.971306466705126","14.0","1.6366411750567664","false","","Aspidisca->Chromadorea","0.0401125549249841"
"dist_kullbackleibler|dist_bray|correl_spearman|sim_mutInfo|correl_pearson","328.0","","copresence","Aspidisca->Pleuronema","5","1.1002167003218444|0.25374246156457503|0.6340849907638466|0.3520447699064422|0.9418367188340232","dist_kullbackleibler=copresence|dist_bray=copresence|correl_spearman=copresence|sim_mutInfo=unknown|correl_pearson=copresence","dist_kullbackleibler=0.0|dist_bray=0.007549790030858983|correl_spearman=0.00669811195551645|sim_mutInfo=0.2076602442016272|correl_pearson=0.0011381013384152983","dist_kullbackleibler=1.1002167003218444|dist_bray=0.25374246156457503|correl_spearman=0.6340849907638466|sim_mutInfo=0.3520447699064422|correl_pearson=0.9418367188340232","Aspidisca->Pleuronema","12.015310772300005","12.441499245","2.5403921855346594","1.1002167003218444","0.0","0.0","0.0","0.9452592352908109|0.23874901776602034|0.7004452946974197|0.408084940944416|0.9183466159138918","0.9321955496017204|0.23874475849399512|0.7129216570117485|0.41433723619997165|0.9404850524054347","12.0|12.0|12.0|12.0|12.0","0.36728209910539655|0.06598922162129627|0.08841169477490106|0.15537583673802288|0.08423168863372878","true","","Aspidisca->Pleuronema","0.0"
"dist_bray|dist_kullbackleibler","109.24869968505011","","mutualExclusion","Aspidisca->Enoplea","2","0.9499532083676568|19.144540293371065","dist_bray=mutualExclusion|dist_kullbackleibler=mutualExclusion","dist_bray=0.21497394031040762|dist_kullbackleibler=9.651366269514128E-7","dist_bray=0.9499532083676568|dist_kullbackleibler=19.144540293371065","Aspidisca->Enoplea","0.8218470388","0.8306208749999999","0.0799241029248939","0.9499532083676568","4.133292073548178E-4","4.133292073548178E-4","0.0057638757965629344","0.9427771462642562|18.598580758484317","0.9435077909409768|18.70577161451717","14.0|14.0","0.023475008243255463|1.8308149841291697","false","","Aspidisca->Enoplea","0.0057638757965629344"
"dist_bray|correl_spearman|dist_kullbackleibler","471.52320986151807","","mutualExclusion","Aspidisca->Apicomplexa","3","0.977594676340464|-0.49178326959632085|16.13415297462006","dist_bray=mutualExclusion|correl_spearman=mutualExclusion|dist_kullbackleibler=mutualExclusion","dist_bray=0.13227652308239213|correl_spearman=0.08590388679193506|dist_kullbackleibler=3.84954650511915E-6","dist_bray=0.977594676340464|correl_spearman=-0.49178326959632085|dist_kullbackleibler=16.13415297462006","Aspidisca->Apicomplexa","0.8341066472999998","0.8340531","0.09390405912050144","0.977594676340464","1.1380002426908398E-4","1.1380002426908398E-4","0.0018346142640836719","0.9692327934513864|-0.5024762798483834|15.73725422541588","0.9697420630396486|-0.4988184212007663|15.904609073717118","14.0|14.0|14.0","0.01466859156665227|0.13330170291259077|1.8380671400516873","false","","Aspidisca->Apicomplexa","0.0018346142640836719"
"correl_spearman|dist_kullbackleibler|dist_bray","109.24869968505007","","mutualExclusion","Aspidisca->Nematoda","3","-0.3610284672389879|17.781697357977944|0.9574254125023515","correl_spearman=mutualExclusion|dist_kullbackleibler=mutualExclusion|dist_bray=mutualExclusion","correl_spearman=0.19173940745232154|dist_kullbackleibler=1.9282948944931988E-5|dist_bray=0.31393761962208033","correl_spearman=-0.3610284672389879|dist_kullbackleibler=17.781697357977944|dist_bray=0.9574254125023515","Aspidisca->Nematoda","-0.004726514400000004","-0.01260039","0.16303022267574194","-0.3610284672389879","0.0016444423334568414","0.0016444423334568414","0.019270376756349288","-0.34865746157243344|17.02430681094355|0.947493988352756","-0.36109417632393387|17.172634977853182|0.9537472198128394","14.0|14.0|14.0","0.15574114467037461|1.6216492149381436|0.041045852006834325","false","","Aspidisca->Nematoda","0.019270376756349288"
