"cooc_method","EdgeBetweenness","interaction","interactionType","Label","method_number","method_scores","methodname_interactiontype","methodname_pval","methodname_score","name","nulldistribmean","nulldistribmedian","nulldistribsd","oriScore","pval","pval-brown-merge","qval","randdistribMean","randdistribMedian","randdistribNumNonNaNScores","randdistribSD","selected","shared interaction","shared name","weight"
"sim_mutInfo|correl_pearson|dist_bray|dist_kullbackleibler|correl_spearman","76.9888888888889","","copresence","Centrohelea->TAGIRI-17","5","0.3692577166953863|0.8619660738568942|0.27010883473035974|0.9793475432230652|0.8322250046497857","sim_mutInfo=unknown|correl_pearson=copresence|dist_bray=copresence|dist_kullbackleibler=copresence|correl_spearman=copresence","sim_mutInfo=0.1609472194861557|correl_pearson=9.592681812997661E-6|dist_bray=0.012895284392878681|dist_kullbackleibler=0.0|correl_spearman=8.368569812611248E-5","sim_mutInfo=0.3692577166953863|correl_pearson=0.8619660738568942|dist_bray=0.27010883473035974|dist_kullbackleibler=0.9793475432230652|correl_spearman=0.8322250046497857","Centrohelea->TAGIRI-17","0.09434196010000002","0.090752605","0.038423750707666286","0.3692577166953863","0.0","0.0","0.0","0.42693489288278497|0.8617804697644604|0.27094765205274174|1.0199724411894588|0.8236601573470638","0.42724608533446895|0.8640868939941535|0.2735441338873392|1.010366842634574|0.8319458024387784","100.0|100.0|100.0|100.0|100.0","0.11273366355597458|0.04047566430251077|0.03533065689901456|0.3032208126106647|0.04915137339687913","true","","Centrohelea->TAGIRI-17","0.0"
"correl_pearson|dist_bray|sim_mutInfo|correl_spearman","77.83333333333333","","copresence","Centrohelea->Rhinosporideacae","4","0.8263100702463319|0.2914187069491704|0.34913498855374314|0.7028670608517186","correl_pearson=copresence|dist_bray=copresence|sim_mutInfo=unknown|correl_spearman=copresence","correl_pearson=0.001069794611397279|dist_bray=0.03192627587768371|sim_mutInfo=0.18371876471020449|correl_spearman=0.008393595763121264","correl_pearson=0.8263100702463319|dist_bray=0.2914187069491704|sim_mutInfo=0.34913498855374314|correl_spearman=0.7028670608517186","Centrohelea->Rhinosporideacae","-0.006213688399999998","-0.036074715","0.13495916749262832","0.8263100702463319","2.3575270251308122E-4","2.3575270251308122E-4","0.005428771135951912","0.8180575004603606|0.2935488227710196|0.37939156075306046|0.6873448786840336","0.8298481285257913|0.29253240386377183|0.3668457262751992|0.6876014159341677","100.0|100.0|100.0|100.0","0.0720815415268351|0.05299747306690078|0.09362535165559327|0.08630414226800523","false","","Centrohelea->Rhinosporideacae","0.005428771135951912"
"correl_spearman|dist_kullbackleibler|dist_bray|correl_pearson|sim_mutInfo","252.49999999999952","","copresence","Centrohelea->Amastigomonas-bermudensis","5","0.7857611706179362|1.2133645843167515|0.32964268074941205|0.8424372303094494|0.42952986962853146","correl_spearman=copresence|dist_kullbackleibler=copresence|dist_bray=copresence|correl_pearson=copresence|sim_mutInfo=unknown","correl_spearman=0.0029519715762895693|dist_kullbackleibler=0.0|dist_bray=0.030432417289180114|correl_pearson=3.637726870154845E-4|sim_mutInfo=0.14840041694102502","correl_spearman=0.7857611706179362|dist_kullbackleibler=1.2133645843167515|dist_bray=0.32964268074941205|correl_pearson=0.8424372303094494|sim_mutInfo=0.42952986962853146","Centrohelea->Amastigomonas-bermudensis","-0.006003755699999998","-0.005162195","0.13041992468329916","0.7857611706179362","0.0","0.0","0.0","0.7685417938246615|1.2547444482748138|0.3244879423517027|0.8441061334331974|0.45865619239023336","0.7785681704532731|1.2084105252458133|0.32953872195249445|0.8587243729843198|0.46770335698907606","82.0|82.0|82.0|82.0|82.0","0.07915160001938851|0.42365001626291887|0.06159410498330219|0.06493718612525069|0.1263652202061881","true","","Centrohelea->Amastigomonas-bermudensis","0.0"
"sim_mutInfo|correl_pearson|dist_bray|correl_spearman|dist_kullbackleibler","2.0","","copresence","D52->Metromonadea","5","0.33609505441244236|0.5483691808671334|0.34347905148999025|0.7028390885346709|1.0049064707012585","sim_mutInfo=unknown|correl_pearson=copresence|dist_bray=copresence|correl_spearman=copresence|dist_kullbackleibler=copresence","sim_mutInfo=0.17747403761162128|correl_pearson=0.03116165564249984|dist_bray=0.1335950846540508|correl_spearman=0.008337621840892817|dist_kullbackleibler=1.7240320282496668E-10","sim_mutInfo=0.33609505441244236|correl_pearson=0.5483691808671334|dist_bray=0.34347905148999025|correl_spearman=0.7028390885346709|dist_kullbackleibler=1.0049064707012585","D52->Metromonadea","0.09124903360000002","0.082714855","0.042450405671087724","0.33609505441244236","8.502365478335605E-11","8.502365478335605E-11","8.750495736172747E-9","0.4227942487855536|0.5647359927284278|0.3289899083570754|0.7050127298426605|0.9347083345347984","0.428301164086049|0.570883766391503|0.32601895039875867|0.720397368741898|0.8769797566306965","100.0|100.0|100.0|100.0|100.0","0.12846057831545435|0.09331351443299683|0.04184879490175699|0.08601455454847272|0.26814784085864407","true","","D52->Metromonadea","8.750495736172747E-9"
"correl_pearson|dist_bray|sim_mutInfo|correl_spearman|dist_kullbackleibler","214.0","","copresence","D52->Araeolaimida","5","0.5793757031677591|0.30267559745965544|0.31199245176386303|0.7312324742980949|0.8701379894215855","correl_pearson=copresence|dist_bray=copresence|sim_mutInfo=unknown|correl_spearman=copresence|dist_kullbackleibler=copresence","correl_pearson=0.03522853161267747|dist_bray=0.12702425661835304|sim_mutInfo=0.2253057455050611|correl_spearman=0.002974649577168864|dist_kullbackleibler=4.334117953419536E-9","correl_pearson=0.5793757031677591|dist_bray=0.30267559745965544|sim_mutInfo=0.31199245176386303|correl_spearman=0.7312324742980949|dist_kullbackleibler=0.8701379894215855","D52->Araeolaimida","-0.021758563300000006","-0.020415595","0.1342108893627104","0.5793757031677591","7.618706776568729E-10","7.618706776568729E-10","6.985661504406564E-8","0.5872386532335299|0.3012228278122791|0.39989778720275637|0.7142148216952013|0.8612271380417641","0.590533195066588|0.2940286849937587|0.41256689531662993|0.7296102032872054|0.8333057347578268","100.0|100.0|100.0|100.0|100.0","0.11333712973206019|0.04822443470556692|0.15560447373727418|0.07403540512182354|0.2116340372101469","true","","D52->Araeolaimida","6.985661504406564E-8"
"sim_mutInfo|dist_bray|correl_pearson|dist_kullbackleibler|correl_spearman","52.358730158730125","","copresence","Apicomplexa->Labyrinthuloides","5","0.2347819656860497|0.3129214279673871|0.5902685768470233|0.698434781782093|0.6374967984290962","sim_mutInfo=unknown|dist_bray=copresence|correl_pearson=copresence|dist_kullbackleibler=copresence|correl_spearman=copresence","sim_mutInfo=0.22775600313592248|dist_bray=0.1385308143233155|correl_pearson=0.029890054247423303|dist_kullbackleibler=8.11724341467368E-5|correl_spearman=0.03819662539354163","sim_mutInfo=0.2347819656860497|dist_bray=0.3129214279673871|correl_pearson=0.5902685768470233|dist_kullbackleibler=0.698434781782093|correl_spearman=0.6374967984290962","Apicomplexa->Labyrinthuloides","0.10081976159999999","0.09430052","0.03654250490387351","0.2347819656860497","2.4268352933787263E-5","2.4268352933787263E-5","7.632653646358666E-4","0.35233657876465085|0.30407622278574925|0.592988461831459|0.6682875145676868|0.6248933618396485","0.353744309693631|0.2971799522403918|0.6085867670959917|0.6646331663395885|0.6372416801189718","100.0|100.0|100.0|100.0|100.0","0.11359439000046216|0.03801413200457773|0.10373747404060576|0.16924161467741425|0.1161919974100883","false","","Apicomplexa->Labyrinthuloides","7.632653646358666E-4"
"dist_bray|correl_spearman|correl_pearson|dist_kullbackleibler|sim_mutInfo","74.14603174603171","","copresence","Apicomplexa->Amastigomonas-mutabilis","5","0.32636791654605013|0.6059079655084099|0.5320315192346157|0.7705664311047127|0.24518875816869734","dist_bray=copresence|correl_spearman=copresence|correl_pearson=copresence|dist_kullbackleibler=copresence|sim_mutInfo=unknown","dist_bray=0.17585100363410944|correl_spearman=0.03903410714498412|correl_pearson=0.05573724881947051|dist_kullbackleibler=2.146451885334244E-4|sim_mutInfo=0.21549514553362115","dist_bray=0.32636791654605013|correl_spearman=0.6059079655084099|correl_pearson=0.5320315192346157|dist_kullbackleibler=0.7705664311047127|sim_mutInfo=0.24518875816869734","Apicomplexa->Amastigomonas-mutabilis","0.4983334622000002","0.49922413","0.03638203800206966","0.32636791654605013","1.0103401625161101E-4","1.0103401625161101E-4","0.0026128950972147402","0.3224124892307492|0.5921365937246227|0.5289830506315224|0.7427126454003269|0.3363121352414191","0.3169149132058863|0.6055639365013024|0.5449452052044084|0.709156312872955|0.32809160134441173","100.0|100.0|100.0|100.0|100.0","0.035683096376097664|0.11006716052889652|0.10854463379553031|0.14095033634824689|0.08609779110099348","false","","Apicomplexa->Amastigomonas-mutabilis","0.0026128950972147402"
"sim_mutInfo|correl_pearson|dist_kullbackleibler|dist_bray|correl_spearman","67.36428571428567","","copresence","Apicomplexa->Vampyrellidae-order-incertae-sedis","5","0.27670733317515106|0.6047979028592467|0.7116033049454058|0.3034063962242616|0.6362161700674468","sim_mutInfo=unknown|correl_pearson=copresence|dist_kullbackleibler=copresence|dist_bray=copresence|correl_spearman=copresence","sim_mutInfo=0.22425763454082082|correl_pearson=0.023505785158896564|dist_kullbackleibler=9.774414109653407E-6|dist_bray=0.12410084580362224|correl_spearman=0.01716903083477117","sim_mutInfo=0.27670733317515106|correl_pearson=0.6047979028592467|dist_kullbackleibler=0.7116033049454058|dist_bray=0.3034063962242616|correl_spearman=0.6362161700674468","Apicomplexa->Vampyrellidae-order-incertae-sedis","0.10658102519999998","0.09924874","0.04863838012023033","0.27670733317515106","1.6761358001549098E-6","1.6761358001549098E-6","6.928485934574762E-5","0.34601549314908975|0.6172502436273226|0.684717712426483|0.2970229726591544|0.6255680179091709","0.3350885578696212|0.6266544322816439|0.6885764705542341|0.296278476107812|0.6328357559693272","100.0|100.0|100.0|100.0|100.0","0.09980630646182473|0.10297323590610388|0.13776071310712687|0.0357722702797757|0.08386763850233199","true","","Apicomplexa->Vampyrellidae-order-incertae-sedis","6.928485934574762E-5"
"correl_spearman|dist_bray|dist_kullbackleibler|correl_pearson","22.13095238095238","","copresence","Apicomplexa->Syndiniales-Group-II","4","0.6578161017672676|0.28040260042369236|0.585947640304685|0.6468306886063723","correl_spearman=copresence|dist_bray=copresence|dist_kullbackleibler=copresence|correl_pearson=copresence","correl_spearman=0.014513057866295143|dist_bray=0.15359625867809257|dist_kullbackleibler=0.0035018219908321546|correl_pearson=0.013840909312530514","correl_spearman=0.6578161017672676|dist_bray=0.28040260042369236|dist_kullbackleibler=0.585947640304685|correl_pearson=0.6468306886063723","Apicomplexa->Syndiniales-Group-II","-0.0194800647","-0.0010244999999999998","0.1485238436731903","0.6578161017672676","4.0879975313012906E-4","4.0879975313012906E-4","0.008625845836967535","0.6487805931772372|0.2750563775809477|0.5626329854857924|0.6520588167886048","0.6531669924832857|0.2741379137371328|0.5595338975442402|0.6527937584464738","100.0|100.0|100.0|100.0","0.09369834768954928|0.029527502313604848|0.1134975519595626|0.08820326665977156","false","","Apicomplexa->Syndiniales-Group-II","0.008625845836967535"
"correl_pearson|correl_spearman|dist_bray|sim_mutInfo|dist_kullbackleibler","19.677908902691506","","copresence","Labyrinthuloides->Vampyrellidae-order-incertae-sedis","5","0.6566103892468842|0.6834286690002566|0.26073583027445624|0.3544501626663905|0.6337121742229426","correl_pearson=copresence|correl_spearman=copresence|dist_bray=copresence|sim_mutInfo=unknown|dist_kullbackleibler=copresence","correl_pearson=0.013614473354612022|correl_spearman=0.009508636569465767|dist_bray=0.10715976880183486|sim_mutInfo=0.2781387805035483|dist_kullbackleibler=4.5901967248296316E-5","correl_pearson=0.6566103892468842|correl_spearman=0.6834286690002566|dist_bray=0.26073583027445624|sim_mutInfo=0.3544501626663905|dist_kullbackleibler=0.6337121742229426","Labyrinthuloides->Vampyrellidae-order-incertae-sedis","-0.009733052599999991","-0.009731585000000001","0.1152932360165985","0.6566103892468842","2.486833134640598E-6","2.486833134640598E-6","9.953253569835346E-5","0.6487440498837154|0.6672707651344311|0.26118381926899437|0.3112421311152606|0.6319833651689998","0.6598239058928241|0.6754379903013408|0.2634506940151388|0.30631208826190015|0.6134833128641004","100.0|100.0|100.0|100.0|100.0","0.08891943822662615|0.07985630529531569|0.03458645900701885|0.12982108661223832|0.16794877661765947","true","","Labyrinthuloides->Vampyrellidae-order-incertae-sedis","9.953253569835346E-5"
