"abundance","AverageShortestPathLength","BetweennessCentrality","class","ClosenessCentrality","ClusteringCoefficient","degree","Eccentricity","family","genus","IsSingleNode","kingdom","Label","name","negdegree","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","order","oriID","PartnerOfMultiEdgedNodePairs","phylum","pi","posdegree","Radiality","samplecount","selected","SelfLoops","shared name","species","Stress","superkingdom","TopologicalCoefficient","unknowndegree"
"0.03129413316967005","1.0","0.0","Spirotrichea","1.0","0.0","1","1","Protogastrostyla family incertae sedis","Protogastrostyla","false","Alveolata","Protogastrostyla","Protogastrostyla","0","1.0","0","1","Hypotrichia","Protogastrostyla","0","Ciliophora","2","1","1.0","39","false","0","Protogastrostyla","NA","0","SAR","0.0","0"
"0.06275965240171905","1.0","0.0","Syndiniales","1.0","0.0","1","1","NA","NA","false","Alveolata","Syndiniales","Syndiniales","0","1.0","0","1","NA","Syndiniales","0","Syndiniales class incertae sedis","0","1","1.0","47","false","0","Syndiniales","NA","0","SAR","0.0","0"
"0.1460211155104865","6.907407407407407","0.0","Dinoflagellata incertae sedis","0.1447721179624665","0.0","1","15","NA","NA","false","Alveolata","Dinoflagellata-incertae-sedis","Dinoflagellata-incertae-sedis","0","5.0","0","1","NA","Dinoflagellata-incertae-sedis","0","Dinoflagellata","1","1","0.7637037037037037","51","false","0","Dinoflagellata-incertae-sedis","NA","0","SAR","0.0","0"
"0.002639084107576205","7.916666666666667","0.0","Typhlocoela","0.12631578947368421","0.0","1","13","NA","NA","false","Metazoa (Animalia)","Cydippida","Cydippida","1","3.0","0","1","Cydippida","Cydippida","0","Ctenophora","0","0","0.7233333333333333","21","false","0","Cydippida","NA","0","Opisthokonta","0.0","0"
"0.2242544391163632","7.175925925925926","0.0","Hyphochytriomycetes","0.13935483870967744","0.0","1","11","NA","NA","false","Stramenopiles","Hyphochytriales","Hyphochytriales","0","2.0","0","1","Hyphochytriales","Hyphochytriales","0","Hyphochytriomycetes phylum incertae sedis","0","1","0.7529629629629631","52","false","0","Hyphochytriales","NA","0","SAR","0.0","0"
"0.006318689481707786","5.277777777777778","0.0","Granofilosea","0.18947368421052632","0.0","1","10","NA","NA","false","Rhizaria","Granofilosea","Granofilosea","0","7.0","0","1","NA","Granofilosea","0","Cercozoa","0","1","0.8288888888888889","33","false","0","Granofilosea","NA","0","SAR","0.0","0"
"0.009324930112335417","5.277777777777778","0.0","Spirotrichea","0.18947368421052632","0.0","1","10","NA","NA","false","Alveolata","Hypotrichia","Hypotrichia","0","7.0","0","1","Hypotrichia","Hypotrichia","0","Ciliophora","0","1","0.8288888888888889","35","false","0","Hypotrichia","NA","0","SAR","0.0","0"
"0.011578167789375074","6.777777777777778","0.0","Hydrozoa","0.14754098360655737","0.0","1","12","NA","NA","false","Metazoa (Animalia)","Siphonophorae","Siphonophorae","1","8.0","0","1","Siphonophorae","Siphonophorae","0","Cnidaria","1","0","0.7688888888888888","28","false","0","Siphonophorae","NA","0","Opisthokonta","0.0","0"
"0.0020106730943574725","5.333333333333333","0.0","Acanthoecida","0.1875","0.0","1","9","Acanthoecidae","NA","false","Choanomonada","Acanthoecidae","Acanthoecidae","0","12.0","0","1","Acanthoecidae order incertae sedis","Acanthoecidae","0","Choanoflagellida","0","1","0.8266666666666667","19","false","0","Acanthoecidae","NA","0","Opisthokonta","0.0","0"
"0.26928032424335263","1.0","0.0","Imbricatea","1.0","0.0","1","1","Thaumatomonadidae","NA","false","Rhizaria","Thaumatomonadidae","Thaumatomonadidae","0","1.0","0","1","Thaumatomonadida","Thaumatomonadidae","0","Cercozoa","1","1","1.0","51","false","0","Thaumatomonadidae","NA","0","SAR","0.0","0"
"0.010827158055671936","1.0","0.0","Metromonadea","1.0","0.0","1","1","Metopion family incertae sedis","NA","false","Rhizaria","Metopion-family-incertae-sedis","Metopion-family-incertae-sedis","0","1.0","0","1","Metopion order incertae sedis","Metopion-family-incertae-sedis","0","Cercozoa","0","1","1.0","48","false","0","Metopion-family-incertae-sedis","NA","0","SAR","0.0","0"
"0.01342509466086634","6.925925925925926","0.01886465905157494","Sordariomycetes","0.1443850267379679","0.0","3","12","NA","NA","false","Fungi","Microascales","Microascales","3","2.0","0","3","Microascales","Microascales","0","Ascomycota","3","0","0.7629629629629631","26","false","0","Microascales","NA","4606","Opisthokonta","0.5","0"
"1.648879573770786","1.0","0.0","Peronosporomycetes","1.0","0.0","1","1","NA","NA","false","Stramenopiles","Peronosporomycetes","Peronosporomycetes","0","1.0","0","1","NA","Peronosporomycetes","0","Peronosporomycetes phylum incertae sedis","0","1","1.0","52","false","0","Peronosporomycetes","NA","0","SAR","0.0","0"
"0.6824838617594263","1.0","0.0","Prostomatea","1.0","0.0","1","1","Cryptocaryon family incertae sedis","Cryptocaryon","false","Alveolata","Cryptocaryon","Cryptocaryon","0","1.0","0","1","Cryptocaryon order incertae sedis","Cryptocaryon","0","Ciliophora","0","1","1.0","51","false","0","Cryptocaryon","NA","0","SAR","0.0","0"
"4.569958544213263","5.916666666666667","0.01851851851851852","NA","0.16901408450704225","0.6","5","14","NA","NA","false","Alveolata","Alveolata","Alveolata","0","11.8","0","5","NA","Alveolata","0","NA","0","5","0.8033333333333332","52","false","0","Alveolata","NA","850","SAR","0.464","0"
