"cooc_method","EdgeBetweenness","interaction","interactionType","Label","method_number","method_scores","methodname_interactiontype","methodname_pval","methodname_score","name","nulldistribmean","nulldistribmedian","nulldistribsd","oriScore","pval","pval-brown-merge","qval","randdistribMean","randdistribMedian","randdistribNumNonNaNScores","randdistribSD","selected","shared interaction","shared name","weight"
"dist_bray|correl_pearson|correl_spearman|dist_kullbackleibler|sim_mutInfo","5.298740370186392","","copresence","Arthropoda->Siphonophorae","5","0.47295877904365424|0.1973532234317406|0.6595103100335401|1.8012132849162317|0.45573408505264545","dist_bray=copresence|correl_pearson=copresence|correl_spearman=copresence|dist_kullbackleibler=copresence|sim_mutInfo=unknown","dist_bray=0.2854385362908538|correl_pearson=0.23293831804602644|correl_spearman=0.017837876159520094|dist_kullbackleibler=2.118806174955523E-8|sim_mutInfo=0.21183428107292263","dist_bray=0.47295877904365424|correl_pearson=0.1973532234317406|correl_spearman=0.6595103100335401|dist_kullbackleibler=1.8012132849162317|sim_mutInfo=0.45573408505264545","Arthropoda->Siphonophorae","0.6074225914","0.60919882","0.059558662779458135","0.47295877904365424","1.119940917782003E-9","1.119940917782003E-9","8.355114783453039E-9","0.44921316733362|0.2576105576194867|0.6581971500642102|1.6284431417112304|0.5073116557966981","0.45674560498303385|0.2389095134616797|0.665413046273841|1.6597625625241903|0.5256701954035732","100.0|100.0|100.0|100.0|100.0","0.07792304501166827|0.1654964937889083|0.11021484404643182|0.47727449551348955|0.17669393014921905","false","","Arthropoda->Siphonophorae","8.355114783453039E-9"
"correl_pearson|correl_spearman|sim_mutInfo|dist_kullbackleibler","19.102908740005514","","copresence","Arthropoda->Neochromadora","4","0.04636845572972101|0.3676547444016692|0.2669408479074571|8.294164346321448","correl_pearson=copresence|correl_spearman=copresence|sim_mutInfo=unknown|dist_kullbackleibler=copresence","correl_pearson=0.39663473162273|correl_spearman=0.1946267770976245|sim_mutInfo=0.33125606414086983|dist_kullbackleibler=0.0024148249358831864","correl_pearson=0.04636845572972101|correl_spearman=0.3676547444016692|sim_mutInfo=0.2669408479074571|dist_kullbackleibler=8.294164346321448","Arthropoda->Neochromadora","-0.026896358699999998","-0.069134495","0.16811652421274947","0.04636845572972101","0.01984643013490406","0.01984643013490406","0.04759092940512708","0.08673585525469284|0.35995634275811556|0.2597992719676287|7.181843794670918","0.10363278030744791|0.37655538926238274|0.2603379032409018|6.9396179022745725","16.0|16.0|16.0|16.0","0.18800823227613936|0.1792456417353908|0.09521039101739294|1.861076293904374","false","","Arthropoda->Neochromadora","0.04759092940512708"
"dist_bray|dist_kullbackleibler|sim_mutInfo|correl_pearson|correl_spearman","3.8051587301587304","","copresence","Arthropoda->Adenophorea","5","0.5704279494758902|4.113788930880233|0.33206535855046804|0.26650744053640746|0.6018491978566302","dist_bray=copresence|dist_kullbackleibler=copresence|sim_mutInfo=unknown|correl_pearson=copresence|correl_spearman=copresence","dist_bray=0.24194598153943092|dist_kullbackleibler=1.9269862550075345E-7|sim_mutInfo=0.30050430620597757|correl_pearson=0.15527893471573845|correl_spearman=0.05052061752823911","dist_bray=0.5704279494758902|dist_kullbackleibler=4.113788930880233|sim_mutInfo=0.33206535855046804|correl_pearson=0.26650744053640746|correl_spearman=0.6018491978566302","Arthropoda->Adenophorea","0.7503263487999996","0.760166635","0.059496608850273316","0.5704279494758902","3.395775138859136E-8","3.395775138859136E-8","2.0593733100177986E-7","0.5551092635867432|3.9782510192990035|0.3525969667614445|0.321731818351821|0.5925274824790255","0.5531353501951501|3.9339860342066366|0.3382326925105159|0.2968005861435375|0.5976893839162281","90.0|90.0|90.0|90.0|90.0","0.07776234511652873|1.1111134482101628|0.13215962268891213|0.1295387380359135|0.1278607415697093","false","","Arthropoda->Adenophorea","2.0593733100177986E-7"
"correl_spearman|dist_kullbackleibler|sim_mutInfo","16.648616473616475","","copresence","Arthropoda->Glycera-alba","3","0.45337930173497243|8.024879708144564|0.1596316599950458","correl_spearman=copresence|dist_kullbackleibler=copresence|sim_mutInfo=unknown","correl_spearman=0.11383900270681041|dist_kullbackleibler=3.1353959950575216E-6|sim_mutInfo=0.33029750588386453","correl_spearman=0.45337930173497243|dist_kullbackleibler=8.024879708144564|sim_mutInfo=0.1596316599950458","Arthropoda->Glycera-alba","-0.010386225100000004","-0.010083715","0.171604613145652","0.45337930173497243","5.87855768896528E-5","5.87855768896528E-5","2.0696045796357167E-4","0.43834824033035785|6.5152563942853305|0.2498267052270551","0.44688313640825444|7.066652470619551|0.2360501139446578","54.0|54.0|54.0","0.13836418102437695|2.0667043228176016|0.09468040697842448","false","","Arthropoda->Glycera-alba","2.0696045796357167E-4"
"correl_spearman|dist_bray|dist_kullbackleibler|correl_pearson|sim_mutInfo","4.631499647676117","","copresence","Arthropoda->Clitellata","5","0.645340438959475|0.506157777422586|3.0220692458542553|0.13616527241380288|0.36229824386799514","correl_spearman=copresence|dist_bray=copresence|dist_kullbackleibler=copresence|correl_pearson=copresence|sim_mutInfo=unknown","correl_spearman=0.03227603986807581|dist_bray=0.26732664242092774|dist_kullbackleibler=9.495863650954561E-9|correl_pearson=0.28992152328400567|sim_mutInfo=0.2031159658486339","correl_spearman=0.645340438959475|dist_bray=0.506157777422586|dist_kullbackleibler=3.0220692458542553|correl_pearson=0.13616527241380288|sim_mutInfo=0.36229824386799514","Arthropoda->Clitellata","0.033117160599999994","0.010778855","0.18650796387303914","0.645340438959475","1.001141725076593E-9","1.001141725076593E-9","7.589300173967722E-9","0.6334268304732081|0.4927823050204042|2.8215873532646123|0.2031044713312262|0.46733249080746037","0.6406257257406766|0.4887532054023792|2.815552613956945|0.15437643846769822|0.47237340458877264","100.0|100.0|100.0|100.0|100.0","0.1054832255169568|0.08927162900875181|0.9088975240653595|0.17652959826206943|0.12997641167441243","false","","Arthropoda->Clitellata","7.589300173967722E-9"
"sim_mutInfo|dist_bray|dist_kullbackleibler|correl_spearman|correl_pearson","3.9485473059002465","","copresence","Arthropoda->Plotocnide-borealis","5","0.5893703029185176|0.4654369509640198|1.865157880172636|0.7239545017082982|0.5055603639371823","sim_mutInfo=unknown|dist_bray=copresence|dist_kullbackleibler=copresence|correl_spearman=copresence|correl_pearson=copresence","sim_mutInfo=0.1860605967742418|dist_bray=0.16792491904524387|dist_kullbackleibler=1.3100631690576847E-13|correl_spearman=0.009270359540413331|correl_pearson=0.10688177736773091","sim_mutInfo=0.5893703029185176|dist_bray=0.4654369509640198|dist_kullbackleibler=1.865157880172636|correl_spearman=0.7239545017082982|correl_pearson=0.5055603639371823","Arthropoda->Plotocnide-borealis","0.1714510679","0.16744595","0.059849572798485524","0.5893703029185176","1.1102230246251565E-16","1.1102230246251565E-16","1.7393494052460785E-15","0.5272277255882774|0.44105315255921823|1.8031501272022874|0.707635676487934|0.5169933939887152","0.5381716613174286|0.4408455583402415|1.7394161684917135|0.7057898059675493|0.5558887752821571","100.0|100.0|100.0|100.0|100.0","0.15890280035584428|0.07120610306945475|0.4968206079409738|0.09505626998004466|0.1943287029322054","false","","Arthropoda->Plotocnide-borealis","1.7393494052460785E-15"
"dist_bray|dist_kullbackleibler|correl_pearson|correl_spearman|sim_mutInfo","4.601327267503738","","copresence","Arthropoda->Basommatophora","5","0.6401019049844865|5.270969110576367|0.16666115597224568|0.4409434085760584|0.246615774587029","dist_bray=copresence|dist_kullbackleibler=copresence|correl_pearson=copresence|correl_spearman=copresence|sim_mutInfo=unknown","dist_bray=0.32811693094199534|dist_kullbackleibler=2.5876616633291327E-4|correl_pearson=0.2798927436670967|correl_spearman=0.12099817204655605|sim_mutInfo=0.37166979660516325","dist_bray=0.6401019049844865|dist_kullbackleibler=5.270969110576367|correl_pearson=0.16666115597224568|correl_spearman=0.4409434085760584|sim_mutInfo=0.246615774587029","Arthropoda->Basommatophora","0.7400641955","0.73977216","0.06642757631028254","0.6401019049844865","5.201909205593269E-4","5.201909205593269E-4","0.0015474033712840737","0.6129158885575214|4.692543387977347|0.2050077588228528|0.43363923574247165|0.26498922786745066","0.617031147132491|4.689325875211046|0.17575338025881587|0.45713217231837344|0.2652677796925613","82.0|82.0|82.0|82.0|82.0","0.08159605771229385|1.1772240684530193|0.13293330506260306|0.1417656437521701|0.09809677502950173","false","","Arthropoda->Basommatophora","0.0015474033712840737"
"correl_pearson|sim_mutInfo|dist_bray|dist_kullbackleibler|correl_spearman","9.38447116049856","","copresence","Arthropoda->Metridium","5","0.1368627520139|0.26135083179150653|0.7043060086301314|5.186957136793875|0.38258447001898194","correl_pearson=copresence|sim_mutInfo=unknown|dist_bray=copresence|dist_kullbackleibler=copresence|correl_spearman=copresence","correl_pearson=0.27127045059191834|sim_mutInfo=0.42141884054907774|dist_bray=0.34930074293192526|dist_kullbackleibler=3.329639712301713E-5|correl_spearman=0.1611358765531547","correl_pearson=0.1368627520139|sim_mutInfo=0.26135083179150653|dist_bray=0.7043060086301314|dist_kullbackleibler=5.186957136793875|correl_spearman=0.38258447001898194","Arthropoda->Metridium","-0.02682529240000002","-0.062737495","0.16462180230254994","0.1368627520139","1.0728069752330427E-4","1.0728069752330427E-4","3.56338712621576E-4","0.17325192467330977|0.22782979856867253|0.6642770364378426|4.665799753860352|0.36807355411986586","0.15352883388278177|0.2235406197044678|0.6721870684381812|4.740521202891239|0.37473544527838865","62.0|62.0|62.0|62.0|62.0","0.10794340515412494|0.11341370890839904|0.06404553789894894|0.8328585526670228|0.14737828424625635","false","","Arthropoda->Metridium","3.56338712621576E-4"
"sim_mutInfo|dist_kullbackleibler|correl_spearman|correl_pearson|dist_bray","6.18547541047541","","copresence","Arthropoda->Anthozoa","5","0.5819059875721813|1.7098336779908712|0.7110823487579747|0.20359678301470885|0.4853848074156004","sim_mutInfo=unknown|dist_kullbackleibler=copresence|correl_spearman=copresence|correl_pearson=copresence|dist_bray=copresence","sim_mutInfo=0.1632300478596787|dist_kullbackleibler=3.4418489169851796E-8|correl_spearman=0.012423096241501952|correl_pearson=0.23673270068741858|dist_bray=0.2629254307863369","sim_mutInfo=0.5819059875721813|dist_kullbackleibler=1.7098336779908712|correl_spearman=0.7110823487579747|correl_pearson=0.20359678301470885|dist_bray=0.4853848074156004","Arthropoda->Anthozoa","0.17175125599999996","0.16166077","0.06831709513241484","0.5819059875721813","8.881585467079844E-10","8.881585467079844E-10","6.7875531211829705E-9","0.5480297938487737|1.5984072802865308|0.6828046905158495|0.24564933636288097|0.47594179587538876","0.5509265072211551|1.5971197952779645|0.7043563551798688|0.23150685512047883|0.4749781254463666","100.0|100.0|100.0|100.0|100.0","0.14704244644976372|0.3366702818060456|0.10031730235039893|0.12000038612990153|0.06551996704904996","false","","Arthropoda->Anthozoa","6.7875531211829705E-9"
"correl_spearman|dist_kullbackleibler|correl_pearson|dist_bray|sim_mutInfo","4.217799683976155","","copresence","Arthropoda->Chromadorida","5","0.5371131603894621|3.570716745063014|0.17503138518001923|0.5558057859594567|0.29351791127810145","correl_spearman=copresence|dist_kullbackleibler=copresence|correl_pearson=copresence|dist_bray=copresence|sim_mutInfo=unknown","correl_spearman=0.04439669254078821|dist_kullbackleibler=6.760443316267128E-10|correl_pearson=0.24008476999891126|dist_bray=0.3004205160340714|sim_mutInfo=0.2722309675048755","correl_spearman=0.5371131603894621|dist_kullbackleibler=3.570716745063014|correl_pearson=0.17503138518001923|dist_bray=0.5558057859594567|sim_mutInfo=0.29351791127810145","Arthropoda->Chromadorida","-0.06602279240000002","-0.061610035","0.15707524624053942","0.5371131603894621","8.943834561847552E-11","8.943834561847552E-11","8.242357341310489E-10","0.5126799163831424|3.449454313326287|0.21197287061775483|0.5322534288458513|0.3779656186844765","0.5301867168119749|3.3517787806215087|0.1931042621930225|0.5421590637989796|0.3808441531260448","100.0|100.0|100.0|100.0|100.0","0.11563662378415258|0.8640814761107094|0.1470714898053336|0.0710709806088092|0.13263031807248338","false","","Arthropoda->Chromadorida","8.242357341310489E-10"
