"abundance","AverageShortestPathLength","BetweennessCentrality","class","ClosenessCentrality","ClusteringCoefficient","degree","Eccentricity","family","genus","IsSingleNode","Label","name","negdegree","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","order","oriID","PartnerOfMultiEdgedNodePairs","phylum","pi","posdegree","Radiality","samplecount","selected","SelfLoops","shared name","species","Stress","TopologicalCoefficient","unknowndegree"
"1.5619414122401765","1.372093023255814","0.03372935160108995","NA","0.728813559322034","0.6059113300492611","29","3","NA","NA","false","Arthropoda","Arthropoda","1","21.310344827586206","0","29","NA","Arthropoda","0","Arthropoda","0","28","0.9879969992498124","32","false","0","Arthropoda","NA","480","0.5197645079899075","0"
"0.19858813668505654","1.372093023255814","0.023237257486569282","Hydrozoa","0.728813559322034","0.6507936507936508","28","3","NA","NA","false","Siphonophorae","Siphonophorae","1","21.75","0","28","Siphonophorae","Siphonophorae","0","Cnidaria","0","27","0.9879969992498124","26","false","0","Siphonophorae","NA","414","0.5178571428571429","0"
"0.08287460091217015","1.627906976744186","0.0035553383877597283","Anthozoa","0.6142857142857143","0.8713450292397661","19","3","NA","NA","false","Anthozoa","Anthozoa","1","24.57894736842105","0","19","NA","Anthozoa","0","Cnidaria","0","18","0.9797449362340586","28","false","0","Anthozoa","NA","74","0.6144736842105263","0"
"2.2502323417568233","1.302325581395349","0.12265388659116348","Hexanauplia","0.7678571428571428","0.5806451612903226","31","3","NA","NA","false","Hexanauplia","Hexanauplia","1","20.806451612903224","0","31","NA","Hexanauplia","0","Arthropoda","0","30","0.9902475618904727","30","false","0","Hexanauplia","NA","912","0.5066876475216365","0"
"0.3879427024803071","1.4651162790697674","0.014395987503357242","Clitellata","0.6825396825396826","0.6984615384615385","26","3","NA","NA","false","Clitellata","Clitellata","2","22.615384615384617","0","26","NA","Clitellata","0","Annelida","0","24","0.9849962490622656","19","false","0","Clitellata","NA","290","0.5653846153846154","0"
"0.42599694504762536","1.6046511627906976","0.0128929984611144","Clitellata","0.6231884057971014","0.6789473684210526","20","3","Enchytraeidae","Grania (Enchytraeidae)","false","Grania-postclitellochaeta","Grania-postclitellochaeta","3","21.5","0","20","Enchytraeida","Grania-postclitellochaeta","0","Annelida","0","17","0.9804951237809452","12","false","0","Grania-postclitellochaeta","Grania postclitellochaeta","178","0.5375","0"
"0.5771839831744682","1.697674418604651","0.007877038551281803","Polychaeta","0.589041095890411","0.7","16","3","Pholoidae","Pholoe","false","Pholoe-baltica","Pholoe-baltica","3","21.0","0","16","Phyllodocida","Pholoe-baltica","0","Annelida","0","13","0.9774943735933983","17","false","0","Pholoe-baltica","Pholoe baltica","104","0.525","0"
"2.752079159546036","1.4883720930232558","0.0117360791231857","Hydrozoa","0.671875","0.7391304347826086","23","3","NA","NA","false","Hydrozoa","Hydrozoa","1","22.73913043478261","0","23","NA","Hydrozoa","0","Cnidaria","0","22","0.9842460615153789","33","false","0","Hydrozoa","NA","224","0.5414078674948241","0"
"0.08159501685681281","1.6511627906976745","0.004591009268574783","NA","0.6056338028169014","0.7973856209150327","18","3","NA","NA","false","Platyhelminthes","Platyhelminthes","2","23.333333333333332","0","18","NA","Platyhelminthes","0","Platyhelminthes","0","16","0.9789947486871717","16","false","0","Platyhelminthes","NA","92","0.5833333333333334","0"
"0.10824409568462859","1.441860465116279","0.020428322974328634","Hydrozoa","0.6935483870967742","0.6523076923076923","26","3","Boreohydridae","Plotocnide","false","Plotocnide-borealis","Plotocnide-borealis","2","22.115384615384617","0","26","Anthoathecata","Plotocnide-borealis","0","Cnidaria","1","24","0.9857464366091523","23","false","0","Plotocnide-borealis","Plotocnide borealis","354","0.5393996247654784","0"
