"cooc_method","EdgeBetweenness","interaction","interactionType","Label","method_number","method_scores","methodname_interactiontype","methodname_pval","methodname_score","name","nulldistribmean","nulldistribmedian","nulldistribsd","oriScore","pval","pval-brown-merge","qval","randdistribMean","randdistribMedian","randdistribNumNonNaNScores","randdistribSD","selected","shared interaction","shared name","weight"
"dist_bray|dist_kullbackleibler|correl_pearson|correl_spearman|sim_mutInfo","94.0","","mutualExclusion","Spionida->Basommatophora","5","0.963183450873573|17.892750748210943|-0.21893801350406905|-0.4363008165084565|0.1494324937694076","dist_bray=mutualExclusion|dist_kullbackleibler=mutualExclusion|correl_pearson=mutualExclusion|correl_spearman=mutualExclusion|sim_mutInfo=unknown","dist_bray=0.1502132602977736|dist_kullbackleibler=4.432225817641022E-5|correl_pearson=0.13469467555896875|correl_spearman=0.10757180862881044|sim_mutInfo=0.32690893239264074","dist_bray=0.963183450873573|dist_kullbackleibler=17.892750748210943|correl_pearson=-0.21893801350406905|correl_spearman=-0.4363008165084565|sim_mutInfo=0.1494324937694076","Spionida->Basommatophora","0.8223086278999999","0.824293865","0.07296451733054819","0.963183450873573","2.4838114837333336E-5","2.4838114837333336E-5","1.877847130374253E-4","0.958982288851078|17.493910005600853|-0.22892655100310721|-0.4458428035124136|0.2247275598966326","0.9620853583279614|17.53551574241444|-0.2253628955459747|-0.4426343611595995|0.21766936272756698","96.0|96.0|96.0|96.0|96.0","0.017420209456395247|1.6856255006651157|0.04966988764664022|0.12367555062596723|0.08015401208359275","false","","Spionida->Basommatophora","1.877847130374253E-4"
"correl_spearman|dist_kullbackleibler","94.0","","copresence","Cephalopoda->Anopla","2","0.41048950876268686|6.35619855693658","correl_spearman=copresence|dist_kullbackleibler=copresence","correl_spearman=0.09143874242062078|dist_kullbackleibler=3.126388037344441E-13","correl_spearman=0.41048950876268686|dist_kullbackleibler=6.35619855693658","Cephalopoda->Anopla","-0.018669801300000004","-0.028598649999999996","0.141606570599246","0.41048950876268686","9.978129433818594E-12","9.978129433818594E-12","2.302847240383923E-10","0.41829618138312114|6.138538545684345","0.41370804118458526|6.035234355156798","18.0|18.0","0.10762697430185289|1.1267035873984401","true","","Cephalopoda->Anopla","2.302847240383923E-10"
"dist_kullbackleibler|correl_pearson","11.508558108558109","","copresence","Echinocardium-flavescens->Paramphinome-jeffreysii","2","5.94832971305393|0.2759151967796406","dist_kullbackleibler=copresence|correl_pearson=copresence","dist_kullbackleibler=0.0|correl_pearson=0.228176032370567","dist_kullbackleibler=5.94832971305393|correl_pearson=0.2759151967796406","Echinocardium-flavescens->Paramphinome-jeffreysii","18.510271363599994","18.858001100000003","3.524177010738373","5.94832971305393","0.0","0.0","0.0","5.848030565692957|0.32665461835388515","5.375176027970671|0.2996114883373548","84.0|84.0","2.008256118849936|0.2134643722573634","true","","Echinocardium-flavescens->Paramphinome-jeffreysii","0.0"
"correl_pearson|correl_spearman|dist_bray|dist_kullbackleibler","42.147587488763975","","copresence","Rhabditophora->Scyphozoa","4","0.4781687497955926|0.39508409296818275|0.6398976123888409|6.401091298851994","correl_pearson=copresence|correl_spearman=copresence|dist_bray=copresence|dist_kullbackleibler=copresence","correl_pearson=0.14636060023822006|correl_spearman=0.11260938317207075|dist_bray=0.2504344069160098|dist_kullbackleibler=1.0559055020564756E-5","correl_pearson=0.4781687497955926|correl_spearman=0.39508409296818275|dist_bray=0.6398976123888409|dist_kullbackleibler=6.401091298851994","Rhabditophora->Scyphozoa","-0.00832716339999999","-0.048868510000000004","0.131240338578014","0.4781687497955926","3.4107364961344366E-5","3.4107364961344366E-5","2.5136268126973955E-4","0.5367785637899709|0.3819977387690783|0.6128840724990902|5.865308030289268","0.5228836275205911|0.3667738808195304|0.6158833274572032|5.910347918758289","72.0|72.0|72.0|72.0","0.2684040173799604|0.11079652299225011|0.12126955594000093|1.906019873710578","false","","Rhabditophora->Scyphozoa","2.5136268126973955E-4"
"dist_bray|sim_mutInfo|correl_pearson|correl_spearman|dist_kullbackleibler","20.471184371184368","","copresence","Bivalvia->Basommatophora","5","0.6462773017893644|0.17665310960889835|0.36771697342170057|0.5650057366921359|4.618926724357913","dist_bray=copresence|sim_mutInfo=unknown|correl_pearson=copresence|correl_spearman=copresence|dist_kullbackleibler=copresence","dist_bray=0.2248109538498011|sim_mutInfo=0.25200299160836226|correl_pearson=0.15518784751496362|correl_spearman=0.04240705318004867|dist_kullbackleibler=4.602984660095899E-13","dist_bray=0.6462773017893644|sim_mutInfo=0.17665310960889835|correl_pearson=0.36771697342170057|correl_spearman=0.5650057366921359|dist_kullbackleibler=4.618926724357913","Bivalvia->Basommatophora","0.8640696798000005","0.87335429","0.06455559458377959","0.6462773017893644","3.197442310920451E-14","3.197442310920451E-14","1.1216627626708943E-12","0.6414962047601662|0.3015765098927449|0.3657600875856277|0.5433610592958792|4.627349483598047","0.6282270845845936|0.2980093816766618|0.3486330050277933|0.5304827462665314|4.464149624415043","100.0|100.0|100.0|100.0|100.0","0.0866664347483853|0.09211716266130981|0.17579861499696764|0.10734401678852927|1.1977880354112402","true","","Bivalvia->Basommatophora","1.1216627626708943E-12"
"sim_mutInfo|correl_spearman|dist_kullbackleibler","34.88034188034188","","copresence","Bivalvia->Siphonophorae","3","0.15724741884317917|0.4841081941814651|5.770571122492086","sim_mutInfo=unknown|correl_spearman=copresence|dist_kullbackleibler=copresence","sim_mutInfo=0.28580661470633856|correl_spearman=0.07903933252661355|dist_kullbackleibler=6.462774145576944E-5","sim_mutInfo=0.15724741884317917|correl_spearman=0.4841081941814651|dist_kullbackleibler=5.770571122492086","Bivalvia->Siphonophorae","0.11112205400000001","0.10273803000000001","0.0453950371917934","0.15724741884317917","9.385350680152227E-4","9.385350680152227E-4","0.004497788276772406","0.27786591579765757|0.46706350051588447|5.599969182228304","0.2725188819901798|0.47883088705585064|5.579459684592779","100.0|100.0|100.0","0.08688850891266127|0.12676107197239445|0.7619610201006991","false","","Bivalvia->Siphonophorae","0.004497788276772406"
"correl_spearman|dist_kullbackleibler","17.36642246642246","","copresence","Bivalvia->Anthozoa","2","0.3801674440479995|6.17734845732741","correl_spearman=copresence|dist_kullbackleibler=copresence","correl_spearman=0.15817369759914574|dist_kullbackleibler=1.2572003841793133E-4","correl_spearman=0.3801674440479995|dist_kullbackleibler=6.17734845732741","Bivalvia->Anthozoa","-0.0013757759","-7.2138E-4","0.15191137536893085","0.3801674440479995","0.009052854195048976","0.009052854195048976","0.03436949406518594","0.3804781331953373|5.919413363011943","0.38172085907745085|5.963137220925738","100.0|100.0","0.14523318555373882|1.0300276544718778","false","","Bivalvia->Anthozoa","0.03436949406518594"
"correl_spearman|correl_pearson|dist_kullbackleibler","11.066666666666666","","copresence","Echinocardium-cordatum->Echinocardium-flavescens","3","0.5181236673773988|0.23447622634596038|4.897341335569865","correl_spearman=copresence|correl_pearson=copresence|dist_kullbackleibler=copresence","correl_spearman=0.06011780755355095|correl_pearson=0.23614376465549397|dist_kullbackleibler=0.0","correl_spearman=0.5181236673773988|correl_pearson=0.23447622634596038|dist_kullbackleibler=4.897341335569865","Echinocardium-cordatum->Echinocardium-flavescens","-4.540324000000021E-4","-0.00923429","0.1202313066457797","0.5181236673773988","0.0","0.0","0.0","0.520529125697179|0.3186750429756179|4.524390951281721","0.5322694155292318|0.3015646801752687|4.636746732470037","88.0|88.0|88.0","0.11242562158210948|0.22384455525585661|1.5285538790296653","true","","Echinocardium-cordatum->Echinocardium-flavescens","0.0"
"dist_bray|dist_kullbackleibler|correl_spearman","36.985760905760905","","mutualExclusion","Echinocardium-cordatum->Capitella-capitata","3","0.999823475395112|31.523289314448434|-0.37029058361886175","dist_bray=mutualExclusion|dist_kullbackleibler=mutualExclusion|correl_spearman=mutualExclusion","dist_bray=0.08437219606243584|dist_kullbackleibler=1.0470391431649517E-7|correl_spearman=0.14235236905687443","dist_bray=0.999823475395112|dist_kullbackleibler=31.523289314448434|correl_spearman=-0.37029058361886175","Echinocardium-cordatum->Capitella-capitata","0.9596116421","0.9912600600000001","0.07967697579499948","0.999823475395112","9.713200314065418E-7","9.713200314065418E-7","9.464974083817079E-6","0.9995128762801683|30.410132474918164|-0.37050980435715297","0.999803320050348|31.32473514180436|-0.3715607608338198","88.0|88.0|88.0","8.405785240679614E-4|2.028559233259638|0.11291682496133305","false","","Echinocardium-cordatum->Capitella-capitata","9.464974083817079E-6"
"dist_bray|correl_pearson|correl_spearman|dist_kullbackleibler","9.423429903429904","","mutualExclusion","Echinocardium-cordatum->Neochromadora","4","0.9962666647429005|-0.10317570542580794|-0.21968386878870866|25.798836988839817","dist_bray=mutualExclusion|correl_pearson=mutualExclusion|correl_spearman=mutualExclusion|dist_kullbackleibler=mutualExclusion","dist_bray=0.40585668892798576|correl_pearson=0.32712347376217266|correl_spearman=0.3000960929521963|dist_kullbackleibler=2.274765970845527E-4","dist_bray=0.9962666647429005|correl_pearson=-0.10317570542580794|correl_spearman=-0.21968386878870866|dist_kullbackleibler=25.798836988839817","Echinocardium-cordatum->Neochromadora","0.9486102520999998","0.965530935","0.05201919408053187","0.9962666647429005","0.004681368798180818","0.004681368798180818","0.019457632398125962","0.9871053719923347|-0.11525493974546767|-0.21219604797767513|24.887880600935773","0.9955668184383685|-0.11086022795161038|-0.2217337568101993|25.433624251071706","92.0|92.0|92.0|92.0","0.02611371157402936|0.031996974861420245|0.13766679450186584|2.1253874008574916","false","","Echinocardium-cordatum->Neochromadora","0.019457632398125962"
