col_names	OSS11A1.1.2019B	OSS11A1.2.2019B	OSS11A1.3.2019B	OSS21A1.1.2019	OSS21A1.2.2019	OSS21A1.3.2019	OSS21B1.1.2019	OSS21B1.2.2019	OSS21B1.3.2019	RIN34.1.2018	RIN34.2.2018	RIN34.3.2018	RIN35.1.2018	RIN35.2.2018	RIN35.3.2018	RIN36.1.2018	RIN37.1.2018	RIN39.1.2018	RIN39.2.2018	RIN39.3.2018	OSF43.1.2019	OSF43.2.2019	OSF43.3.2019	VFR05.1.2019	VFR05.2.2019	VFR05.3.2019	VFR32.1.2019	VFR32.2.2019	VFR32.3.2019	VFR33.1.2019	VFR33.2.2019	VFR33.3.2019	VFR34.1.2019	VFR34.2.2019	VFR34.3.2019	OSS11A1.1.2019A	OSS11A1.2.2019A	OSS11A1.3.2019A
DH147-EKD10	0	15	23	2	33	10	1	2	4	3	2	2	4	3	0	0	9	1	0	1	7	7	19	22	6	18	195	33	146	61	55	18	9	19	18	41	1	13
NAMAKO-1	2	60	49	85	109	0	0	3	0	18	0	1	0	1	0	77	32	0	0	0	4	0	1	0	0	0	1312	2	0	3	2	17	17	15	28	0	0	34
D4P07G08	1	29	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	83	0	33	2	40	4	3	1	0	0	0	0	0	0	3	0	11	0	0	4
Metazoa (Animalia)	281	227	265	2	9	29	0	0	0	1	0	0	20	19	22	2	1	0	19	40	2	3	7	0	5	1	14	4	1	6	0	0	183	745	359	99	0	201
Fungi	453	303	86	25	74	234	0	11	23	101	351	313	2206	1630	5408	415	172	1266	1924	2363	219	403	351	607	333	354	214	55	42	123	54	95	157	172	183	1753	720	104
Mesomycetozoa	0	0	0	0	6	5	0	0	0	0	0	0	2	4	6	0	0	0	1	0	1	8	11	1	9	1	0	0	0	0	0	0	2	2	1	0	0	0
Discicristoidea Holomycota kingdom incertae sedis	0	0	3	0	0	0	0	0	0	1	12	1	2	0	0	6	0	16	35	31	1	5	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
Freshwater Opisthokonta	13	0	1	0	12	5	0	1	2	7	2	4	6	17	12	2	0	16	26	27	6	18	10	5	4	11	0	0	0	0	0	0	4	2	6	7	0	0
Alveolata	6799	3636	3617	878	3069	2598	40	436	498	2423	4120	5346	4713	7149	5771	1160	9806	5405	3720	2712	2219	3059	4293	6758	5911	5412	3631	4773	852	826	1009	540	2328	2695	3466	7401	2874	3434
Stramenopiles	2010	960	665	228	1013	1138	2	44	63	1053	1751	672	1938	3715	925	1836	2429	3425	4204	5325	861	2971	2565	8110	517	1180	1598	472	2246	421	292	790	1415	1473	939	1168	641	726
Amoebozoa (kingdom)	0	2	0	0	2	12	0	0	0	1	0	0	0	1	2	0	0	1	1	1	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Nematoda	1063	4	0	0	0	137	0	1	2	0	0	0	2	558	812	0	0	925	308	677	141	0	13	18	9	2	0	0	0	0	1	1	110	129	159	222	27	0
Platyhelminthes	375	11761	56	0	0	2	0	100	0	0	0	0	3	0	0	132	1	0	0	0	0	5	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	92
Xenacoelomorpha	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	1	14	0	0	0	0	0	0	0	24	0	2	1	0	4
Zoopagomycotina	0	2	0	0	0	0	0	0	0	0	0	3	8	8	22	0	4	2	0	0	2	3	4	0	0	0	0	0	0	0	1	15	2	5	3	0	0	0
Choanoflagellida	2	11	2	1	4	5	0	0	0	1	3	0	4	2	2	1	0	0	4	1	0	2	1	2	3	0	2	2	0	4	1	0	1	0	0	37	0	6
Cryptomycota	0	0	0	0	0	2	0	0	0	0	5	2	0	1	0	0	0	1	0	0	0	0	1	2	1	0	0	1	0	0	0	0	0	0	0	0	4	1
Pseudoperkinsidae	0	14	27	10	20	43	0	0	6	12	70	100	40	23	34	54	21	5	16	14	17	75	65	53	59	43	90	62	115	76	46	30	24	42	54	7	5	23
Abeoformidae	2	4	3	1	2	2	0	0	0	2	28	5	8	3	7	48	8	6	7	1	3	3	5	6	5	6	2	6	10	5	1	8	3	3	4	4	0	4
Apicomplexa	56	28	12	0	2	88	0	0	7	20	32	26	25	361	61	0	36	86	56	95	8	19	29	76	124	38	844	846	1140	865	841	1552	489	2033	144	36	7	6
Ciliophora	5	22	0	7	0	5	2	8	1	62	180	154	175	282	71	56	100	254	134	171	6	6	5	9	10	25	3	7	27	0	4	51	3	0	6	17	0	0
Alveolata incertae sedis	0	1	0	0	0	0	0	0	0	2	0	2	6	6	5	6	5	6	8	4	1	0	0	5	0	0	58	1	0	0	0	0	1	0	0	0	0	0
BOLA914	6	7	2	0	2	4	0	1	0	0	2	1	0	0	0	0	0	2	0	2	4	8	12	3	0	0	0	0	0	0	0	0	3	0	4	0	0	2
Colpodellida	0	15	11	2	34	0	0	3	0	0	0	1	0	0	0	0	0	1	2	1	2	1	0	0	0	0	72	26	17	6	32	102	0	0	0	0	0	19
