Sample,Region,Platform,Station,Grab,Year,X18S,COI,THC,PAH,NPD,As,Ba,Cd,Cr,Cu,Hg,Ni,Pb,Zn,NSI,Depth,UTM31E,UTM31N,WGS84E,WGS84N,piHC,piMetals,pi
DA01.1.2018,II,GK,DA01,1,2018,TRUE,TRUE,5,0.1,0.09,2.1,340,0.03,10,2.7,0,6,6.4,15,25,116,424243.4,6493546,1.696,58.574,0.1303703704,0.7357690203,0.4330696953
DA01.3.2018,II,GK,DA01,3,2018,TRUE,TRUE,6,0.1,0.11,2.2,320,0.03,9.8,2.6,0,5.6,6.4,15,25,116,424243.4,6493546,1.696,58.574,0.1303703704,0.7357690203,0.4330696953
DA01.4.2018,II,GK,DA01,4,2018,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,116,424243.4,6493546,1.696,58.574,0.1303703704,0.7357690203,0.4330696953
DA01.5.2018,II,GK,DA01,5,2018,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,116,424243.4,6493546,1.696,58.574,0.1303703704,0.7357690203,0.4330696953
OSS04.1.2019,III,OSS,OSS04,1,2019,TRUE,TRUE,13,0.03,0.55,3.5,217,0.01,3.1,0.7,0,NA,3,7,25.77,102,488975.145,6694908.6226,2.798,60.388,0.1257407407,0.4201970443,0.2729688925
OSS04.2.2019,III,OSS,OSS04,2,2019,TRUE,TRUE,6,0.01,0.3,3.3,168,0,3.1,1.4,0,NA,2.9,20,25.77,102,488975.145,6694908.6226,2.798,60.388,0.1257407407,0.4201970443,0.2729688925
OSS04.3.2019,III,OSS,OSS04,3,2019,TRUE,TRUE,6,0.02,0.38,3.5,185,0.01,3,0.6,0,NA,2.8,6,25.77,102,488975.145,6694908.6226,2.798,60.388,0.1257407407,0.4201970443,0.2729688925
OSS11.1.2019B,III,OSS,OSS11,1,2019,TRUE,FALSE,68,0.03,0.62,4.3,1757,0.02,4.6,2,0,NA,3,9,24.47,97,488634.352,6695221.5365,2.792,60.391,1.1416666667,1.7376180213,1.439642344
OSS11.2.2019B,III,OSS,OSS11,2,2019,TRUE,FALSE,127,0.05,0.92,3.9,1422,0.02,4.5,1.7,0,NA,2.8,7,24.47,97,488634.352,6695221.5365,2.792,60.391,1.1416666667,1.7376180213,1.439642344
OSS11.3.2019B,III,OSS,OSS11,3,2019,TRUE,FALSE,75,0.02,0.68,3.7,822,0.01,3.4,1.1,0,NA,2.6,6,24.47,97,488634.352,6695221.5365,2.792,60.391,1.1416666667,1.7376180213,1.439642344
