Rank,Taxon,Taxonpath,Avg ab,Remove_unclass,Remove_all,Comment
Amoebozoa,superkingdom,Amoebozoa,0.04%,TRUE,FALSE,
Amoebozoa (kingdom),kingdom,Amoebozoa;Amoebozoa (kingdom),0.04%,FALSE,FALSE,
Discosea (Amoebozoa (kingdom)),phylum,Amoebozoa;Amoebozoa (kingdom);Discosea (Amoebozoa (kingdom)),0.00%,FALSE,FALSE,
Centramoebida,class,Amoebozoa;Amoebozoa (kingdom);Discosea (Amoebozoa (kingdom));Centramoebida,0.00%,FALSE,FALSE,
Gracilipodida,phylum,Amoebozoa;Amoebozoa (kingdom);Gracilipodida,0.00%,FALSE,FALSE,
LEMD255,phylum,Amoebozoa;Amoebozoa (kingdom);LEMD255,0.00%,FALSE,FALSE,
LKM74,phylum,Amoebozoa;Amoebozoa (kingdom);LKM74,0.00%,FALSE,FALSE,
Lobosa,phylum,Amoebozoa;Amoebozoa (kingdom);Lobosa,0.03%,FALSE,FALSE,
Discosea,class,Amoebozoa;Amoebozoa (kingdom);Lobosa;Discosea,0.02%,FALSE,FALSE,
Flabellinia,order,Amoebozoa;Amoebozoa (kingdom);Lobosa;Discosea;Flabellinia,0.02%,FALSE,FALSE,
Dactylopodida,family,Amoebozoa;Amoebozoa (kingdom);Lobosa;Discosea;Flabellinia;Dactylopodida,0.00%,FALSE,FALSE,
Paramoeba,genus,Amoebozoa;Amoebozoa (kingdom);Lobosa;Discosea;Flabellinia;Dactylopodida;Paramoeba,0.00%,FALSE,FALSE,
Paramoeba aestuarina,species,Amoebozoa;Amoebozoa (kingdom);Lobosa;Discosea;Flabellinia;Dactylopodida;Paramoeba;Paramoeba aestuarina,0.00%,FALSE,FALSE,
Paramoeba pemaquidensis,species,Amoebozoa;Amoebozoa (kingdom);Lobosa;Discosea;Flabellinia;Dactylopodida;Paramoeba;Paramoeba pemaquidensis,0.00%,FALSE,FALSE,
Pseudoparamoeba,genus,Amoebozoa;Amoebozoa (kingdom);Lobosa;Discosea;Flabellinia;Dactylopodida;Pseudoparamoeba,0.00%,FALSE,FALSE,
Stygamoebida,family,Amoebozoa;Amoebozoa (kingdom);Lobosa;Discosea;Flabellinia;Stygamoebida,0.00%,FALSE,FALSE,
Vermistella,genus,Amoebozoa;Amoebozoa (kingdom);Lobosa;Discosea;Flabellinia;Stygamoebida;Vermistella,0.00%,FALSE,FALSE,
Vermistella antarctica,species,Amoebozoa;Amoebozoa (kingdom);Lobosa;Discosea;Flabellinia;Stygamoebida;Vermistella;Vermistella antarctica,0.00%,FALSE,FALSE,
Vannellida,order,Amoebozoa;Amoebozoa (kingdom);Lobosa;Discosea;Vannellida,0.00%,FALSE,FALSE,
Platyamoeba family incertae sedis,family,Amoebozoa;Amoebozoa (kingdom);Lobosa;Discosea;Vannellida;Platyamoeba family incertae sedis,0.00%,FALSE,FALSE,
Platyamoeba,genus,Amoebozoa;Amoebozoa (kingdom);Lobosa;Discosea;Vannellida;Platyamoeba family incertae sedis;Platyamoeba,0.00%,FALSE,FALSE,
Vannella family incertae sedis,family,Amoebozoa;Amoebozoa (kingdom);Lobosa;Discosea;Vannellida;Vannella family incertae sedis,0.00%,FALSE,FALSE,
Tubulinea,class,Amoebozoa;Amoebozoa (kingdom);Lobosa;Tubulinea,0.01%,FALSE,FALSE,
Euamoebida,order,Amoebozoa;Amoebozoa (kingdom);Lobosa;Tubulinea;Euamoebida,0.01%,FALSE,FALSE,
BOLA868,family,Amoebozoa;Amoebozoa (kingdom);Lobosa;Tubulinea;Euamoebida;BOLA868,0.00%,FALSE,FALSE,
Hartmannella family incertae sedis,family,Amoebozoa;Amoebozoa (kingdom);Lobosa;Tubulinea;Euamoebida;Hartmannella family incertae sedis,0.00%,FALSE,FALSE,
